term	set_size	overlap	pval	padj
GO_BP::GOBP_SYNAPTIC_SIGNALING	569	134	7.457748448560993e-14	4.826746365712745e-10
GO_BP::GOBP_CELL_MORPHOGENESIS	751	164	1.2665301405701245e-13	4.826746365712745e-10
GO_BP::GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	374	97	6.108091612623263e-13	1.551862475713817e-09
GO_BP::GOBP_GENERATION_OF_NEURONS	1114	215	9.274929201374137e-12	1.7219757377098337e-08
GO_BP::GOBP_NEURON_DEVELOPMENT	885	179	1.1296088544409826e-11	1.7219757377098337e-08
GO_BP::GOBP_CELL_ADHESION	945	188	1.4829846575447354e-11	1.8838848433009955e-08
GO_BP::GOBP_CELL_JUNCTION_ORGANIZATION	582	129	2.0650213367186102e-11	2.248513232638464e-08
GO_BP::GOBP_CIRCULATORY_SYSTEM_PROCESS	362	90	5.030995724329068e-11	4.79328117635452e-08
GO_BP::GOBP_NEUROGENESIS	1280	236	9.174461358441555e-11	7.769749386004615e-08
GO_BP::GOBP_SYNAPSE_ORGANIZATION	396	95	1.2073880521962112e-10	9.202711733839522e-08
GO_BP::GOBP_CELL_PART_MORPHOGENESIS	551	121	1.6499220042486025e-10	1.1432459560348043e-07
GO_BP::GOBP_NERVOUS_SYSTEM_PROCESS	665	138	5.083939260289353e-10	3.229148753493787e-07
GO_BP::GOBP_CELL_CELL_SIGNALING	1095	204	8.18719978289525e-10	4.800218211171354e-07
GO_BP::GOBP_CELLULAR_COMPONENT_MORPHOGENESIS	620	129	1.60697354770819e-09	8.748823129022731e-07
GO_BP::GOBP_AXON_DEVELOPMENT	393	91	2.053652655013658e-09	1.0428867974916584e-06
Immune::GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_UP	93	34	2.1892139543251816e-09	1.0428867974916584e-06
GO_BP::GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT	343	81	6.140005289283744e-09	2.752889430289453e-06
GO_BP::GOBP_BEHAVIOR	450	99	7.109329158091029e-09	3.010405935720546e-06
GO_BP::GOBP_LOCOMOTION	775	151	7.534841955521172e-09	3.0226613360517035e-06
GO_BP::GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	461	100	1.2852118721033143e-08	4.8979424445857304e-06
GO_BP::GOBP_AXON_GUIDANCE	173	49	1.606336051809567e-08	5.8302349461392954e-06
GO_BP::GOBP_CELL_PROJECTION_ORGANIZATION	1274	224	2.1150624046415385e-08	7.3277298400808205e-06
Reactome::REACTOME_SIGNALING_BY_GPCR	318	75	2.3652028414545963e-08	7.83807654676823e-06
GO_BP::GOBP_MONOATOMIC_ION_TRANSPORT	805	153	3.299050388639318e-08	1.0477234192587035e-05
GO_BP::GOBP_REGULATION_OF_LOCOMOTION	690	135	3.75156247111428e-08	1.1437763661933217e-05
GO_BP::GOBP_REGULATION_OF_SYSTEM_PROCESS	328	76	4.2409861709556316e-08	1.220027352309046e-05
Reactome::REACTOME_NEURONAL_SYSTEM	305	72	4.3217972333172715e-08	1.220027352309046e-05
GO_BP::GOBP_CELL_MOTILITY	1100	196	6.482486804972384e-08	1.7646255152678394e-05
GO_BP::GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	309	72	7.553079796347455e-08	1.9851577313020794e-05
GO_BP::GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	364	81	9.959602422546046e-08	2.5304029888215323e-05
GO_BP::GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	122	37	1.342689450706167e-07	3.301283546220131e-05
GO_BP::GOBP_CALCIUM_ION_TRANSPORT	274	65	1.6008162371504015e-07	3.7573815896356466e-05
GO_BP::GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	374	82	1.626785521621311e-07	3.7573815896356466e-05
GO_BP::GOBP_CELL_CELL_ADHESION	579	114	3.158120605532683e-07	6.953292082621313e-05
Immune::HARALAMBIEVA_PBMC_M_M_R_II_AGE_11_22YO_VACCINATED_VS_UNVACCINATED_7YR_UP	624	121	3.1929312895794536e-07	6.953292082621313e-05
Immune::GSE43863_DAY6_EFF_VS_DAY150_MEM_TFH_CD4_TCELL_DN	117	35	4.19511615872539e-07	8.881993156056925e-05
GO_BP::GOBP_MONOATOMIC_CATION_TRANSPORT	671	127	6.370522012069967e-07	0.00013123275344864132
GO_BP::GOBP_HEART_PROCESS	161	43	7.082622833493643e-07	0.00014206250325496985
Immune::GSE18281_CORTICAL_THYMOCYTE_VS_WHOLE_CORTEX_THYMUS_UP	100	31	8.033206719542083e-07	0.00015699769645217883
Immune::GSE43863_TFH_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_DN	136	38	9.230518247409647e-07	0.0001758875252043908
Reactome::REACTOME_MUSCLE_CONTRACTION	132	37	1.1742683334811498e-06	0.0002129699225634019
GO_BP::GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	277	63	1.1796454559510835e-06	0.0002129699225634019
Immune::GSE39556_UNTREATED_VS_3H_POLYIC_INJ_MOUSE_CD8A_DC_UP	127	36	1.2173364141687418e-06	0.0002129699225634019
GO_BP::GOBP_MEMORY	92	29	1.2294249006546423e-06	0.0002129699225634019
GO_BP::GOBP_COGNITION	232	55	1.4359357366202178e-06	0.00024132928057040969
GO_BP::GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	754	138	1.456461152747159e-06	0.00024132928057040969
GO_BP::GOBP_REGULATION_OF_METAL_ION_TRANSPORT	244	57	1.5372720913161715e-06	0.0002492997421279119
Reactome::REACTOME_L1CAM_INTERACTIONS	99	30	2.0447838987826255e-06	0.00032469464326085777
GO_BP::GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	229	54	2.1211182043222214e-06	0.0003299421010886525
GO_BP::GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL	130	36	2.2265325497929702e-06	0.0003394126218904404
Reactome::REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	179	45	2.4116032506661733e-06	0.000360416470128972
GO_BP::GOBP_MUSCLE_CONTRACTION	213	51	2.512205220374841e-06	0.00036823131134032766
Immune::GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_MAC_UP	131	36	2.706981639431323e-06	0.0003892946048253876
GO_BP::GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	376	78	3.1510146517334364e-06	0.00043830988579593195
GO_BP::GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	886	156	3.1628238938305245e-06	0.00043830988579593195
GO_BP::GOBP_PHOSPHOLIPID_EFFLUX	8	7	3.2848311281951074e-06	0.00044708897962684123
GO_BP::GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	793	142	3.53388118324438e-06	0.0004714011991399288
GO_BP::GOBP_POSITIVE_REGULATION_OF_B_CELL_PROLIFERATION	26	13	3.587151607204916e-06	0.0004714011991399288
GO_BP::GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	1150	194	3.7119263122516066e-06	0.00047953054833867366
GO_BP::GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS	628	117	3.905813928013153e-06	0.00048774050458239216
GO_BP::GOBP_REGULATION_OF_TRANSPORT	1186	199	3.964970600511184e-06	0.00048774050458239216
Immune::GSE37301_MULTIPOTENT_PROGENITOR_VS_LYMPHOID_PRIMED_MPP_DN	133	36	3.96745096878881e-06	0.00048774050458239216
GO_BP::GOBP_MUSCLE_SYSTEM_PROCESS	275	61	4.1066593629463575e-06	0.0004968405978472561
GO_BP::GOBP_CALCIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	30	14	4.273649485197737e-06	0.000508964943377768
GO_BP::GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	670	123	4.691988191360813e-06	0.0005501897537623403
GO_BP::GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY	162	41	5.564735279718053e-06	0.0006426426106365303
GO_BP::GOBP_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	570	107	7.1527498628887095e-06	0.0008049073482620292
GO_BP::GOBP_REGULATION_OF_B_CELL_PROLIFERATION	35	15	7.181015439755705e-06	0.0008049073482620292
GO_BP::GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	1164	194	8.182582786736352e-06	0.0009038789275435432
Immune::HARALAMBIEVA_PBMC_M_M_R_II_AGE_11_22YO_VACCINATED_VS_UNVACCINATED_7YR_DN	450	88	9.224505555031208e-06	0.0010044168762921126
Immune::GSE41176_WT_VS_TAK1_KO_UNSTIM_BCELL_DN	106	30	9.480635965704384e-06	0.0010177663004309692
GO_BP::GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	76	24	9.62041572168004e-06	0.001018427897647851
GO_BP::GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	166	41	1.0576700223981945e-05	0.0010909682064507249
GO_BP::GOBP_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	117	32	1.0591924334473057e-05	0.0010909682064507249
Reactome::REACTOME_MET_PROMOTES_CELL_MOTILITY	32	14	1.0865999755954237e-05	0.0011042753351984426
GO_BP::GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE	128	34	1.1328662365127272e-05	0.0011361455861447376
GO_BP::GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	290	62	1.1872237188459993e-05	0.0011621577734313498
Reactome::REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	498	95	1.1892981675104342e-05	0.0011621577734313498
Reactome::REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	77	24	1.2342492625776343e-05	0.0011908161872616113
GO_BP::GOBP_B_CELL_PROLIFERATION	45	17	1.3690395228714437e-05	0.001304352405415768
Reactome::REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	54	19	1.4346125215484953e-05	0.001349952671511436
Immune::GSE36891_POLYIC_TLR3_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP	88	26	1.5907175042169116e-05	0.0014785913191635732
GO_BP::GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE	361	73	1.6305347673938176e-05	0.00149734168639466
GO_BP::GOBP_REGULATION_OF_AXONOGENESIS	136	35	1.7855290743178306e-05	0.0016201550719583933
GO_BP::GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	94	27	1.9423823264864317e-05	0.0017417456579387745
Immune::GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP	79	24	1.9971541331937317e-05	0.001770035907349142
Reactome::REACTOME_MET_ACTIVATES_PTK2_SIGNALING	22	11	2.0570210645729732e-05	0.001802139603928184
Immune::GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_10MIN_UP	137	35	2.1151422056963432e-05	0.001832001578615628
GO_BP::GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	994	167	2.300419750836664e-05	0.0019330939240981076
GO_BP::GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	200	46	2.3148799084960517e-05	0.0019330939240981076
GO_BP::GOBP_CELL_JUNCTION_ASSEMBLY	327	67	2.3166224742708772e-05	0.0019330939240981076
GO_BP::GOBP_POSITIVE_REGULATION_OF_LOCOMOTION	371	74	2.3333067569801352e-05	0.0019330939240981076
GO_BP::GOBP_NEURON_RECOGNITION	38	15	2.373500919638545e-05	0.0019452498934930099
GO_BP::GOBP_CELL_GROWTH	391	77	2.5541163106399635e-05	0.0020710079276274255
GO_BP::GOBP_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION	56	19	2.5931387691722333e-05	0.0020805161788032384
Immune::GSE24671_CTRL_VS_SENDAI_VIRUS_INFECTED_MOUSE_SPLENOCYTES_UP	122	32	2.6694014541231303e-05	0.002119393529513177
Reactome::REACTOME_GPCR_LIGAND_BINDING	133	34	2.717694186959638e-05	0.0021354912467016866
Immune::GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY6_POST_IMMUNIZATION_DN	161	39	2.765748148146192e-05	0.00215107473318064
GO_BP::GOBP_REGULATION_OF_CELL_GROWTH	329	67	2.8362887517434118e-05	0.0021836558450291197
Immune::GSE39556_CD8A_DC_VS_NK_CELL_DN	150	37	2.8808552227604308e-05	0.002195787850788
GO_BP::GOBP_CARDIAC_MUSCLE_CONTRACTION	91	26	3.0447292384135798e-05	0.002297715470810723
GO_BP::GOBP_REGULATION_OF_GROWTH	451	86	3.090254450626342e-05	0.0023092077865366645
GO_BP::GOBP_GROWTH	671	119	3.418872911324835e-05	0.002529965954380378
Immune::GSE24814_STAT5_KO_VS_WT_PRE_BCELL_UP	124	32	3.7855090390219495e-05	0.0027743413360985865
Reactome::REACTOME_NCAM1_INTERACTIONS	27	12	3.845789588737335e-05	0.002791676975748187
GO_BP::GOBP_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT	346	69	4.3737385905019045e-05	0.003144965616679766
GO_BP::GOBP_TUBE_MORPHOGENESIS	561	102	4.5189132715669296e-05	0.0032189866313909474
Immune::GSE39820_IL1B_IL6_VS_IL1B_IL6_IL23A_TREATED_CD4_TCELL_DN	142	35	4.759302788762102e-05	0.0033588338755504393
GO_BP::GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY	424	81	4.869764856597242e-05	0.0034052612602737775
Immune::GSE36392_TYPE_2_MYELOID_VS_MAC_IL25_TREATED_LUNG_UP	104	28	5.023634857026182e-05	0.0034495626018246446
Immune::GSE6566_STRONG_VS_WEAK_DC_STIMULATED_CD4_TCELL_UP	104	28	5.023634857026182e-05	0.0034495626018246446
GO_BP::GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	230	50	5.106907351484577e-05	0.003475432842233522
Immune::GSE28130_ACTIVATED_VS_INDUCEED_TREG_UP	137	34	5.227326415061553e-05	0.003519080224510379
GO_BP::GOBP_REGULATION_OF_BLOOD_CIRCULATION	154	37	5.29687499101296e-05	0.003519080224510379
Immune::GSE2706_UNSTIM_VS_2H_LPS_DC_DN	126	32	5.309554261593986e-05	0.003519080224510379
GO_BP::GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	89	25	5.85890259235657e-05	0.003849703065426015
GO_BP::GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	116	30	6.253459195265118e-05	0.004014241737856649
GO_BP::GOBP_VASCULAR_TRANSPORT	69	21	6.284264711807732e-05	0.004014241737856649
GO_BP::GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT	559	101	6.338838884406065e-05	0.004014241737856649
GO_BP::GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	660	116	6.360730563965527e-05	0.004014241737856649
Immune::GSE7852_LN_VS_FAT_TREG_DN	161	38	6.381136024771157e-05	0.004014241737856649
Immune::GSE6259_FLT3L_INDUCED_VS_WT_SPLENIC_DC_33D1_POS_DN	100	27	6.439807801195463e-05	0.004014241737856649
GO_BP::GOBP_POTASSIUM_ION_TRANSPORT	144	35	6.477981287803304e-05	0.004014241737856649
GO_BP::GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	567	102	6.962781020784925e-05	0.004279864269388927
GO_BP::GOBP_DEVELOPMENTAL_CELL_GROWTH	191	43	7.166697761421162e-05	0.004344147601123523
GO_BP::GOBP_DEVELOPMENTAL_GROWTH_INVOLVED_IN_MORPHOGENESIS	197	44	7.24238837506002e-05	0.004344147601123523
GO_BP::GOBP_BLOOD_VESSEL_MORPHOGENESIS	390	75	7.319013674726872e-05	0.004344147601123523
GO_BP::GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	751	129	7.350539250979568e-05	0.004344147601123523
GO_BP::GOBP_SODIUM_ION_TRANSPORT	162	38	7.352335876999929e-05	0.004344147601123523
GO_BP::GOBP_LEARNING	117	30	7.4224894414406e-05	0.00435186265558925
GO_BP::GOBP_LOCOMOTORY_BEHAVIOR	145	35	7.532800197988229e-05	0.004374118895397275
GO_BP::GOBP_LEUKOCYTE_PROLIFERATION	168	39	7.575225586361064e-05	0.004374118895397275
GO_BP::GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	174	40	7.764525453301831e-05	0.0044312977501029804
Immune::GSE38697_LIGHT_ZONE_VS_DARK_ZONE_BCELL_DN	65	20	7.863444588976267e-05	0.0044312977501029804
Reactome::REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	46	16	7.906802597927122e-05	0.0044312977501029804
Reactome::REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	46	16	7.906802597927122e-05	0.0044312977501029804
Immune::GSE13547_2H_VS_12_H_ANTI_IGM_STIM_BCELL_UP	112	29	8.04027546510671e-05	0.004460031085082904
GO_BP::GOBP_VASCULATURE_DEVELOPMENT	476	88	8.075102200753619e-05	0.004460031085082904
GO_BP::GOBP_SYNAPSE_ASSEMBLY	157	37	8.187653847367815e-05	0.004482531828612056
GO_BP::GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION	96	26	8.255431409531594e-05	0.004482531828612056
Reactome::REACTOME_METALLOTHIONEINS_BIND_METALS	8	6	8.292272209843873e-05	0.004482531828612056
Immune::GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	129	32	8.6474857997983e-05	0.004641629349722722
