term	set_size	overlap	pval	padj
GO_BP::GOBP_CELL_ADHESION	898	231	1.6509097272694423e-20	1.3331096047700747e-16
GO_BP::GOBP_CELL_CELL_ADHESION	572	150	2.6193180980875877e-14	1.0575496821028635e-10
GO_BP::GOBP_CELL_JUNCTION_ORGANIZATION	531	139	2.842352417437228e-13	7.650665256935206e-10
GO_BP::GOBP_REGULATION_OF_SYSTEM_PROCESS	304	91	1.6342532879783304e-12	3.2991488251062544e-09
GO_BP::GOBP_CELL_MOTILITY	1022	224	1.0453458008624782e-11	1.6882334683929023e-08
GO_BP::GOBP_NEUROGENESIS	1157	246	2.4512387789902945e-11	3.298958856724438e-08
GO_BP::GOBP_LOCOMOTION	757	173	9.800183240393086e-11	1.1305211380882025e-07
Immune::GSE1432_1H_VS_24H_IFNG_MICROGLIA_UP	168	57	1.263200741089772e-10	1.1808565040730744e-07
GO_BP::GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS	569	138	1.3161248961805163e-10	1.1808565040730744e-07
GO_BP::GOBP_GENERATION_OF_NEURONS	1010	217	1.6020123035685083e-10	1.2936249351315705e-07
Immune::GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP	121	45	3.8584276535633053e-10	2.83243666386579e-07
GO_BP::GOBP_REGULATION_OF_LOCOMOTION	660	153	4.36040939117897e-10	2.9341921528141823e-07
GO_BP::GOBP_MUSCLE_SYSTEM_PROCESS	242	72	4.745522297030504e-10	2.947699426809332e-07
GO_BP::GOBP_SYNAPSE_ORGANIZATION	358	95	8.486738041095724e-10	4.895029262989141e-07
GO_BP::GOBP_REGULATION_OF_CELL_ADHESION	501	122	1.2432186128606362e-09	6.692660199233092e-07
Immune::HOWARD_PBMC_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_19_39YO_AS03_ADJUVANT_VS_BUFFER_1DY_UP	282	79	1.583930617910032e-09	7.993899837264692e-07
GO_BP::GOBP_NEURON_DEVELOPMENT	812	178	1.6893629641286315e-09	8.024474079611e-07
GO_BP::GOBP_CIRCULATORY_SYSTEM_PROCESS	326	87	3.2565015001859474e-09	1.4609027563334181e-06
Immune::GSE22886_NAIVE_CD8_TCELL_VS_NEUTROPHIL_DN	120	43	3.5652511816989485e-09	1.5152317522220532e-06
Immune::GSE40274_FOXP3_VS_FOXP3_AND_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	59	27	6.992325808736821e-09	2.823151545277491e-06
Immune::GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_KO_4H_UP	141	47	9.976944607030858e-09	3.836372747703532e-06
GO_BP::GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	1023	211	1.1212509209658167e-08	4.115500539454078e-06
GO_BP::GOBP_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY	380	95	2.235033755198366e-08	7.846911988359481e-06
Immune::GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN	140	46	2.364549210941601e-08	7.955722865980596e-06
Immune::GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_UP	127	43	2.495695941851166e-08	8.061097892179266e-06
Immune::GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN	150	48	3.040729696654378e-08	9.106291355454601e-06
GO_BP::GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT	320	83	3.0448280693160895e-08	9.106291355454601e-06
Immune::GSE3565_DUSP1_VS_WT_SPLENOCYTES_UP	124	42	3.572953082567982e-08	1.0154553819805902e-05
GO_BP::GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	347	88	3.646836665936485e-08	1.0154553819805902e-05
Immune::GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_17H_UP	133	44	3.7742651986919876e-08	1.0159063826479267e-05
Immune::GSE2706_UNSTIM_VS_8H_R848_DC_DN	129	43	4.1933566745549596e-08	1.0591718582820796e-05
Immune::HARALAMBIEVA_PBMC_M_M_R_II_AGE_11_22YO_VACCINATED_VS_UNVACCINATED_7YR_UP	591	133	4.301230165731375e-08	1.0591718582820796e-05
Immune::GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_DC_UP	138	45	4.331954325791519e-08	1.0591718582820796e-05
Immune::GSE6259_FLT3L_INDUCED_VS_WT_SPLENIC_DC_33D1_POS_DN	95	35	4.459670982240335e-08	1.0591718582820796e-05
Immune::GSE2706_UNSTIM_VS_2H_R848_DC_DN	125	42	4.6412059766279746e-08	1.070792521750597e-05
Immune::GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN	175	53	4.7769303210751654e-08	1.0714920095189433e-05
GO_BP::GOBP_CELL_JUNCTION_ASSEMBLY	293	77	5.290499747154456e-08	1.1383504851358937e-05
GO_BP::GOBP_CELL_CELL_SIGNALING	1007	205	5.3822326508262724e-08	1.1383504851358937e-05
GO_BP::GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	258	70	5.4979156557646876e-08	1.1383504851358937e-05
Immune::GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_KO_2H_UP	135	44	6.200886009604671e-08	1.251803863188943e-05
Immune::GSE30971_WBP7_HET_VS_KO_MACROPHAGE_2H_LPS_STIM_DN	140	45	7.021165208348596e-08	1.3828270501808517e-05
Immune::GSE7219_UNSTIM_VS_LPS_AND_ANTI_CD40_STIM_NIK_NFKB2_KO_DC_DN	154	48	7.625893866147114e-08	1.4661688802175701e-05
Immune::HARALAMBIEVA_PBMC_M_M_R_II_AGE_11_22YO_VACCINATED_VS_UNVACCINATED_7YR_DN	522	119	1.0820206825552152e-07	2.0319341887519448e-05
GO_BP::GOBP_CELL_SUBSTRATE_ADHESION	233	64	1.2412795219504093e-07	2.2780300317612625e-05
Immune::GSE2935_UV_INACTIVATED_VS_LIVE_SENDAI_VIRUS_INF_MACROPHAGE_UP	125	41	1.4226243277483507e-07	2.5528203214595403e-05
Immune::GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_4H_CD4_TCELL_UP	157	48	1.4738466778176395e-07	2.5872417224733565e-05
GO_BP::GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	359	88	1.90179755510405e-07	3.2674500547798305e-05
GO_BP::GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	590	130	2.188929772829111e-07	3.608114152740601e-05
Immune::GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP	145	45	2.2170343747321685e-07	3.608114152740601e-05
GO_BP::GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	831	172	2.2341264103656973e-07	3.608114152740601e-05
GO_BP::GOBP_NERVOUS_SYSTEM_PROCESS	591	130	2.418765704868807e-07	3.829712366042278e-05
Immune::GSE2585_CD80_HIGH_VS_LOW_AIRE_KO_MTEC_UP	123	40	2.6045901721531024e-07	4.04462800771852e-05
GO_BP::GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT	160	48	2.778320927026379e-07	4.182420083104308e-05
Immune::GSE19825_NAIVE_VS_IL2RAHIGH_DAY3_EFF_CD8_TCELL_UP	110	37	2.796912501394831e-07	4.182420083104308e-05
GO_BP::GOBP_MONOATOMIC_ION_TRANSPORT	747	157	2.899811267110947e-07	4.257450178531072e-05
GO_BP::GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT	93	33	2.9921974369670034e-07	4.311149780044331e-05
GO_BP::GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	650	140	3.043164550619528e-07	4.311149780044331e-05
Immune::GSE3039_NKT_CELL_VS_B2_BCELL_DN	142	44	3.1636674598993616e-07	4.404588748049543e-05
GO_BP::GOBP_ACTIN_FILAMENT_BASED_PROCESS	562	124	3.882749414282405e-07	5.231955187477612e-05
Immune::GSE7460_TCONV_VS_TREG_LN_DN	157	47	3.948244598095822e-07	5.231955187477612e-05
Immune::GSE22140_HEALTHY_VS_ARTHRITIC_GERMFREE_MOUSE_CD4_TCELL_DN	176	51	3.9523128970419115e-07	5.231955187477612e-05
Immune::GSE2706_UNSTIM_VS_2H_LPS_DC_DN	125	40	4.2086770876382623e-07	5.481462497206285e-05
GO_BP::GOBP_CALCIUM_ION_TRANSPORT	261	68	4.4544416446724467e-07	5.709462901703176e-05
GO_BP::GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	1120	219	4.869229190810516e-07	6.082349055082286e-05
Immune::GSE43863_LY6C_INT_CXCR5POS_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_DN	144	44	4.896008527310818e-07	6.082349055082286e-05
Immune::GSE34392_ST2_KO_VS_WT_DAY8_LCMV_EFFECTOR_CD8_TCELL_DN	145	44	6.063086375958933e-07	7.418094316040664e-05
GO_BP::GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	675	143	6.235623437438669e-07	7.51532227721153e-05
Immune::GSE29618_MONOCYTE_VS_MDC_UP	174	50	6.758425977597509e-07	8.012827819812624e-05
GO_BP::GOBP_BLOOD_VESSEL_MORPHOGENESIS	337	82	6.846874545722241e-07	8.012827819812624e-05
Immune::GSE360_DC_VS_MAC_B_MALAYI_HIGH_DOSE_DN	160	47	7.247490125016739e-07	8.360497537072881e-05
Immune::GSE29618_BCELL_VS_PDC_DAY7_FLU_VACCINE_UP	146	44	7.486155781526589e-07	8.514184216313692e-05
Immune::GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP	180	51	8.396627274963867e-07	9.417050728518504e-05
GO_BP::GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	895	180	8.660930549192614e-07	9.580412902017857e-05
Immune::GSE7348_UNSTIM_VS_LPS_STIM_MACROPHAGE_DN	133	41	9.188314793593322e-07	0.00010026438102468388
Immune::GSE7460_TCONV_VS_TREG_THYMUS_DN	152	45	9.762998304594121e-07	0.00010511494841279671
GO_BP::GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	826	168	9.961714182080092e-07	0.00010584321318460099
GO_BP::GOBP_RESPONSE_TO_OXYGEN_LEVELS	216	58	1.0769215775456839e-06	0.0001119766494625095
GO_BP::GOBP_REGULATION_OF_TRANSPORT	1162	224	1.0823757048174312e-06	0.0001119766494625095
GO_BP::GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	111	36	1.0954991092926626e-06	0.0001119766494625095
GO_BP::GOBP_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	134	41	1.1422473402692496e-06	0.00011529559090842737
GO_BP::GOBP_MUSCLE_CONTRACTION	182	51	1.2078905859832205e-06	0.00012041625286190749
Immune::GSE43955_1H_VS_20H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN	139	42	1.2285180056907786e-06	0.00012097905970674436
GO_BP::GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION	310	76	1.2791986798651374e-06	0.00012165819034318031
GO_BP::GOBP_CELL_MORPHOGENESIS	689	144	1.2814515892833234e-06	0.00012165819034318031
Immune::GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN	163	47	1.3000007115044212e-06	0.00012165819034318031
Immune::GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_HET_2H_UP	144	43	1.3096564223151566e-06	0.00012165819034318031
Immune::GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_DN	130	40	1.3107445894559365e-06	0.00012165819034318031
GO_BP::GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	140	42	1.5141583316889126e-06	0.00013455406961224126
Immune::GSE21670_STAT3_KO_VS_WT_CD4_TCELL_IL6_TREATED_DN	140	42	1.5141583316889126e-06	0.00013455406961224126
Immune::GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_UP	140	42	1.5141583316889126e-06	0.00013455406961224126
Immune::HOWARD_MONOCYTE_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_1DY_UP	159	46	1.5163368835559078e-06	0.00013455406961224126
GO_BP::GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	651	137	1.5823185581150337e-06	0.00013888285170411845
Immune::GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP	174	49	1.6613277228594046e-06	0.00014424969206548055
GO_BP::GOBP_NEGATIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	561	121	1.8299149694230775e-06	0.00015719748274565268
Immune::GSE7852_TREG_VS_TCONV_LN_UP	165	47	1.8956724756295167e-06	0.0001611321604285089
Immune::GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP	118	37	1.957153596750519e-06	0.00016351227156454954
Immune::GSE7852_TREG_VS_TCONV_THYMUS_UP	146	43	1.9641721785462916e-06	0.00016351227156454954
