gene
AB015752.3
ABAT
ABCA1
ABCA12
ABCA3
ABCA7
ABCA8
ABCB9
ABCC1
ABCC3
ABCC4
ABCG1
ABHD3
ABI3BP
ABLIM2
ABR
ABTB2
AC000085.4
AC002066.1
AC002127.4
AC002463.3
AC003090.1
AC003099.2
AC003991.3
AC004158.3
AC004540.5
AC004951.6
AC005740.7
AC006296.4
AC007193.6
AC007563.5
AC007682.1
AC008067.2
AC008269.2
AC009264.1
AC009501.4
AC011288.2
AC012593.1
AC013463.2
AC016745.3
AC017101.10
AC023469.1
AC026188.1
AC064875.2
AC067956.1
AC072062.3
AC074391.1
AC079305.11
AC079610.1
AC079779.4
AC079807.4
AC092155.4
AC092684.1
AC097721.2
AC104088.1
AC105461.1
AC105760.2
ACAT2
ACHE
ACTN1
ACTN2
ACVR1C
ADAM12
ADAMTS9
ADAP2
ADCY1
ADCY8
ADCY9
ADD3-AS1
ADGRB3
ADGRL1
ADGRL1-AS1
ADORA1
ADRA1B
AEBP1
AF038458.3
AF131217.1
AFAP1
AGAP2
AGBL1
AGBL2
AGBL3
AGFG2
AGPAT4
AHNAK
AHNAK2
AHRR
AJAP1
AK7
AKAP12
AKAP6
AL163953.3
ALCAM
ALDH1A1
ALDH1L1-AS2
ALK
AMPH
ANGPT1
ANK2-AS1
ANK3
ANKRD33B
ANKRD7
ANKUB1
ANO5
ANO6
ANOS1
ANXA1
ANXA2
AP000233.4
AP000282.2
AP000318.2
AP000462.2
AP000487.6
AP001347.6
APBA2
APOC1
APOD
APOE
APOLD1
APP
APP-DT
APTR
AQP1
AR
ARHGAP15
ARHGAP18
ARHGAP27
ARHGAP28
ARHGAP29
ARHGAP31
ARHGAP35
ARHGAP39
ARHGAP44
ARHGAP6
ARHGAP8
ARHGEF18
ARHGEF26-AS1
ARHGEF3
ARHGEF4
ARID3A
ARID5A
ARID5B
ARL15
ARL17B
ARMC3
ARPP21
ARRB1
ARRDC3
ARRDC3-AS1
ARRDC4
ARSB
ARSG
ART3
ASB4
ASL
ASTN2-AS1
ATF3
ATOH8
ATP11A
ATP1A1
ATP1A2
ATP1B3
ATP2B3
ATP2B4
ATP6V0D1-DT
ATP8B4
ATP9A
ATRNL1
AVEN
AVIL
AXDND1
B3GAT2
BAALC-AS1
BAALC-AS2
BACH2
BAG3
BAIAP2
BBOX1-AS1
BCAS1
BCL2
BCL2L14
BCL6
BEND6
BEST3
BEX1
BEX2
BICC1
BICD1
BID
BIN1
BNC2
BNIP3L
BOC
BRCA1
BRINP1
BRINP2
BTBD11
BTG2
C10orf90
C11orf65
C12orf42
C1QL1
C1QTNF4
C1QTNF7
C1QTNF7-AS1
C1orf21
C1orf87
C2
C2CD2
C2CD6
C3orf35
C4orf19
C4orf45
C5orf17
C7orf61
C8orf37-AS1
C9orf153
CA1
CA10
CA3
CA8
CABCOCO1
CABLES1
CACNA1A
CACNA1B
CACNA1E
CACNA1I
CACNB2
CACNB3
CACNG2
CADM1
CADM2
CADPS
CALCB
CALCRL
CALN1
CALY
CAMK2A
CAMK2B
CAP2
CASC17
CASC2
CASS4
CASTOR2
CATIP
CATSPERE
CATSPERG
CAVIN1
CBLN2
CC2D2B
CCBE1
CCDC102B
CCDC124
CCDC141
CCDC146
CCDC175
CCDC192
CCDC26
CCDC3
CCDC40
CCDC59
CCDC80
CCDC85A
CCK
CCL2
CCND2
CCND3
CCNH
CCSER1
CD200R1
CD38
CD44
CD72
CD81
CD99
CDH10
CDH18
CDH20
CDH23
CDH3
CDK18
CDKL1
CDKN1A
CDKN2B-AS1
CDON
CDR2
CEACAM16-AS1
CELF4
CEMIP
CENATAC-DT
CEP128
CEP350
CERS4
CERS6
CES2
CFAP161
CFAP47
CFAP54
CFI
CH17-140K24.2
CH17-174L20.1
CH507-513H4.1
CH507-528H12.1
CHD5
CHI3L1
CHL1-AS2
CHODL
CHRNE
CHST11
CHST6
CHST9
CIITA
CKB
CLCF1
CLDN4
CLIC4
CLIP2
CLNK
CLSTN2
CLSTN3
CLU
CLVS2
CMSS1
CNKSR2
CNKSR3
CNNM2
CNR1
CNTN1
CNTN2
CNTN5
CNTNAP2
CNTNAP5
COBL
COL21A1
COL23A1
COL24A1
COL25A1
COL27A1
COL28A1
COL4A2
COL5A1
COL5A2
COL5A3
COL6A2
COTL1
COX10-AS1
COX7A1
CP
CPE
CPEB1
CPEB3
CPED1
CPM
CRADD
CREB5
CRIM1-DT
CRISPLD1
CRK
CRPPA
CRTC3-AS1
CRYAB
CRYBB2
CRYM
CSDC2
CSMD1
CSMD2
CTA-292E10.6
CTB-35F21.1
CTB-66B24.1
CTC-329D1.2
CTC-340A15.2
CTC-347C20.1
CTC-428H11.2
CTC-490G23.6
CTC-498M16.4
CTC-513N18.6
CTC-535M15.2
CTCF
CTD-2015H6.3
CTD-2040G12.2
CTD-2054N24.2
CTD-2126E3.6
CTD-2172F7.1
CTD-2189E23.1
CTD-2201E18.6
CTD-2272D18.1
CTD-2282P23.2
CTD-2297M2.1
CTD-2313D3.2
CTD-2349P21.11
CTD-2527I21.15
CTD-2537O9.1
CTD-2643I7.5
CTD-3239E11.2
CTNNA2
CTNNA3
CTSD
CTXN1
CTXND1
CUX1
CXCL14
CXXC4-AS1
CXXC5
CYP1B1-AS1
CYP4F12
CYP4F3
CYP4X1
CYP7B1
DAAM1
DAB1
DACH1
DCHS2
DCN
DDB2
DELEC1
DENND2A
DEPP1
DEPTOR
DGCR5_ENSG00000273032
DGKB
DGKG
DGKZ
DHRS3
DHRS7B
DHRSX
DIAPH2
DIO2
DIO2-AS1
DIRC3
DIRC3-AS1
DISC1
DISC1FP1
DISP1
DISP3
DLC1
DLEU1
DLEU2
DLGAP1
DLGAP2
DMGDH
DMWD
DNAAF1
DNAH11
DNAH12
DNAH2
DNAH5
DNAH6
DNAH7
DNAH8
DNAH9
DNAJB1
DNASE1L1
DNM1
DNM2
DNM3
DOC2A
DOCK10
DOCK11
DOK5
DPH6
DPH6-DT
DPP10
DPP10-AS1
DPP10-AS3
DPP6
DPYD
DPYSL3
DPYSL5
DRAIC
DRC1
DSCAM
DST
DUSP1
DUSP15
DUSP8
DYNC1I1
EBF4
ECE1
ECE2
ECSIT
EDIL3
EEF2K
EEPD1
EFCAB11
EFCAB2
EFEMP1
EFNA5
EGF
EGFR
EGLN3
ELAPOR2
ELAVL2
ELAVL3
ELL2
EML6
EMP1
ENOX1
ENSA
EPB41
EPB41L3
EPB41L4A
EPB41L4B
EPCAM-DT
EPHA4
EPHA6
EPHA7
EPHB2
EPHB6
EPHX4
EPM2A
EPS15-AS1
EPSTI1
ERC2
ERICH3
ESRRB
ETV5
EVA1C
EXT1
EYA1
EYA2
EYA4
EYS
F11-AS1
F3
F5
FAAH2
FABP5
FADS2
FAM107A
FAM107B
FAM110C
FAM117B
FAM13C
FAM174B
FAM189A1
FAM20C
FAM222B
FANCC
FAP
FAR2
FAT3
FAU
FAXC
FAXDC2
FBLN1
FBXO16
FBXO17
FBXO27
FBXO32
FCHO1
FGF12
FGF17
FGFR1
FGL1
FHAD1
FHDC1
FIGN
FILIP1L
FIRRE
FKBP5
FLCN
FLRT2
FN1
FOS
FOSL2
FOXO3
FREM1
FREM2
FRK
FRMD3
FRMD5
FRMD6-AS2
FRMPD4
FRY
FSD1
FSIP1
FSIP2
FSTL5
FTH1
FTL
FYN
FZD8
FZD9
GAB1
GAB2
GABPB2
GABRA4
GABRE
GAD2
GADD45A
GADD45B
GADD45G
GAL3ST2
GALNT10
GALNT16
GALNT8
GALNTL6
GAP43
GAPDH
GAS7
GBE1
GCLM
GCNT1
GDPD5
GEM
GEMIN7-AS1
GFAP
GFOD2
GFPT2
GFRA1
GFRA2
GINS3
GJA1
GLIPR1L1
GLIS3
GLRX
GMDS
GMPR
GNA14
GNA14-AS1
GNB5
GNG12-AS1
GNG4
GNG7
GPC4
GPC5-AS2
GPC6
GPM6A
GPNMB
GPR137C
GPR156
GPR176
GPR39
GRB10
GREM1
GRIA1
GRIA4
GRIK1
GRIK2
GRIK4
GRIN1
GRIN2A
GRK3
GRM3
GRM3-AS1
GRM7
GS1-433O24.1
GS1-57L11.1
GSG1L
GTDC1
GTF2IRD1
GUCY1A1
GULP1
H2AZ1-DT
H3-3B
HAP1
HAUS7
HAVCR2
HCK
HDAC2-AS2
HDAC9
HDHD5-AS1
HEG1
HELB
HEPN1
HES1
HES4
HES5
HGF
HHAT
HHIP
HIF1A-AS3
HIF3A
HIP1
HIVEP3
HLA-E
HLCS
HMGA1P4
HMGA2
HMGCS1
HMGN5
HMOX1
HNF4G
HOPX
HPN
HPN-AS1
HPRT1
HPSE2
HRH1
HS3ST2
HS3ST3A1
HS3ST3B1
HS3ST5
HSD11B1
HSD17B14
HSP90AA1
HSPA4L
HSPB1
HSPH1
HTR1E
HTR2A
HTR2C
ICAM1
ID1
ID2
ID3
IDH2-DT
IDI1
IER5L
IFFO2
IFI16
IFI44L
IFI6
IFITM3
IGFBP7
IGSF21
IL1R1
IL1RAPL2
IL7
IMMP2L
INSIG1
INSYN2B
IPO9-AS1
IQCA1
IQCH
IQCJ-SCHIP1
IQCK
IQCM
IRAK2
IRS1
IRS2
ISYNA1
ITGA2
ITGA3
ITGA5
ITGA9
ITIH5
ITPKB
ITPKC
ITPR1
ITPRIP
JAK3
JAM3
JAZF1
JHY
JUNB
JUND
KANK2
KANK3
KAT8
KAZN
KBTBD12
KCNB2
KCND3
KCNE4
KCNG1
KCNH5
KCNH7
KCNIP1
KCNIP4
KCNJ16
KCNK15-AS1
KCNMB2
KCNMB2-AS1
KCNN1
KCNN2
KCNN3
KCNQ5
KCTD16
KHDRBS2
KHDRBS3
KIAA0513
KIAA0825
KIAA1217
KIAA1328
KIAA1549L
KIF3C
KIF5C
KIF5C-AS1
KIF6
KIF9-AS1
KIRREL3
KITLG
KLF2
KLF2-DT
KLF6
KLHL13
KLHL29
KLHL32
KLHL4
KLRD1
KNOP1
KRTAP5-AS1
L3MBTL2-AS1
L3MBTL3
LAMA2
LAMA4
LAMB4
LCNL1
LDLR
LDLRAD3
LDLRAD4
LEFTY1
LEKR1
LEPR
LGALSL-DT
LGI1
LGR6
LHFPL6
LIMCH1
LIME1
LIN7A
LINC00271
LINC00278
LINC00326
LINC00342
LINC00407
LINC00499
LINC00504
LINC00506
LINC00511
LINC00513
LINC00534
LINC00540
LINC00558
LINC00571
LINC00598
LINC00609
LINC00632
LINC00637
LINC00685
LINC00836
LINC00842
LINC00862
LINC00877
LINC00884
LINC00886
LINC00907
LINC00923
LINC00958
LINC00960
LINC01006
LINC01036
LINC01088
LINC01094
LINC01117
LINC01135
LINC01137
LINC01182
LINC01185
LINC01208
LINC01239
LINC01252
LINC01266
LINC01277
LINC01301
LINC01320
LINC01322
LINC01340
LINC01344
LINC01358
LINC01374
LINC01376
LINC01411
LINC01414
LINC01503
LINC01515
LINC01524
LINC01554
LINC01572
LINC01579
LINC01605_ENSG00000253161
LINC01609
LINC01618
LINC01619
LINC01630
LINC01695
LINC01725
LINC01727
LINC01768
LINC01829
LINC01876
LINC01877
LINC01931
LINC01934
LINC01937
LINC01950
LINC01951
LINC02053
LINC02144
LINC02196
LINC02208
LINC02217
LINC02234
LINC02246
LINC02250
LINC02251
LINC02315
LINC02320
LINC02326
LINC02327
LINC02328
LINC02355
LINC02356
LINC02389
LINC02506
LINC02615
LINC02649
LINC02652
LINC02664
LINC02715
LINC02740
LINC02742
