model,,feature,coef
logreg,0,sciRED_0,0.13235122624816315
logreg,1,sciRED_1,-0.11564295050080757
logreg,2,sciRED_2,-0.1466166658424246
logreg,3,sciRED_3,-0.09740124229067641
logreg,4,sciRED_4,0.181957608066333
logreg,5,sciRED_5,-0.08244238645185897
logreg,6,sciRED_6,0.4145616743660096
logreg,7,sciRED_7,-1.1481082045089368
logreg,8,sciRED_8,-0.10481833506806239
logreg,9,sciRED_9,-0.10106794780126521
logreg,10,sciRED_10,0.17264954157551538
logreg,11,sciRED_11,-0.26607739634921385
logreg,12,sciRED_12,-0.37824592247754873
logreg,13,sciRED_13,-0.004795962360079275
logreg,14,sciRED_14,-0.16756154250191466
logreg,15,sciRED_15,0.1924601932182685
logreg,16,sciRED_16,0.07704189666025721
logreg,17,sciRED_17,-0.46625682084084946
logreg,18,sciRED_18,-0.2349336611207637
logreg,19,sciRED_19,-0.2637417251606224
logreg,20,sciRED_20,-0.21804653643539526
logreg,21,sciRED_21,-0.2823078817615052
logreg,22,sciRED_22,0.11172327467935697
logreg,23,sciRED_23,0.20184283976488418
logreg,24,sciRED_24,-0.7908563331062737
logreg,25,sciRED_25,-0.2295629335366498
logreg,26,sciRED_26,-0.20213749488344104
logreg,27,sciRED_27,-0.05349051196727367
logreg,28,sciRED_28,-0.24983222008714534
logreg,29,sciRED_29,-0.06006357254037399
logreg,30,sciRED_30,-0.04661591043233073
logreg,31,sciRED_31,-0.10921644707167417
logreg,32,sciRED_32,-0.007163997905980086
logreg,33,sciRED_33,-0.008551158293861438
logreg,34,sciRED_34,-0.06445542045893325
logreg,35,sciRED_35,0.03713994555930612
logreg,36,sciRED_36,-0.12715565433871742
logreg,37,sciRED_37,-0.10967460832335228
logreg,38,sciRED_38,0.05776336456182715
logreg,39,sciRED_39,-0.08946016928235348
