,sciRED_0,sciRED_1,sciRED_2,sciRED_3,sciRED_4,sciRED_5,sciRED_6,sciRED_7,sciRED_8,sciRED_9,sciRED_10,sciRED_11,sciRED_12,sciRED_13,sciRED_14,sciRED_15,sciRED_16,sciRED_17,sciRED_18,sciRED_19,sciRED_20,sciRED_21,sciRED_22,sciRED_23,sciRED_24,sciRED_25,sciRED_26,sciRED_27,sciRED_28,sciRED_29,sciRED_30,sciRED_31,sciRED_32,sciRED_33,sciRED_34,sciRED_35,sciRED_36,sciRED_37,sciRED_38,sciRED_39
ABCD3,0.002066165611044757,0.0009471501148602333,-0.016674770713397697,-0.004501286619192433,0.0015885865974220145,-0.0034098433390659408,-0.00647434097832497,-0.00016075831950217902,-0.005009694816000778,-0.009978688763179528,-0.015549318846301273,0.005395792450484012,-0.0096849637770641,0.009264495934228626,0.009165840596395296,0.006602631163477359,-0.0033192460762446227,0.022952313692954963,0.00909631555705885,0.0001533810417782343,0.0160240631218378,0.0022365907876208094,0.0040858990553139804,-0.013725814725554522,-0.017626731262252626,0.005325344461274778,-0.0005943317130926277,-0.02817059603093123,0.023502411643969847,0.005464771477877291,-0.02747989614049057,0.039431594189778055,-0.025937274161443726,0.007354027581502957,-0.009024645632463753,-3.296922069824298e-05,0.007632100364552085,0.0206497380532678,0.004815654591476926,0.07023295317320292
ABCG1,-0.0040253464072688315,-0.0035162318863609047,-0.009297372053829097,-0.00013245044036382545,-0.006048507118500952,-0.0012411364193303414,0.0006041057127989392,-0.004917265128268341,0.016173849260763408,-0.00014917922815377768,-0.006206273425701593,-0.007258288354503441,0.01447447981115668,-0.004771009365234202,0.021602165882530146,0.0050924121370769385,-0.009473079382780344,0.005261243394439458,-0.01983100222526252,0.018835907848525638,0.010183240262551017,0.014726437346522517,0.024399869232589896,-0.005808243172469606,0.011067254521376984,0.014405849720840464,-0.013015101851358497,0.00476122676375,-0.008310076304836026,-0.017702716622433744,0.01911064048901047,-0.003952090541209765,0.008035556441855912,0.02723291615248005,0.0025341372359188956,-0.013417589878252765,0.013578426107120005,0.03513404664872789,-0.03789880529962704,0.0068284172612051485
ABHD5,0.0012350682174660543,0.0004791956654883053,0.01613915404880228,0.00022451879274458338,-0.0022628515521112944,0.0001745318820554517,0.0009583064311811479,-0.014937640405568857,0.008496325908872842,0.03461572253285392,0.009474403537135759,-0.0005394102793631269,0.016592945508048823,-0.004546034165596678,-0.008194600161511962,-0.022332536957334222,0.00021916251745779099,0.0018151195952282304,0.012692681691549497,0.005187841114590743,-0.0003203723880202307,-0.01973459467648275,-0.021287660560493755,0.0032796750653005307,-0.014058696574915784,0.012514285371807729,0.006085305894265596,0.008173441736590162,0.005791143340946083,0.008779394009947764,-0.01827131726425508,0.018261595335032313,-0.023607500788727327,0.026937162983007884,0.020924566731297174,0.001870519996060072,0.006727601100623968,0.007300406640611434,0.026039889752965544,0.04238227388412204
ABI1,0.0011838819087925266,-0.008150632330482528,0.03931408225594416,-0.010119220654490908,0.007076932301476854,0.002600514499065417,-0.0012988003905572965,0.03397855451996754,0.0011912429324626328,-0.006243386723898107,-0.028104745774128567,0.0036156249933133456,0.0068140505099032606,-0.015345746506191832,0.004283729420527154,-0.0005611962630297534,-0.013890077080919291,0.01740645003562679,0.05259870565686034,-0.012361618428855156,0.006852851897133865,0.03252275221484631,0.0006060618019461397,0.012254586745096534,-0.022536156984266597,0.006753694926284866,0.01188789781624607,0.011840994565139297,0.011621687959160505,-0.0003239774615342861,0.03268183601889121,0.0060362348106496495,0.0192082352909291,-0.000531877295479227,-0.025960070706588845,-0.0019993236009827435,-0.01042423386655289,-0.021530634937831097,0.016631864199315154,0.0016146914125071668
ABLIM1,-0.01096712768772778,0.004065059705241061,-0.00899923563772351,-0.01659063604787673,-0.004133430686617557,0.0004531410639248205,0.013693378292506636,0.010465873487210418,0.00676559444312109,0.015641193198620583,-0.0028612431446032815,0.014505665973214165,0.0242476968391786,0.013662778685277103,0.01927612485304494,0.004614681410259304,0.02117968098519439,0.09921934195556649,-0.021986591644361387,0.0015221163080941496,0.001906675719694164,-0.004219460742729338,0.040750223062449464,0.01760953939211286,-0.025446696429330187,-0.03765749052765428,0.006095715934758132,0.010629903477661693,-0.008644395192719595,0.0057436021980271385,-0.002662683482550836,-0.0014459892388626596,-0.003832600709346662,-0.006285189021499677,0.009200479230200103,0.005656511123693525,-0.009403970934266898,-0.000659536305414691,0.013883675798042146,0.0022611384789482207
ABTB1,-0.0076943904968477216,-0.011476493637145046,0.013495356108369879,0.01692179678529582,0.002040784126734545,-0.009864026779280211,0.004188361454900281,0.0023539534389453703,0.02987707459389653,-0.0011226352619826917,-0.032206927392491515,-0.009108029552326632,-0.013397942194417478,0.004120259681215272,-0.015339782450781263,-0.005762393243739611,-0.016032038791277282,-0.0003476915693501437,-0.00124516195901384,0.0007872362121476486,-0.008501433296048631,-0.05686195998149008,-0.0027833875262203,0.0020278546803889205,0.017818130102165416,0.028993140971760516,-0.0015695880784646202,0.04050011629002157,0.02021586502707329,-0.012194600553261506,0.003076719711149359,-0.008848200441317932,-0.020171736122532275,0.03759279724036022,-0.043716111803813934,-0.010905412390860183,0.036529458483129926,0.006913218686267605,0.009470313930237655,0.029229345364241266
AC004687.1,0.010742621788332058,-0.006619344672106955,0.010385382634272869,-0.025287540997299067,-0.014482347479889376,-0.003155191345609271,-0.004783553481114166,-0.0003550794508606765,-0.00024887105767384894,0.07889121483331717,0.03086674339666586,0.04409228127214648,-0.0061516584754273355,-0.03996712120227595,0.003008663897375395,-0.015259897241490428,-0.0005710601737237512,-0.011231146650712091,0.0005825825007230958,0.003962216023174598,0.02015806172310083,0.0011349206206965946,-0.00631040648403877,-0.018826331812773486,0.008781530115495477,0.04720667628041324,-0.04415227641749777,-0.025538598210308842,0.026354495109356682,-0.015661354124913967,0.05748998398182806,0.010106713508565856,0.0029523107104967887,-0.018852047811315973,-0.03388243032127897,-0.02476774868475231,0.01966118091137194,0.014263577102157607,0.014710023236365855,0.04908902823470729
AC004854.2,0.0018958195660583493,-0.007627858890154338,0.016207003200098224,-0.004834228938318952,0.0012661697567261092,-7.699088975577465e-05,0.008149570805737033,0.0017736707088212215,0.0035636678985401706,0.01572670925192056,0.006095525938148695,-0.0036245238675284655,0.0042216024730380745,-0.010863639952961803,0.08980509548106158,0.003757787742155167,-0.0006914415147964648,-0.008369965277064679,0.004553846598030809,0.02238864103199695,-0.012416472992417674,0.018558233690539876,-0.02171218969255098,0.006329302271771264,-0.009567746838840282,-0.004643013222801058,-0.014453867354170652,-0.028030347005499306,0.0011237787712529558,0.01517029315169233,-0.006639477072682388,0.01577968585472364,-0.016793375600928525,0.006820240125001629,-0.005707039078853993,-0.005168167321314371,0.0035475372988436472,-0.014518251907372144,-0.0038919858456653595,-0.04438397908756288
AC007952.4,-0.0060289739520481694,0.03716162386325651,-0.0005870599717266707,-0.06830411561344667,-0.011417846994960738,-0.0031243248713115662,-0.029180551878319534,-0.020605730596291682,0.004110661981161436,0.05524255886540866,0.00474465346896137,0.03090396490732996,0.0018091669419556442,-0.29899853080013744,0.02957300306563349,0.0034079139641443102,0.035605446757136804,-0.03185284940652328,0.013889595300900491,-0.006512374011285022,0.00020043893195964712,-0.00036275582402229905,0.000701961901487206,0.011699253445925562,0.006043454345627446,-0.012847229590647059,0.01658200563666752,0.013740967936296805,0.033108426481430094,-0.00691277473376682,-0.01635003541204192,0.013266555086001074,0.015098674371964356,0.013889700692389224,-0.012475188566078925,-0.025330384914814135,0.0057418025883436245,-0.009803555129908225,-0.007196702847845898,-0.01657527080373879
AC008105.3,0.002688015897369605,0.00010369765414924585,-0.05076629007941574,0.0020292680717068174,-0.011017520183130812,-0.0019441485620330845,-0.007784409957965263,0.019097519196488125,-0.007245856079936297,0.0021239745984452905,-0.0007642541180063554,-0.007825145023263902,0.0015430610686085393,-0.011707283905999167,-0.0120525438597418,-2.0137455039485963e-06,-0.00425526374097436,0.030549450284390593,0.0053714969719823305,0.0013894604095231638,0.009632378666989279,-0.019593892924456523,-0.022084018589400196,-0.019303668841479115,-0.01697950967801239,0.01682582178197611,-0.0053780084666197195,-0.012554535679468598,-0.011878026201416555,0.016086590564896083,0.024875720879313272,0.02078843531914604,0.02754790874429998,0.010998197318182216,0.016886594718200337,-0.00867519328363726,0.00907866510008683,0.011117198775324919,0.018794176899117866,0.008876176742830026
