model,,feature,coef
logreg,0,scNET_0,-1.2282425445593301
logreg,1,scNET_1,-0.7299293134412765
logreg,2,scNET_2,-2.3908580452481334
logreg,3,scNET_3,-1.668903391792487
logreg,4,scNET_4,-0.2949255185128569
logreg,5,scNET_5,0.0786569608296421
logreg,6,scNET_6,-1.8030483095680014
logreg,7,scNET_7,1.5366961767234544
logreg,8,scNET_8,-0.9544280937430241
logreg,9,scNET_9,-2.3764240672202166
logreg,10,scNET_10,-0.32448009919923737
logreg,11,scNET_11,-1.4621325802055538
logreg,12,scNET_12,-3.866696958875112
logreg,13,scNET_13,3.6986098759137382
logreg,14,scNET_14,-1.4843386552088391
logreg,15,scNET_15,-1.6536591506658926
logreg,16,scNET_16,1.0360649017166643
logreg,17,scNET_17,2.0431204144325243
logreg,18,scNET_18,-0.8611473983235273
logreg,19,scNET_19,4.376236141260866
logreg,20,scNET_20,-1.4358206646456362
logreg,21,scNET_21,-0.913860587973124
logreg,22,scNET_22,2.5823123555066965
logreg,23,scNET_23,0.45624343941477724
logreg,24,scNET_24,2.04789340001444
logreg,25,scNET_25,-2.714864221730957
logreg,26,scNET_26,0.9334422306814408
logreg,27,scNET_27,1.9918533775442335
logreg,28,scNET_28,-0.9293462986364186
logreg,29,scNET_29,-1.5093725670824354
logreg,30,scNET_30,1.9534280704774498
logreg,31,scNET_31,0.8151003068160446
logreg,32,scNET_32,2.3709597502860493
logreg,33,scNET_33,-1.6356794709600775
logreg,34,scNET_34,1.0785903250338797
logreg,35,scNET_35,0.07286504174940721
logreg,36,scNET_36,2.5598559756273405
logreg,37,scNET_37,3.1661390335673163
logreg,38,scNET_38,-0.014287709074260975
logreg,39,scNET_39,2.888400595798063
logreg,40,scNET_40,-0.03433419762239604
logreg,41,scNET_41,-3.9282595701711145
logreg,42,scNET_42,-0.011636336730741962
logreg,43,scNET_43,3.37418060605345
logreg,44,scNET_44,0.578872001404968
logreg,45,scNET_45,1.7671489195900223
logreg,46,scNET_46,0.1172287409779588
logreg,47,scNET_47,-1.8683132834458476
logreg,48,scNET_48,0.8177493055395766
logreg,49,scNET_49,-1.5813014684670992
logreg,50,scNET_50,0.7209981060595376
logreg,51,scNET_51,-2.1154492062394197
logreg,52,scNET_52,0.18757085964263256
logreg,53,scNET_53,-2.9054854988659327
logreg,54,scNET_54,1.1004647542905117
logreg,55,scNET_55,2.2634949989402697
logreg,56,scNET_56,-1.588497050777111
logreg,57,scNET_57,-6.30468730923779
logreg,58,scNET_58,-0.4019798091382229
logreg,59,scNET_59,-0.5472858560551971
logreg,60,scNET_60,-1.966780230555247
logreg,61,scNET_61,-0.36779090047931035
logreg,62,scNET_62,2.416465263339405
logreg,63,scNET_63,-1.0508249882394578
logreg,64,scNET_64,1.3348257944270991
logreg,65,scNET_65,-1.1034828313584906
logreg,66,scNET_66,-0.16342048330329567
logreg,67,scNET_67,-0.3847873622893423
logreg,68,scNET_68,-4.509757582693637
logreg,69,scNET_69,-2.4920847407674174
logreg,70,scNET_70,3.6724146579668
logreg,71,scNET_71,3.5839316884439794
logreg,72,scNET_72,0.5142538031952074
logreg,73,scNET_73,-0.020573272929927767
logreg,74,scNET_74,-1.7116067561060404
