model,,feature,coef
logreg,0,SDAN_0,0.13514821604234645
logreg,1,SDAN_1,0.07813135735893825
logreg,2,SDAN_2,0.3862755794515139
logreg,3,SDAN_3,0.03664488036258809
logreg,4,SDAN_4,-0.17126658489525473
logreg,5,SDAN_5,-0.05026994160596498
logreg,6,SDAN_6,-0.053568349685812575
logreg,7,SDAN_7,0.06887090317597083
logreg,8,SDAN_8,-0.07569745974455011
logreg,9,SDAN_9,0.18671054126844402
logreg,10,SDAN_10,-0.01589928226481764
logreg,11,SDAN_11,0.07134879895506367
logreg,12,SDAN_12,-0.01873335027350011
logreg,13,SDAN_13,0.026463353558872603
logreg,14,SDAN_14,-0.07232881208328606
logreg,15,SDAN_15,-0.06004439770485513
logreg,16,SDAN_16,0.05173951805223085
logreg,17,SDAN_17,0.007322253081874683
logreg,18,SDAN_18,-0.0029236804391275565
logreg,19,SDAN_19,0.0111019555520214
logreg,20,SDAN_20,0.03059375234136426
logreg,21,SDAN_21,-0.10550191537109375
logreg,22,SDAN_22,0.06592316463667396
logreg,23,SDAN_23,-0.4777139084995649
logreg,24,SDAN_24,-0.010255913515935716
logreg,25,SDAN_25,-0.07164641123603463
logreg,26,SDAN_26,0.015846739361248332
logreg,27,SDAN_27,0.04807664960236291
logreg,28,SDAN_28,-0.030929757512459813
logreg,29,SDAN_29,-0.056176017263120014
logreg,30,SDAN_30,-0.019260310180486042
logreg,31,SDAN_31,0.061713670999088435
logreg,32,SDAN_32,-0.02841140633923045
logreg,33,SDAN_33,-0.031823006417265466
logreg,34,SDAN_34,-0.0730195585836695
logreg,35,SDAN_35,0.005300824876545517
logreg,36,SDAN_36,0.03762227818929529
logreg,37,SDAN_37,0.29118062261201083
logreg,38,SDAN_38,0.08344432948380702
logreg,39,SDAN_39,-0.02992866582855472
