cell_type,sdan_weight,program,cell_level_auroc,individual_level_auroc
CD8T,0.0,SDAN_0,0.47156039101572905,0.7641730938272164
CD8T,0.0,SDAN_1,0.5512848298833064,0.41742023125341177
CD8T,0.0,SDAN_2,0.5876985776333545,0.41196303005752466
CD8T,0.0,SDAN_3,0.4965952438276849,0.576104443357705
CD8T,0.0,SDAN_4,0.5476710976575632,0.4101190523780272
CD8T,0.0,SDAN_5,0.5438503034954932,0.4041405604910404
CD8T,0.0,SDAN_6,0.5598482356419027,0.40838811632672006
CD8T,0.0,SDAN_7,0.5566823196848427,0.5251517900330597
CD8T,0.0,SDAN_8,0.47177604258768324,0.5317017362216914
CD8T,0.0,SDAN_9,0.537869151325955,0.4109323025002854
CD8T,0.0,SDAN_10,0.5675330166789643,0.4160098204081669
CD8T,0.0,SDAN_11,0.5533215376124601,0.4282619005740027
CD8T,0.0,SDAN_12,0.5486675122548326,0.4092455059845438
CD8T,0.0,SDAN_13,0.5784652927255911,0.43206431335761175
CD8T,0.0,SDAN_14,0.49164012026097004,0.42711935285999764
CD8T,0.0,SDAN_15,0.5509566642033114,0.41704793231538123
CD8T,0.0,SDAN_16,0.507566502091759,0.4056848890215481
CD8T,0.0,SDAN_17,0.5393663057027822,0.4148936176119301
CD8T,0.0,SDAN_18,0.5361428341276769,0.4046478042607588
CD8T,0.0,SDAN_19,0.5573621320055766,0.4055764279111995
CD8T,0.0,SDAN_20,0.5480889345238891,0.40571778546786574
CD8T,0.0,SDAN_21,0.5397930245221786,0.4303639973740585
CD8T,0.0,SDAN_22,0.5370912355849626,0.4067888771035404
CD8T,0.0,SDAN_23,0.5845924040536716,0.4460672062461163
CD8T,0.0,SDAN_24,0.5409649335826944,0.38734835432265413
CD8T,0.0,SDAN_25,0.5775944987386306,0.4188747816342222
CD8T,0.0,SDAN_26,0.5241534173457787,0.4255306904689251
CD8T,0.0,SDAN_27,0.5298459510124423,0.4312767418959813
CD8T,0.0,SDAN_28,0.51944671863355,0.5221822541966428
CD8T,0.0,SDAN_29,0.5380276295411353,0.415539359584753
CD8T,0.0,SDAN_30,0.5619771133093745,0.3995429698101123
CD8T,0.0,SDAN_31,0.4327105455872903,0.42675493796479763
CD8T,0.0,SDAN_32,0.5514828131144376,0.6293616801317234
CD8T,0.0,SDAN_33,0.591650962427354,0.4575767983501696
CD8T,0.0,SDAN_34,0.5417689077372677,0.40686730112113306
CD8T,0.0,SDAN_35,0.47481032856238853,0.6418727400002576
CD8T,0.0,SDAN_36,0.48255494192065596,0.5467634782709118
CD8T,0.0,SDAN_37,0.5659622432784597,0.40828040475565464
CD8T,0.0,SDAN_38,0.5534441141863212,0.3990481350796377
CD8T,0.0,SDAN_39,0.5408410359588512,0.7197205284485138
CD8T,0.25,SDAN_0,0.49560049038049914,0.7274927511223102
CD8T,0.25,SDAN_1,0.5151219523355834,0.6262391272386795
CD8T,0.25,SDAN_2,0.5433013425808482,0.49212864381582344
CD8T,0.25,SDAN_3,0.5033949607272359,0.7094035921475822
CD8T,0.25,SDAN_4,0.5630723902279561,0.4846776958873723
CD8T,0.25,SDAN_5,0.4587277958129833,0.4516447501380263
CD8T,0.25,SDAN_6,0.5623051440736268,0.4391296649659343
CD8T,0.25,SDAN_7,0.5044407966475551,0.6970917431640907
CD8T,0.25,SDAN_8,0.5039151058878057,0.5861532944416832
CD8T,0.25,SDAN_9,0.5777832289983985,0.42389691691729037
CD8T,0.25,SDAN_10,0.5448957993157106,0.5027963367405723
CD8T,0.25,SDAN_11,0.5576228482463845,0.4492769833031519
CD8T,0.25,SDAN_12,0.5675682353093353,0.450874695687051
CD8T,0.25,SDAN_13,0.5534556298071216,0.5122160189981002
CD8T,0.25,SDAN_14,0.5322741814165786,0.5113547428402898
CD8T,0.25,SDAN_15,0.5188739141721022,0.6265435234697961
CD8T,0.25,SDAN_16,0.542962467963765,0.4800964562671034
CD8T,0.25,SDAN_17,0.5094611098147644,0.59022415333153
CD8T,0.25,SDAN_18,0.5717282188918883,0.4722559144756801
CD8T,0.25,SDAN_19,0.49923934504185735,0.6368734517849695
CD8T,0.25,SDAN_20,0.46008945543357216,0.4234034979832397
CD8T,0.25,SDAN_21,0.5603774876151142,0.4323504152780757
CD8T,0.25,SDAN_22,0.5469763490397987,0.45763448511426086
CD8T,0.25,SDAN_23,0.47843150363994524,0.6291897302680174
CD8T,0.25,SDAN_24,0.5034233070869559,0.6393794392158064
CD8T,0.25,SDAN_25,0.5210276613081712,0.570614317954786
CD8T,0.25,SDAN_26,0.5540955464183994,0.40534043407985226
CD8T,0.25,SDAN_27,0.569776288842643,0.4178718703126034
CD8T,0.25,SDAN_28,0.4411209372182913,0.4526702586809975
CD8T,0.25,SDAN_29,0.5535514677671984,0.43058005901261576
CD8T,0.25,SDAN_30,0.5559799792457988,0.5224074768708834
CD8T,0.25,SDAN_31,0.5297430131113986,0.5139629452207821
CD8T,0.25,SDAN_32,0.4973327045210373,0.6552220346338229
CD8T,0.25,SDAN_33,0.5263468803036468,0.6530545335911304
CD8T,0.25,SDAN_34,0.5442913177621416,0.46740986540273244
