term	set_size	overlap	pval	padj
Immune::ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_1DY_DN	690	305	8.841825898870489e-28	7.417407746562453e-24
Reactome::REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	89	67	1.8234799686979286e-22	7.648586728703462e-19
Reactome::REACTOME_SELENOAMINO_ACID_METABOLISM	93	67	1.1288048350984419e-20	3.1565145872136094e-17
Immune::GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN	112	75	5.952380913873295e-20	1.2483630871620769e-16
GO_BP::GOBP_CELL_ACTIVATION	519	225	3.9305725370895076e-19	6.228008245434982e-16
Reactome::REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	97	67	4.522786876556024e-19	6.228008245434982e-16
Immune::GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN	117	76	5.196812220532229e-19	6.228008245434982e-16
Reactome::REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	115	75	6.286084116944696e-19	6.591744957131132e-16
GO_BP::GOBP_DEFENSE_RESPONSE	727	292	8.717508323748027e-19	8.125686369769133e-16
Immune::GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_DN	121	77	1.850593456470679e-18	1.5524628506332524e-15
Reactome::REACTOME_NONSENSE_MEDIATED_DECAY_NMD	110	72	2.3638415787286834e-18	1.802751545814084e-15
Immune::GSE24574_BCL6_HIGH_TFH_VS_TFH_CD4_TCELL_DN	171	97	6.883340267364444e-18	4.8120284585766935e-15
Immune::GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP	184	101	3.219908266360731e-17	2.0778315728077053e-14
Immune::GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_UP	165	93	5.954362038583536e-17	3.5679387958340914e-14
GO_BP::GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	776	300	1.6636545298554631e-16	9.304265233971653e-14
Immune::GSE24671_CTRL_VS_BAKIMULC_INFECTED_MOUSE_SPLENOCYTES_DN	79	55	4.032740832359237e-16	2.1144164276663525e-13
