term	set_size	overlap	pval	padj
GO_BP::GOBP_REGULATION_OF_CELL_CELL_ADHESION	223	100	1.7144697017666385e-15	2.8621147266226737e-13
GO_BP::GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	498	181	1.8396937833102144e-15	3.0097390294955103e-13
GO_BP::GOBP_REGULATION_OF_HEMOPOIESIS	212	96	2.9864527616797457e-15	4.790035998145161e-13
Immune::GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_UP	143	73	3.0712610980898715e-15	4.831329958149067e-13
GO_BP::GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE	391	150	3.299646108123601e-15	5.092661351783218e-13
Immune::GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_UP	81	50	3.5335410610023973e-15	5.352660347962891e-13
Immune::GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_UP	158	78	3.796533358521245e-15	5.646480522309779e-13
GO_BP::GOBP_REGULATION_OF_IMMUNE_RESPONSE	487	177	3.917879517764355e-15	5.722902581305791e-13
GO_BP::GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION	278	116	5.7192739572734455e-15	8.207659819385401e-13
GO_BP::GOBP_LOCOMOTION	422	158	7.059304275460384e-15	9.95605327125275e-13
Immune::GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_TREATED_WITH_DIGOXIN_UP	124	65	2.006444510059691e-14	2.7818162868285206e-12
Immune::GSE32986_CURDLAN_HIGHDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_DN	113	61	2.1996116413934903e-14	2.9988038710997916e-12
GO_BP::GOBP_REGULATION_OF_T_CELL_ACTIVATION	205	92	2.2669023431432367e-14	3.039878879821586e-12
GO_BP::GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION	215	95	2.7659657479032406e-14	3.6492902932013725e-12
Reactome::REACTOME_TRANSLATION	255	107	4.36583314791852e-14	5.512709182613024e-12
Reactome::REACTOME_RRNA_PROCESSING	185	85	4.380514631660716e-14	5.512709182613024e-12
Immune::SCHERER_PBMC_YF_VAX_AGE_18_40YO_4_TO_7DY_DN	185	85	4.380514631660716e-14	5.512709182613024e-12
GO_BP::GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION	207	92	4.666520909905246e-14	5.7836577337916535e-12
Immune::GSE7219_WT_VS_NIK_NFKB2_KO_DC_UP	126	65	5.4581470408267546e-14	6.663827282681023e-12
Immune::GSE22886_NAIVE_CD8_TCELL_VS_DC_UP	171	80	7.369234643539255e-14	8.864755791786928e-12
Immune::GSE36476_CTRL_VS_TSST_ACT_16H_MEMORY_CD4_TCELL_YOUNG_UP	163	77	1.1538590483785018e-13	1.3679082631501658e-11
Reactome::REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	216	94	1.1777273021228155e-13	1.3762584759092331e-11
GO_BP::GOBP_REGULATION_OF_LOCOMOTION	364	138	1.3550413437986162e-13	1.5611603087708e-11
GO_BP::GOBP_REGULATION_OF_CELL_DEVELOPMENT	337	130	1.6336740566934335e-13	1.8560352477433733e-11
Immune::GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_UP	140	69	1.6840474993497407e-13	1.887055965024778e-11
Immune::GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_DN	117	61	1.7739215800312984e-13	1.9609025033318948e-11
Immune::GSE13485_DAY3_VS_DAY7_YF17D_VACCINE_PBMC_DN	95	53	1.9192401796609244e-13	2.0932512892835148e-11
GO_BP::GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	820	260	2.0628331405317034e-13	2.22025988020386e-11
Immune::GSE26156_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP	153	73	2.7045234174947683e-13	2.8362822506547697e-11
Immune::KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_DN	153	73	2.7045234174947683e-13	2.8362822506547697e-11
GO_BP::GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	469	166	4.425185219693784e-13	4.5820272274803984e-11
Immune::GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_DN	161	75	5.935950364291647e-13	6.06950924748821e-11
GO_BP::GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	308	120	6.642613168879151e-13	6.708219224868081e-11
GO_BP::GOBP_RESPONSE_TO_CYTOKINE	424	153	6.77997254603036e-13	6.763436027625408e-11
Immune::ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_AD5_NAB_TITERS_GTE_200_VS_LTE_200_1DY_UP	117	60	7.24268420816527e-13	7.096071340838771e-11
Immune::GSE24671_CTRL_VS_BAKIMULC_INFECTED_MOUSE_SPLENOCYTES_DN	76	45	7.286919225311207e-13	7.096071340838771e-11
Immune::GSE2124_CTRL_VS_LYMPHOTOXIN_BETA_TREATED_MLN_UP	71	43	7.955894760306881e-13	7.656378722271799e-11
GO_BP::GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	465	164	8.770782713312935e-13	8.263528072500556e-11
GO_BP::GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION	162	75	8.78883792552015e-13	8.263528072500556e-11
GO_BP::GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	153	72	9.328978432400688e-13	8.671709497390639e-11
Immune::ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_3DY_UP	74	44	1.0709212233695646e-12	9.842848996812402e-11
Reactome::REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY	45	32	1.1120550668061245e-12	1.0107344940526776e-10
GO_BP::GOBP_POSITIVE_REGULATION_OF_SIGNALING	723	232	1.3270509963852155e-12	1.1928875989484685e-10
GO_BP::GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	301	117	1.5766843034918963e-12	1.4018780002786643e-10
GO_BP::GOBP_ALPHA_BETA_T_CELL_ACTIVATION	113	58	1.6743124466589793e-12	1.472674818674242e-10
GO_BP::GOBP_INFLAMMATORY_RESPONSE	322	123	1.711963758588006e-12	1.4897727175797754e-10
Immune::HARALAMBIEVA_PBMC_M_M_R_II_AGE_11_22YO_VACCINATED_VS_UNVACCINATED_7YR_UP	298	116	1.7639224754919877e-12	1.5188300894236275e-10
