cell_type,sdan_weight,program,factor,n_sdan_genes,n_spectra_genes,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision,n_active_genes,n_internal_edges,avg_degree,connectivity_quantile,test_group_auroc,individual_level_auroc
cd8_BL,2.0,SDAN_14,Spectra_24,1649,2966,881,17,10,0.4791044776119403,0.11285442809145779,17,12,1.411764705882353,0.949,0.4616363115317058,0.5654761904761905
cd8_BL,2.0,SDAN_30,Spectra_14,1649,2966,881,18,18,0.6679541650572938,0.10885013142047481,18,0,0.0,0.0,0.3352932034306638,0.15773809523809523
cd8_BL,2.0,SDAN_4,Spectra_17,1649,2966,881,18,5,0.47648401826484027,0.10525563110692696,18,0,0.0,0.0,0.5746457747470859,0.5386904761904762
cd8_BL,2.0,SDAN_2,Spectra_20,1649,2966,881,18,14,0.5496786950074147,0.10473006773421616,18,10,1.1111111111111112,0.899,0.4321659008685551,0.28273809523809523
cd8_BL,2.0,SDAN_15,Spectra_8,1649,2966,881,19,14,0.6766353600263635,0.091521581398263,19,4,0.42105263157894735,0.463,0.3608979325130385,0.14583333333333334
cd8_BL,2.0,SDAN_34,Spectra_29,1649,2966,881,18,14,0.5405338606030647,0.08881437030891154,18,8,0.8888888888888888,0.809,0.4841259043500902,0.34226190476190477
cd8_BL,2.0,SDAN_9,Spectra_39,1649,2966,881,17,4,0.8132839224629418,0.07522873842983281,17,6,0.7058823529411765,0.734,0.5353085336297586,0.6369047619047619
cd8_BL,2.0,SDAN_21,Spectra_15,1649,2966,881,18,9,0.7892456676860347,0.07140044326491636,18,4,0.4444444444444444,0.517,0.48772514234340736,0.6458333333333334
cd8_BL,2.0,SDAN_7,Spectra_8,1649,2966,881,18,11,0.5458725182863113,0.0703522920641207,18,4,0.4444444444444444,0.491,0.49884727020655634,0.49702380952380953
cd8_BL,2.0,SDAN_20,Spectra_1,1649,2966,881,19,7,0.6583850931677018,0.058950125597162485,19,0,0.0,0.0,0.4342854864564098,0.44642857142857145
cd8_BL,2.0,SDAN_5,Spectra_38,1649,2966,881,17,14,0.6178118306145988,0.05836925537601229,17,2,0.23529411764705882,0.286,0.31721594627654676,0.20535714285714285
cd8_BL,2.0,SDAN_1,Spectra_20,1649,2966,881,18,8,0.6935853379152348,0.058083667903930394,18,22,2.4444444444444446,0.998,0.4730963299204808,0.45535714285714285
cd8_BL,2.0,SDAN_37,Spectra_23,1649,2966,881,17,13,0.6114852889046438,0.057544789782301674,17,0,0.0,0.0,0.40906625154737775,0.15476190476190477
cd8_BL,2.0,SDAN_10,Spectra_1,1649,2966,881,18,15,0.7621247113163973,0.054825502297978744,18,4,0.4444444444444444,0.516,0.3471531463668278,0.15178571428571427
cd8_BL,2.0,SDAN_12,Spectra_1,1649,2966,881,18,12,0.4849443805140008,0.054333367781325755,18,0,0.0,0.0,0.4395107539252587,0.40178571428571425
cd8_BL,2.0,SDAN_11,Spectra_1,1649,2966,881,18,11,0.7273772204806688,0.04544181706934759,18,10,1.1111111111111112,0.902,0.48611428964057957,0.625
cd8_BL,2.0,SDAN_18,Spectra_39,1649,2966,881,18,12,0.4713271960107403,0.041916149718602955,18,4,0.4444444444444444,0.505,0.39412310162313097,0.21726190476190474
cd8_BL,2.0,SDAN_39,Spectra_14,1649,2966,881,17,4,0.5732611174458381,0.040150100683546186,17,2,0.23529411764705882,0.298,0.6862439639673561,0.6904761904761905
cd8_BL,2.0,SDAN_36,Spectra_16,1649,2966,881,17,13,0.6331088266572138,0.03784366860935052,17,2,0.23529411764705882,0.281,0.5192172567037898,0.5297619047619048
cd8_BL,2.0,SDAN_8,Spectra_23,1649,2966,881,19,5,0.7461187214611872,0.03375576804148233,19,10,1.0526315789473684,0.872,0.5200146592696349,0.6755952380952381
cd8_BL,2.0,SDAN_22,Spectra_28,1649,2966,881,19,11,0.6370950888192267,0.03343557125642675,19,16,1.6842105263157894,0.972,0.448496232697909,0.4166666666666667
cd8_BL,2.0,SDAN_24,Spectra_32,1649,2966,881,17,8,0.5534077892325314,0.03223551652562426,17,4,0.47058823529411764,0.571,0.5339597497889247,0.6428571428571428
cd8_BL,2.0,SDAN_28,Spectra_17,1649,2966,881,18,8,0.6275773195876289,0.028249780569544664,18,6,0.6666666666666666,0.7,0.4474630925560459,0.5267857142857143
cd8_BL,2.0,SDAN_33,Spectra_3,1649,2966,881,18,7,0.4897025171624714,0.028027492413051962,18,14,1.5555555555555556,0.956,0.4165851191577771,0.45833333333333326
cd8_BL,2.0,SDAN_0,Spectra_14,1649,2966,881,19,8,0.7192153493699885,0.027244483747163716,19,6,0.631578947368421,0.661,0.5096620684224479,0.6071428571428572
cd8_BL,2.0,SDAN_19,Spectra_29,1649,2966,881,19,11,0.692894461859979,0.025354264904982295,19,18,1.894736842105263,0.98,0.4871971067597636,0.5327380952380952
cd8_BL,2.0,SDAN_17,Spectra_37,1649,2966,881,17,6,0.796,0.023555911763803616,17,14,1.6470588235294117,0.974,0.5143475652620924,0.6547619047619048
cd8_BL,2.0,SDAN_25,Spectra_8,1649,2966,881,18,6,0.7819047619047619,0.019138282061802202,18,6,0.6666666666666666,0.697,0.603380381466938,0.7232142857142858
cd8_BL,2.0,SDAN_13,Spectra_27,1649,2966,881,17,4,0.8460661345496009,0.018398209549071617,17,12,1.411764705882353,0.949,0.5378959245762498,0.6785714285714286
cd8_BL,2.0,SDAN_31,Spectra_15,1649,2966,881,18,4,0.8443557582668187,0.017347386912604304,18,12,1.3333333333333333,0.93,0.5094303945724544,0.6755952380952381
cd8_BL,2.0,SDAN_29,Spectra_3,1649,2966,881,19,9,0.6608053007135576,0.01607900956444424,19,0,0.0,0.0,0.46264873911082105,0.4642857142857143
cd8_BL,2.0,SDAN_16,Spectra_39,1649,2966,881,18,1,0.7920454545454545,0.005434782608695652,18,0,0.0,0.0,0.5577668606377089,0.6934523809523809
