cell_type,sdan_weight,program,factor,n_sdan_genes,n_spectra_genes,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision
cd4_BL,2.0,SDAN_0,Spectra_0,2000,2966,952,21,9,0.5583834099210557,0.03315946285198426
cd4_BL,2.0,SDAN_0,Spectra_1,2000,2966,952,21,9,0.4667137975727583,0.010367940634387774
cd4_BL,2.0,SDAN_0,Spectra_2,2000,2966,952,21,9,0.595145516672558,0.014118280861730505
cd4_BL,2.0,SDAN_0,Spectra_3,2000,2966,952,21,9,0.6850477200424179,0.015324321826655614
cd4_BL,2.0,SDAN_0,Spectra_4,2000,2966,952,21,9,0.5733474726051608,0.015538590907692138
cd4_BL,2.0,SDAN_0,Spectra_5,2000,2966,952,21,9,0.32308236125839523,0.007167909869058239
cd4_BL,2.0,SDAN_0,Spectra_6,2000,2966,952,21,9,0.5473076469895134,0.011367693805414953
cd4_BL,2.0,SDAN_0,Spectra_7,2000,2966,952,21,9,0.5672204548132438,0.011750909214286537
cd4_BL,2.0,SDAN_0,Spectra_8,2000,2966,952,21,9,0.5468363379285966,0.012485849396242204
cd4_BL,2.0,SDAN_0,Spectra_9,2000,2966,952,21,9,0.3114174620007069,0.007076660226262963
cd4_BL,2.0,SDAN_0,Spectra_10,2000,2966,952,21,9,0.4709555791210086,0.009264284534400782
cd4_BL,2.0,SDAN_0,Spectra_11,2000,2966,952,21,9,0.3644397313538353,0.007748855822154682
cd4_BL,2.0,SDAN_0,Spectra_12,2000,2966,952,21,9,0.33592553316837515,0.007800580606766959
cd4_BL,2.0,SDAN_0,Spectra_13,2000,2966,952,21,9,0.42347119123365146,0.0092667442662916
cd4_BL,2.0,SDAN_0,Spectra_14,2000,2966,952,21,9,0.6169435607399553,0.020809632177648377
cd4_BL,2.0,SDAN_0,Spectra_15,2000,2966,952,21,9,0.3993166018616708,0.008436031733072013
cd4_BL,2.0,SDAN_0,Spectra_16,2000,2966,952,21,9,0.5919641805113703,0.012722259669469351
cd4_BL,2.0,SDAN_0,Spectra_17,2000,2966,952,21,9,0.46046895251561204,0.010437401422470616
cd4_BL,2.0,SDAN_0,Spectra_18,2000,2966,952,21,9,0.4014374926357959,0.00842046236486957
