cell_type,sdan_weight,program,factor,n_sdan_genes,n_spectra_genes,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision
cd8_BL,2.0,SDAN_0,Spectra_0,1649,2966,881,19,8,0.48124284077892326,0.009523316720519523
cd8_BL,2.0,SDAN_0,Spectra_1,1649,2966,881,19,8,0.6300114547537228,0.014238883620146033
cd8_BL,2.0,SDAN_0,Spectra_2,1649,2966,881,19,8,0.5526918671248569,0.011834925569247768
cd8_BL,2.0,SDAN_0,Spectra_3,1649,2966,881,19,8,0.4478808705612829,0.008812470087329778
cd8_BL,2.0,SDAN_0,Spectra_4,1649,2966,881,19,8,0.5829037800687284,0.012316940503483687
cd8_BL,2.0,SDAN_0,Spectra_5,1649,2966,881,19,8,0.2837915234822451,0.006678562233463533
cd8_BL,2.0,SDAN_0,Spectra_6,1649,2966,881,19,8,0.3618270332187858,0.00757135147853407
cd8_BL,2.0,SDAN_0,Spectra_7,1649,2966,881,19,8,0.5558419243986255,0.01111551544570848
cd8_BL,2.0,SDAN_0,Spectra_8,1649,2966,881,19,8,0.5231958762886598,0.010562651129023277
cd8_BL,2.0,SDAN_0,Spectra_9,1649,2966,881,19,8,0.36254295532646047,0.007445701663747421
cd8_BL,2.0,SDAN_0,Spectra_10,1649,2966,881,19,8,0.4369988545246277,0.008527039105396253
cd8_BL,2.0,SDAN_0,Spectra_11,1649,2966,881,19,8,0.5532646048109966,0.013029192309850234
cd8_BL,2.0,SDAN_0,Spectra_12,1649,2966,881,19,8,0.32173539518900346,0.0070228836029870515
cd8_BL,2.0,SDAN_0,Spectra_13,1649,2966,881,19,8,0.4981386025200458,0.01001856251018331
cd8_BL,2.0,SDAN_0,Spectra_14,1649,2966,881,19,8,0.7192153493699885,0.027244483747163716
cd8_BL,2.0,SDAN_0,Spectra_15,1649,2966,881,19,8,0.745418098510882,0.025313330656683796
cd8_BL,2.0,SDAN_0,Spectra_16,1649,2966,881,19,8,0.5279209621993127,0.01609876059515661
cd8_BL,2.0,SDAN_0,Spectra_17,1649,2966,881,19,8,0.5073024054982818,0.010281782605498854
cd8_BL,2.0,SDAN_0,Spectra_18,1649,2966,881,19,8,0.4593356242840779,0.008950354692575688
cd8_BL,2.0,SDAN_0,Spectra_19,1649,2966,881,19,8,0.2936712485681558,0.006883168496401077
cd8_BL,2.0,SDAN_0,Spectra_20,1649,2966,881,19,8,0.2558705612829324,0.006364150146501217
cd8_BL,2.0,SDAN_0,Spectra_21,1649,2966,881,19,8,0.299971363115693,0.006775048110433444
cd8_BL,2.0,SDAN_0,Spectra_22,1649,2966,881,19,8,0.20346506300114547,0.00603438932261689
cd8_BL,2.0,SDAN_0,Spectra_23,1649,2966,881,19,8,0.6158361970217641,0.012275967799044395
cd8_BL,2.0,SDAN_0,Spectra_24,1649,2966,881,19,8,0.12700458190148914,0.005600503368029053
cd8_BL,2.0,SDAN_0,Spectra_25,1649,2966,881,19,8,0.19057846506300116,0.0059765632581220375
cd8_BL,2.0,SDAN_0,Spectra_26,1649,2966,881,19,8,0.37328178694158076,0.008447765246232032
cd8_BL,2.0,SDAN_0,Spectra_27,1649,2966,881,19,8,0.23353379152348225,0.006184346841602541
cd8_BL,2.0,SDAN_0,Spectra_28,1649,2966,881,19,8,0.2237972508591065,0.006132270776270092
cd8_BL,2.0,SDAN_0,Spectra_29,1649,2966,881,19,8,0.3238831615120275,0.007230811127851782
cd8_BL,2.0,SDAN_0,Spectra_30,1649,2966,881,19,8,0.22007445589919813,0.006147595443271044
cd8_BL,2.0,SDAN_0,Spectra_31,1649,2966,881,19,8,0.15120274914089343,0.005808885194933017
cd8_BL,2.0,SDAN_0,Spectra_32,1649,2966,881,19,8,0.16337342497136312,0.005867089429156024
cd8_BL,2.0,SDAN_0,Spectra_33,1649,2966,881,19,8,0.4309851088201604,0.009774104130013481
cd8_BL,2.0,SDAN_0,Spectra_34,1649,2966,881,19,8,0.12514318442153494,0.00566956962158615
cd8_BL,2.0,SDAN_0,Spectra_35,1649,2966,881,19,8,0.16280068728522337,0.0059093983270903875
cd8_BL,2.0,SDAN_0,Spectra_36,1649,2966,881,19,8,0.37056128293241697,0.007637976693370727
cd8_BL,2.0,SDAN_0,Spectra_37,1649,2966,881,19,8,0.37442726231386025,0.008629691277766574
cd8_BL,2.0,SDAN_0,Spectra_38,1649,2966,881,19,8,0.6232817869415808,0.01279490919804917
cd8_BL,2.0,SDAN_0,Spectra_39,1649,2966,881,19,8,0.5363688430698741,0.014776039686409882
cd8_BL,2.0,SDAN_1,Spectra_0,1649,2966,881,18,8,0.7394043528064147,0.018273265698786678
cd8_BL,2.0,SDAN_1,Spectra_1,1649,2966,881,18,8,0.7326746849942726,0.024434376302184948
cd8_BL,2.0,SDAN_1,Spectra_2,1649,2966,881,18,8,0.4630584192439862,0.010227654581370102
cd8_BL,2.0,SDAN_1,Spectra_3,1649,2966,881,18,8,0.46105383734249716,0.008790086732615473
cd8_BL,2.0,SDAN_1,Spectra_4,1649,2966,881,18,8,0.5499713631156931,0.012173799455733353
cd8_BL,2.0,SDAN_1,Spectra_5,1649,2966,881,18,8,0.34779495990836196,0.007443278117941556
cd8_BL,2.0,SDAN_1,Spectra_6,1649,2966,881,18,8,0.5489690721649485,0.010963141053764945
cd8_BL,2.0,SDAN_1,Spectra_7,1649,2966,881,18,8,0.5337915234822451,0.01020370391638641
cd8_BL,2.0,SDAN_1,Spectra_8,1649,2966,881,18,8,0.5279209621993127,0.01048685651172223
cd8_BL,2.0,SDAN_1,Spectra_9,1649,2966,881,18,8,0.4199599083619702,0.00818123394801996
cd8_BL,2.0,SDAN_1,Spectra_10,1649,2966,881,18,8,0.4833906071019473,0.010169475991919058
cd8_BL,2.0,SDAN_1,Spectra_11,1649,2966,881,18,8,0.538659793814433,0.01044563707849646
cd8_BL,2.0,SDAN_1,Spectra_12,1649,2966,881,18,8,0.5279209621993127,0.010276318243286533
cd8_BL,2.0,SDAN_1,Spectra_13,1649,2966,881,18,8,0.5790378006872852,0.011532598252228885
cd8_BL,2.0,SDAN_1,Spectra_14,1649,2966,881,18,8,0.5924971363115693,0.017527538751093683
cd8_BL,2.0,SDAN_1,Spectra_15,1649,2966,881,18,8,0.4198167239404353,0.00843257015181467
cd8_BL,2.0,SDAN_1,Spectra_16,1649,2966,881,18,8,0.5844788087056129,0.012465090763122261
cd8_BL,2.0,SDAN_1,Spectra_17,1649,2966,881,18,8,0.6572164948453608,0.020060947848011847
cd8_BL,2.0,SDAN_1,Spectra_18,1649,2966,881,18,8,0.6512027491408935,0.015160598731968483
cd8_BL,2.0,SDAN_1,Spectra_19,1649,2966,881,18,8,0.5244845360824741,0.01198558302891572
cd8_BL,2.0,SDAN_1,Spectra_20,1649,2966,881,18,8,0.6935853379152348,0.058083667903930394
cd8_BL,2.0,SDAN_1,Spectra_21,1649,2966,881,18,8,0.583906071019473,0.014886774238546632
cd8_BL,2.0,SDAN_1,Spectra_22,1649,2966,881,18,8,0.5499713631156931,0.011015013437620258
cd8_BL,2.0,SDAN_1,Spectra_23,1649,2966,881,18,8,0.6018041237113403,0.013410412710618193
cd8_BL,2.0,SDAN_1,Spectra_24,1649,2966,881,18,8,0.6287227949599083,0.012984462471457816
cd8_BL,2.0,SDAN_1,Spectra_25,1649,2966,881,18,8,0.5246277205040092,0.009951353890235643
cd8_BL,2.0,SDAN_1,Spectra_26,1649,2966,881,18,8,0.6427548682703322,0.029422462082691364
cd8_BL,2.0,SDAN_1,Spectra_27,1649,2966,881,18,8,0.7071878579610538,0.01964648336018927
cd8_BL,2.0,SDAN_1,Spectra_28,1649,2966,881,18,8,0.6825601374570447,0.03283284313793932
cd8_BL,2.0,SDAN_1,Spectra_29,1649,2966,881,18,8,0.6857101947308133,0.04651645016578939
cd8_BL,2.0,SDAN_1,Spectra_30,1649,2966,881,18,8,0.6499140893470792,0.020275488859410988
cd8_BL,2.0,SDAN_1,Spectra_31,1649,2966,881,18,8,0.5515463917525774,0.011185226000275952
