cell_type,sdan_weight,program,factor,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision
CD8T,2.0,SDAN_0,sciRED_0,739,23,20,0.3867872044506258,0.02124118843360156
CD8T,2.0,SDAN_0,sciRED_1,739,23,20,0.453894297635605,0.024950172348472542
CD8T,2.0,SDAN_0,sciRED_2,739,23,20,0.4742002781641168,0.025399801216888583
CD8T,2.0,SDAN_0,sciRED_3,739,23,20,0.352990264255911,0.020597100933837112
CD8T,2.0,SDAN_0,sciRED_4,739,23,20,0.39144645340751044,0.021591131208932947
CD8T,2.0,SDAN_0,sciRED_5,739,23,20,0.5378998609179416,0.028977161720365244
CD8T,2.0,SDAN_0,sciRED_6,739,23,20,0.414673157162726,0.022418506514908246
CD8T,2.0,SDAN_0,sciRED_7,739,23,20,0.3796244784422809,0.021502791699143535
CD8T,2.0,SDAN_0,sciRED_8,739,23,20,0.3945062586926287,0.021517960227093652
CD8T,2.0,SDAN_0,sciRED_9,739,23,20,0.5296940194714882,0.030793576274267164
CD8T,2.0,SDAN_0,sciRED_10,739,23,20,0.3808066759388039,0.02175573615915516
CD8T,2.0,SDAN_0,sciRED_11,739,23,20,0.3883866481223922,0.02129917135170785
CD8T,2.0,SDAN_0,sciRED_12,739,23,20,0.39826147426981917,0.024836556570266555
CD8T,2.0,SDAN_0,sciRED_13,739,23,20,0.4065368567454799,0.02248864893104405
CD8T,2.0,SDAN_0,sciRED_14,739,23,20,0.4312239221140473,0.023430931944706582
CD8T,2.0,SDAN_0,sciRED_15,739,23,20,0.402990264255911,0.021955931942043833
CD8T,2.0,SDAN_0,sciRED_16,739,23,20,0.4917246175243393,0.02746277259234429
CD8T,2.0,SDAN_0,sciRED_17,739,23,20,0.4394297635605007,0.023488631992630855
CD8T,2.0,SDAN_0,sciRED_18,739,23,20,0.4256606397774687,0.02371092875726645
CD8T,2.0,SDAN_0,sciRED_19,739,23,20,0.4541029207232267,0.024351872248606587
CD8T,2.0,SDAN_0,sciRED_20,739,23,20,0.455076495132128,0.02514884868237348
CD8T,2.0,SDAN_0,sciRED_21,739,23,20,0.4545897079276773,0.024026883177578014
CD8T,2.0,SDAN_0,sciRED_22,739,23,20,0.474826147426982,0.028064885450861395
CD8T,2.0,SDAN_0,sciRED_23,739,23,20,0.49325452016689847,0.038412969585362
CD8T,2.0,SDAN_0,sciRED_24,739,23,20,0.6346314325452017,0.0555281477612027
CD8T,2.0,SDAN_0,sciRED_25,739,23,20,0.4073713490959666,0.021942856117517492
CD8T,2.0,SDAN_0,sciRED_26,739,23,20,0.4846314325452017,0.0647856125960363
CD8T,2.0,SDAN_0,sciRED_27,739,23,20,0.44965229485396385,0.02828777176948357
CD8T,2.0,SDAN_0,sciRED_28,739,23,20,0.418567454798331,0.022740517302134423
CD8T,2.0,SDAN_0,sciRED_29,739,23,20,0.5738525730180807,0.10206879653961495
CD8T,2.0,SDAN_0,sciRED_30,739,23,20,0.4531988873435327,0.02456352183856262
CD8T,2.0,SDAN_0,sciRED_31,739,23,20,0.5047287899860918,0.030515758575263896
CD8T,2.0,SDAN_0,sciRED_32,739,23,20,0.5475660639777469,0.03352757928262431
CD8T,2.0,SDAN_0,sciRED_33,739,23,20,0.5091098748261474,0.038140282982467244
CD8T,2.0,SDAN_0,sciRED_34,739,23,20,0.44478442280945757,0.03546242027706917
CD8T,2.0,SDAN_0,sciRED_35,739,23,20,0.44617524339360226,0.035524321796328695
CD8T,2.0,SDAN_0,sciRED_36,739,23,20,0.5370653685674548,0.03043226670324821
CD8T,2.0,SDAN_0,sciRED_37,739,23,20,0.4496522948539638,0.03204385226739986
CD8T,2.0,SDAN_0,sciRED_38,739,23,20,0.45653685674547984,0.02637077700718165
CD8T,2.0,SDAN_0,sciRED_39,739,23,20,0.5828929068150208,0.0713079850155501
CD8T,2.0,SDAN_1,sciRED_0,739,23,19,0.7065058479532164,0.18689813829717064
CD8T,2.0,SDAN_1,sciRED_1,739,23,19,0.5269005847953216,0.03466638186074558
CD8T,2.0,SDAN_1,sciRED_2,739,23,19,0.7029970760233918,0.061292578251723476
CD8T,2.0,SDAN_1,sciRED_3,739,23,19,0.6243421052631578,0.03540423189308052
CD8T,2.0,SDAN_1,sciRED_4,739,23,19,0.49554093567251456,0.02813915191623116
CD8T,2.0,SDAN_1,sciRED_5,739,23,19,0.6804093567251462,0.05875943556979534
