cell_type,sdan_weight,program,factor,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision,n_active_genes,n_internal_edges,avg_degree,connectivity_quantile,test_group_auroc,individual_level_auroc
CD8T,2.0,SDAN_30,sciRED_9,739,25,13,0.9264674719220174,0.3192519973320943,25,4,0.32,0.641,0.531134784239343,0.5899537917360129
CD8T,2.0,SDAN_38,sciRED_11,739,25,13,0.6871159143886417,0.27789126386552904,25,0,0.0,0.0,0.4314862695433394,0.5078440674021257
CD8T,2.0,SDAN_27,sciRED_39,739,26,4,0.7047619047619047,0.27456561059571744,26,2,0.15384615384615385,0.335,0.5114753287760332,0.523066044293663
CD8T,2.0,SDAN_1,sciRED_18,739,23,19,0.6766812865497076,0.2567564833925597,23,106,9.217391304347826,1.0,0.47496603538335125,0.7943876885896357
CD8T,2.0,SDAN_31,sciRED_7,739,24,17,0.5497800228124491,0.21145486067480673,24,22,1.8333333333333333,0.997,0.4274594225022696,0.47614183148757894
CD8T,2.0,SDAN_18,sciRED_26,739,26,5,0.5133514986376022,0.20754098814233082,26,0,0.0,0.0,0.5189485928465098,0.4965705801722763
CD8T,2.0,SDAN_39,sciRED_21,739,25,16,0.6342496542185339,0.18660858759991106,25,12,0.96,0.966,0.484029939197466,0.5153447902911233
CD8T,2.0,SDAN_21,sciRED_2,739,24,18,0.6051009400523963,0.18353880452296564,24,34,2.8333333333333335,1.0,0.5015121553209845,0.5789369523088698
CD8T,2.0,SDAN_3,sciRED_1,739,23,21,0.6602997745059027,0.14725366153922348,23,12,1.0434782608695652,0.978,0.5444260283206246,0.6946076589367515
CD8T,2.0,SDAN_34,sciRED_25,739,26,8,0.5902872777017784,0.14249996755930067,26,0,0.0,0.0,0.47764113067869707,0.5063181164644133
CD8T,2.0,SDAN_2,sciRED_16,739,24,16,0.5487551867219916,0.1413639622807674,24,50,4.166666666666667,1.0,0.44253842103822577,0.4355257690495131
CD8T,2.0,SDAN_4,sciRED_20,739,25,19,0.5285087719298245,0.13193171539945714,25,16,1.28,0.993,0.5036921857302059,0.40062896894930805
CD8T,2.0,SDAN_12,sciRED_14,739,24,10,0.5482853223593964,0.12333243330247994,24,10,0.8333333333333334,0.95,0.5145478605530894,0.5601352035615441
CD8T,2.0,SDAN_25,sciRED_19,739,25,10,0.5883401920438958,0.1210274472217113,25,6,0.48,0.822,0.4678932237235865,0.6269903599254325
CD8T,2.0,SDAN_36,sciRED_12,739,25,13,0.7146641237550329,0.11791532849834555,25,10,0.8,0.94,0.4848007409437681,0.28484352728967044
CD8T,2.0,SDAN_26,sciRED_3,739,25,10,0.453360768175583,0.11308784337609377,25,6,0.48,0.803,0.5220854991081141,0.5284312187220033
CD8T,2.0,SDAN_20,sciRED_10,739,25,16,0.47112724757952973,0.11246566945629687,25,22,1.76,0.998,0.5101728662483608,0.501098602503439
CD8T,2.0,SDAN_29,sciRED_20,739,26,9,0.7631659056316591,0.10910894049787788,26,0,0.0,0.0,0.5017324867827684,0.5025066814486918
CD8T,2.0,SDAN_0,sciRED_29,739,23,20,0.5738525730180807,0.10206879653961495,23,114,9.91304347826087,1.0,0.5774208368808913,0.5140324580491191
