cell_type,sdan_weight,program,factor,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision,n_active_genes,n_internal_edges,avg_degree,connectivity_quantile,test_group_auroc,individual_level_auroc
CD8T,2.0,SDAN_27,sciRED_24,739,26,4,0.932312925170068,0.049820754785743965,26,2,0.15384615384615385,0.335,0.5114753287760332,0.523066044293663
CD8T,2.0,SDAN_30,sciRED_9,739,25,13,0.9264674719220174,0.3192519973320943,25,4,0.32,0.641,0.531134784239343,0.5899537917360129
CD8T,2.0,SDAN_25,sciRED_11,739,25,10,0.7880658436213992,0.04903645192777947,25,6,0.48,0.822,0.4678932237235865,0.6269903599254325
CD8T,2.0,SDAN_35,sciRED_9,739,24,12,0.7811783585511234,0.07969732573814846,24,0,0.0,0.0,0.48202029893921994,0.5526798694402506
CD8T,2.0,SDAN_29,sciRED_21,739,26,9,0.7721461187214612,0.03938910237996401,26,0,0.0,0.0,0.5017324867827684,0.5025066814486918
CD8T,2.0,SDAN_22,sciRED_21,739,26,4,0.7700680272108844,0.015335431682024146,26,0,0.0,0.0,0.539301318475902,0.4872993066928195
CD8T,2.0,SDAN_32,sciRED_26,739,25,10,0.7685871056241426,0.046047347705283834,25,4,0.32,0.646,0.5171982971856863,0.49057051821036224
CD8T,2.0,SDAN_38,sciRED_10,739,25,13,0.7515363424454333,0.052167363373926814,25,0,0.0,0.0,0.4314862695433394,0.5078440674021257
CD8T,2.0,SDAN_10,sciRED_37,739,25,9,0.7442922374429224,0.05001618162905283,25,4,0.32,0.644,0.5245141567454361,0.40526475837296455
CD8T,2.0,SDAN_19,sciRED_25,739,26,7,0.7377049180327868,0.03652501523949932,26,0,0.0,0.0,0.4833293076911648,0.5753013258961269
CD8T,2.0,SDAN_24,sciRED_35,739,26,10,0.7323731138545954,0.04446471202020365,26,0,0.0,0.0,0.5665248391153659,0.4988673073395331
CD8T,2.0,SDAN_9,sciRED_23,739,25,9,0.7175038051750382,0.03914150162185716,25,6,0.48,0.817,0.5665433928407512,0.4447465457898545
CD8T,2.0,SDAN_36,sciRED_12,739,25,13,0.7146641237550329,0.11791532849834555,25,10,0.8,0.94,0.4848007409437681,0.28484352728967044
CD8T,2.0,SDAN_1,sciRED_0,739,23,19,0.7065058479532164,0.18689813829717064,23,106,9.217391304347826,1.0,0.47496603538335125,0.7943876885896357
CD8T,2.0,SDAN_39,sciRED_37,739,25,16,0.6948478561549101,0.05437212823856413,25,12,0.96,0.966,0.484029939197466,0.5153447902911233
CD8T,2.0,SDAN_37,sciRED_19,739,23,17,0.6915430992341535,0.0671502186726944,23,32,2.782608695652174,0.999,0.5208793017737041,0.3652786698220605
CD8T,2.0,SDAN_21,sciRED_36,739,24,18,0.6846971798428109,0.04212368345069392,24,34,2.8333333333333335,1.0,0.5015121553209845,0.5789369523088698
CD8T,2.0,SDAN_13,sciRED_34,739,26,7,0.6799375487900078,0.019458692375144467,26,0,0.0,0.0,0.5168201030617987,0.48801375643326783
CD8T,2.0,SDAN_33,sciRED_25,739,24,20,0.6777468706536857,0.056600766811174714,24,20,1.6666666666666667,1.0,0.43989491008042814,0.43283919817285643
CD8T,2.0,SDAN_12,sciRED_35,739,24,10,0.6768175582990398,0.02933757319846375,24,10,0.8333333333333334,0.95,0.5145478605530894,0.5601352035615441
CD8T,2.0,SDAN_15,sciRED_34,739,24,21,0.6718397665472874,0.08116419812183054,24,26,2.1666666666666665,1.0,0.5406266688971987,0.6278327865583067
CD8T,2.0,SDAN_18,sciRED_23,739,26,5,0.6667574931880109,0.07601216913841925,26,0,0.0,0.0,0.5189485928465098,0.4965705801722763
