cell_type,sdan_weight,program,cell_level_auroc,individual_level_auroc,connectivity_quantile
cd4_BL,0.0,SDAN_0,0.4688693332333683,0.5446428571428572,0.0
cd4_BL,0.0,SDAN_1,0.43947610734891435,0.47023809523809523,0.0
cd4_BL,0.0,SDAN_2,0.39128368837798655,0.3392857142857143,0.0
cd4_BL,0.0,SDAN_3,0.45189336603810293,0.5119047619047619,0.0
cd4_BL,0.0,SDAN_4,0.46185857331690666,0.5119047619047619,0.0
cd4_BL,0.0,SDAN_5,0.4817162092929637,0.5476190476190477,0.0
cd4_BL,0.0,SDAN_6,0.4880973204986363,0.5476190476190477,0.0
cd4_BL,0.0,SDAN_7,0.4672471180694865,0.5267857142857142,0.0
cd4_BL,0.0,SDAN_8,0.4801629353712687,0.5327380952380952,0.0
cd4_BL,0.0,SDAN_9,0.438963081671415,0.47023809523809523,0.0
cd4_BL,0.0,SDAN_10,0.4877738568528043,0.5833333333333333,0.0
cd4_BL,0.0,SDAN_11,0.5321527710233851,0.6369047619047619,0.0
cd4_BL,0.0,SDAN_12,0.4998158203750309,0.5773809523809524,0.0
cd4_BL,0.0,SDAN_13,0.5646393863499126,0.6755952380952381,0.0
cd4_BL,0.0,SDAN_14,0.4265091170792925,0.4107142857142857,0.0
cd4_BL,0.0,SDAN_15,0.5103527363395783,0.5982142857142858,0.0
cd4_BL,0.0,SDAN_16,0.3526980548362127,0.35119047619047616,0.0
cd4_BL,0.0,SDAN_17,0.5457879353712687,0.6607142857142857,0.0
cd4_BL,0.0,SDAN_18,0.4440088452149855,0.5,0.0
cd4_BL,0.0,SDAN_19,0.48006431279457595,0.5535714285714286,0.0
cd4_BL,0.0,SDAN_20,0.39968188498890256,0.3005952380952381,0.0
cd4_BL,0.0,SDAN_21,0.5305120023870024,0.6607142857142857,0.0
cd4_BL,0.0,SDAN_22,0.4569503165446148,0.5386904761904762,0.0
cd4_BL,0.0,SDAN_23,0.4384202817865099,0.43154761904761907,0.0
cd4_BL,0.0,SDAN_24,0.46670510338273496,0.5238095238095238,0.0
cd4_BL,0.0,SDAN_25,0.5236566441610302,0.6041666666666667,0.0
cd4_BL,0.0,SDAN_26,0.4510149657079482,0.5267857142857142,0.0
cd4_BL,0.0,SDAN_27,0.5112090920204955,0.6011904761904762,0.0
cd4_BL,0.0,SDAN_28,0.4913716812291374,0.5625,0.0
cd4_BL,0.0,SDAN_29,0.543130014292295,0.6369047619047619,0.0
cd4_BL,0.0,SDAN_30,0.4325340860428579,0.4583333333333333,0.0
cd4_BL,0.0,SDAN_31,0.3137340613217806,0.19642857142857142,0.0
cd4_BL,0.0,SDAN_32,0.5193362095226131,0.6041666666666667,0.0
cd4_BL,0.0,SDAN_33,0.5132553057443408,0.6071428571428571,0.0
cd4_BL,0.0,SDAN_34,0.5507645888128344,0.6488095238095237,0.0
cd4_BL,0.0,SDAN_35,0.5322483541233541,0.6309523809523809,0.0
cd4_BL,0.0,SDAN_36,0.5440267401341963,0.6369047619047619,0.0
cd4_BL,0.0,SDAN_37,0.46989987625952534,0.5357142857142857,0.0
cd4_BL,0.0,SDAN_38,0.7030373364254944,0.7857142857142858,0.0
cd4_BL,0.0,SDAN_39,0.48868085359313435,0.5684523809523809,0.0
cd4_BL,0.25,SDAN_0,0.4525228036741195,0.5029761904761905,0.0
cd4_BL,0.25,SDAN_1,0.4285490449964134,0.44047619047619047,0.0
cd4_BL,0.25,SDAN_2,0.42910125459467563,0.45833333333333337,0.0
