model,,feature,coef
logreg,0,Spectra_union_0,0.09632231203361834
logreg,1,Spectra_union_1,-0.005768848090844996
logreg,2,Spectra_union_2,0.570920811033756
logreg,3,Spectra_union_3,-0.4672686202174194
logreg,4,Spectra_union_4,2.558396890670122
logreg,5,Spectra_union_5,0.10731138648316156
logreg,6,Spectra_union_6,0.023084075009308383
logreg,7,Spectra_union_7,0.15992599664275384
logreg,8,Spectra_union_8,0.4391613601004901
logreg,9,Spectra_union_9,-0.0823097597743821
logreg,10,Spectra_union_10,0.14091333469003184
logreg,11,Spectra_union_11,0.9981202693499228
logreg,12,Spectra_union_12,0.04697788208688157
logreg,13,Spectra_union_13,1.8399894248129371
logreg,14,Spectra_union_14,-0.02478808662397696
logreg,15,Spectra_union_15,0.9892651805911379
logreg,16,Spectra_union_16,-0.037933640586923494
logreg,17,Spectra_union_17,-0.3358517313257895
logreg,18,Spectra_union_18,-8.156994177022344
logreg,19,Spectra_union_19,-0.5290878149948852
logreg,20,Spectra_union_20,0.24072915910634568
logreg,21,Spectra_union_21,-1.0664668047873296
logreg,22,Spectra_union_22,0.3982990085586112
logreg,23,Spectra_union_23,-0.00026321430537859134
logreg,24,Spectra_union_24,0.07362377173503833
logreg,25,Spectra_union_25,-0.11662740460526819
logreg,26,Spectra_union_26,0.06626647466637618
logreg,27,Spectra_union_27,0.11098759336490192
logreg,28,Spectra_union_28,0.23352144942509878
logreg,29,Spectra_union_29,0.0753563129848123
logreg,30,Spectra_union_30,0.039944736949375156
logreg,31,Spectra_union_31,0.10001469133623067
logreg,32,Spectra_union_32,-0.36233118091958955
logreg,33,Spectra_union_33,-0.07607772757402159
logreg,34,Spectra_union_34,-0.08102132003042319
logreg,35,Spectra_union_35,0.2595459061983132
logreg,36,Spectra_union_36,-0.6770829365045988
logreg,37,Spectra_union_37,-0.12126516308191465
logreg,38,Spectra_union_38,-0.0023216318101242535
logreg,39,Spectra_union_39,-0.20131031039168032
