feature_name,Spectra_0,Spectra_1,Spectra_2,Spectra_3,Spectra_4,Spectra_5,Spectra_6,Spectra_7,Spectra_8,Spectra_9,Spectra_10,Spectra_11,Spectra_12,Spectra_13,Spectra_14,Spectra_15,Spectra_16,Spectra_17,Spectra_18,Spectra_19,Spectra_20,Spectra_21,Spectra_22,Spectra_23,Spectra_24,Spectra_25,Spectra_26,Spectra_27,Spectra_28,Spectra_29,Spectra_30,Spectra_31,Spectra_32,Spectra_33,Spectra_34,Spectra_35,Spectra_36,Spectra_37,Spectra_38,Spectra_39
FGR,2.829031958996977e-17,9.132123709127813e-13,0.00013624772995848343,1.358525609490424e-07,2.2998319124210737e-18,5.514528911661069e-08,5.545360177065713e-17,1.7455644835112721e-13,1.4369359521627254e-17,9.975682188672054e-17,2.924072957586908e-17,7.916046924004756e-17,3.152060698525518e-17,1.146244391654093e-16,8.077171468937697e-16,6.0006042110619375e-15,0.0007525050190276345,3.987743395548102e-12,7.99141386122399e-17,1.632796862271337e-16,7.108682158102966e-15,1.0554220608788897e-09,9.704026069418188e-15,0.000224870792607068,1.278934470395583e-14,2.8408564052596925e-07,0.000662764975586649,3.2430908989731463e-15,1.3818322582698066e-14,1.0113577251208837e-14,1.614007969598967e-09,0.01383912314388573,0.00632913398540363,1.2184959968939043e-13,0.08834089377607414,0.00021253980642196412,2.104549148213037e-13,1.1252213778432623e-09,0.0016985446573697513,1.6786438837687697e-05
GCLC,0.0008595995168815397,2.055503213234646e-06,0.0001634561834038783,0.0026010858316228495,1.5917449925421033e-12,0.021236828513961966,0.020129551964053364,0.005159451424108588,0.005827187372492014,0.06641988891465082,1.0381147966614331e-14,4.657801854540367e-13,6.0514178092232354e-06,1.3823325739463646e-13,0.05282985742656064,0.004413672730495292,0.00011849056216489943,1.320194108752254e-07,0.0012037150778595644,6.770332115853668e-05,0.0014583946916730559,0.009068256019565698,0.007110055029462717,1.3248848120212695e-05,0.006604057260921206,0.09810767452810151,0.08533405133049483,0.0229923750979833,0.021671677305523315,1.1322569100541391e-08,2.791914480098569e-10,0.007549462483716233,0.00040025950105787795,0.00597236106114144,2.3477366552584586e-06,0.00018603919842934407,0.013993424620642868,0.013144841425103061,0.00013459326903232101,4.287180657964346e-06
NIPAL3,5.2294671303931745e-14,0.07320930567009815,0.0003897523899615891,6.688696567390928e-09,5.98658711538517e-08,0.0200724008766881,0.026242211393449313,0.0011534707885949575,7.92564027997781e-05,1.0570738470612874e-11,2.689584361789244e-14,5.047062870538787e-13,6.134182036193049e-13,5.709956485890059e-14,0.014865530031445431,0.003096684394336586,0.01717081487433636,1.49669618816586e-07,0.0011579091558775742,2.946696201270063e-05,0.004532551778435973,1.201084777696849e-10,0.0021028570050985874,0.0014239636881451592,0.0018764118712774726,0.028992413495121654,0.02484328697945841,0.027047517975473903,1.5754049138587105e-05,6.61680011145422e-05,6.903674929003276e-10,2.7991729336605097e-06,0.0028146793477272494,0.02593077034029243,0.0007029594978549839,0.0003059181743514368,0.01848534057597398,0.02872446150778488,3.42353888125914e-05,0.004425199051164677
CFTR,1.0224449286037371e-15,4.783349883786557e-14,8.879720787920071e-15,1.8412565838143945e-14,0.0005677516570032157,2.2131987684063102e-14,2.0293145947356746e-05,2.6092430700994107e-14,5.064649112916573e-15,6.61127031780926e-15,2.350290510450834e-15,8.38371374793749e-08,7.761800097835676e-15,0.0002473607398212875,5.354357785967099e-15,2.006591227673788e-14,5.521772652748829e-06,2.418638734046306e-14,1.0578147179745936e-14,3.9085695944771e-15,5.421714087489232e-14,5.2815296242014135e-06,0.009127359055143518,1.4475429329899929e-05,3.6362145106624697e-13,7.228926213691002e-07,0.0017972631094647785,1.0935570495141327e-09,1.406559255642035e-13,0.0012381845056047439,1.2480548790727648e-10,4.533796044390486e-06,0.053922538002445196,4.61070905178068e-13,4.70875988488914e-11,2.993906811247869e-07,7.340101785952215e-14,2.6268616101557416e-10,8.509538034652144e-10,0.09269669830702404
CD99,0.0003511949544774825,7.659135758130145e-08,0.000470786953337289,0.0043483600412128265,4.579746013987945e-12,0.010481590941310685,0.024322367070831657,0.006671476326088909,0.045320588045368426,1.1007382512832885e-11,0.00011672224088577325,0.056045386318713156,8.235144512968085e-06,1.5051988798208057e-08,7.36998997038922e-12,0.07813545204615689,0.003595653245270628,1.0363313969764126e-09,2.5447119288155624e-13,1.0158933778817355e-13,0.006640888384998501,1.8042948474797527e-07,0.0024407503973571825,0.01025880584820759,3.3505389739936317e-06,0.0202770586893569,0.026661315979358613,3.199215365439292e-07,1.7548124512373344e-10,2.0237161386359728e-06,3.119193397561298e-08,0.0025905880751751374,0.027168380699199763,0.054569201777386805,0.04084704251563651,0.00032866454570375643,0.015476416157671561,4.101248147979343e-06,0.000499401889523633,0.020578358349821826
KLHL13,0.003995187235324998,2.2046604382524982e-09,3.7938818685241097e-07,4.302470078226018e-10,8.532216471194392e-14,8.779115818020344e-06,1.6218097914494059e-13,0.005069402365445687,7.978040350238584e-15,2.2555543572585118e-13,5.253751993579792e-13,0.0005616957417612607,9.316077249770385e-14,0.0003144565548706259,2.936896927437946e-06,4.5021180914500863e-10,4.3865070142951344e-07,7.65150585463368e-10,1.6381987123983733e-11,2.5296460498844055e-12,4.725291229313128e-12,1.6766118047773577e-09,0.006293645774082694,4.380073639558983e-06,9.378646673568266e-13,6.451861596244864e-12,0.027573089639051074,0.08217528219931107,2.1557705694706092e-13,7.174706637393056e-07,2.098688940153388e-09,0.000867980232597821,5.141881817760473e-06,2.747527228286602e-12,6.860000046681565e-13,1.3118262096070748e-09,1.6422538580216265e-13,1.1276511722585512e-13,1.0971938293877673e-15,2.0176802987787816e-08
ICA1,4.919186816874889e-15,0.24887025612092611,1.1423446763299559e-08,1.635711489085963e-09,0.0022589381463735186,1.6400177394718777e-11,4.581248654544316e-13,2.7484178586542813e-09,5.1645567973383034e-14,1.0322546115459037e-12,0.0007906564709416718,3.527512596494907e-06,1.2410791731736685e-13,9.97067955172975e-10,3.4284098857669633e-13,1.1172751931820403e-06,1.310656861948123e-06,1.961947847343002e-09,4.383069243487866e-14,1.0668750593264787e-14,2.9046744421190762e-11,4.8534762563451135e-08,3.2504447177238657e-15,2.279611878951316e-05,5.2322176764217914e-08,5.677893485590416e-12,0.0005346120849739745,4.3259873831821974e-15,4.4182710134538194e-05,3.7608897202199756e-07,7.133295111261473e-11,4.691799865982174e-06,0.0010414764278774819,0.0921859691208326,0.02569889361811494,8.164910106436795e-05,8.530970709174288e-12,0.04164180163590522,8.309619774725571e-05,3.931517806273296e-05
SLC7A2,4.0852993866345987e-13,8.042515099510121e-10,3.5787345429996666e-14,2.5526954224769423e-09,1.4509892047956298e-11,0.05194962317770986,1.102955706213807e-11,0.011434008404418647,4.709735294624228e-13,1.1026497892842493e-09,2.049520187559928e-14,0.010427029032297233,7.629659295363193e-11,0.0013074277304157985,0.06643589835811445,1.0267969434466027e-09,2.1280476312027426e-11,1.9845780615144867e-13,2.357770960324238e-12,1.6082965830420298e-11,0.004825715541543125,0.019773558250246476,0.024877925564595112,0.012130302659520534,0.004601555589832474,0.02102273420044922,0.07410075930219595,0.14010464714732235,0.07455772604828834,0.0009937626548503064,2.1341002705595536e-11,3.579063519135978e-08,2.769166034990363e-05,4.3139495382032646e-13,0.0004532311340735578,2.114028680185922e-16,4.600817398754746e-14,4.1884564031306846e-16,1.7234638841364972e-15,2.2149173801028395e-08
CD38,5.965095487312483e-15,6.221382490869294e-10,0.00036503765290000703,3.4645426236618543e-11,2.3629607620053113e-14,6.992698169192536e-11,1.344240455805599e-09,0.014214831772375649,1.2811272998509216e-14,7.65501422187836e-14,3.483468316400975e-14,6.316558969479173e-14,1.9905945070106092e-14,5.384243730816687e-05,1.623257997345647e-13,1.8619762576015886e-13,1.3135299938310297e-12,1.9914015166831495e-12,4.521505220643084e-14,7.303334090796545e-15,1.0167609598275416e-12,0.015559081522934134,6.8923350132797115e-12,0.005238542929086283,0.009378777528732523,0.015559586164009742,0.2500359813774132,1.8274012850371885e-09,3.2286582765184565e-13,3.393026304146828e-10,1.7677019885213962e-12,8.959980642193171e-05,8.614463428157651e-14,3.1554780925538057e-13,2.618139511804418e-13,4.190993610578436e-10,2.796290402177749e-14,1.2694445832650916e-13,3.762358701180189e-15,0.0005993123039046574
PDK4,2.739617661762646e-12,2.1848038670724985e-08,5.705909739775637e-13,0.010877110153337366,1.8520731152899762e-10,1.2350359020658837e-06,7.28125460760034e-10,0.0028837749414838236,0.12821068883971806,8.875530058499957e-05,1.176449114338544e-12,0.0291281781156639,1.0411552404242885e-05,0.00048329272412772704,0.06072987879830733,2.151473842431718e-09,8.394955420279999e-11,7.925215342270727e-12,1.5052318478824673e-07,1.1166257208501442e-09,0.0005063587423619516,2.4383688860493123e-05,0.0053528396123395435,2.8034167280487723e-08,0.004827975730350539,0.12084555853123781,0.06698287244898472,0.021817673838180868,0.026489774854702722,0.00041167125198509957,3.320651831723976e-07,0.01038183501356977,7.385666769538187e-13,1.3818821029705728e-05,2.882163836481253e-09,0.00014101442307195574,0.007392039055245928,4.86379231013689e-13,4.13828881572489e-11,0.03747230527354493
