cell_type,sdan_weight,program,factor,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision
Micro-PVM,2.0,SDAN_0,sciRED_0,1154,39,24,0.4105825958702065,0.016746121879512934
Micro-PVM,2.0,SDAN_0,sciRED_1,1154,39,24,0.40999262536873154,0.016752882617179176
Micro-PVM,2.0,SDAN_0,sciRED_2,1154,39,24,0.8859513274336283,0.3526239477166338
Micro-PVM,2.0,SDAN_0,sciRED_3,1154,39,24,0.4526917404129793,0.02174811073364629
Micro-PVM,2.0,SDAN_0,sciRED_4,1154,39,24,0.4596607669616519,0.01912120680447396
Micro-PVM,2.0,SDAN_0,sciRED_5,1154,39,24,0.2463495575221239,0.013221523464243323
Micro-PVM,2.0,SDAN_0,sciRED_6,1154,39,24,0.42525811209439524,0.017129424100673293
Micro-PVM,2.0,SDAN_0,sciRED_7,1154,39,24,0.3951327433628319,0.01714153689699679
Micro-PVM,2.0,SDAN_0,sciRED_8,1154,39,24,0.34505899705014753,0.015039166453187099
Micro-PVM,2.0,SDAN_0,sciRED_9,1154,39,24,0.5147492625368731,0.02174068650545096
Micro-PVM,2.0,SDAN_0,sciRED_10,1154,39,24,0.35092182890855456,0.016881505737591604
Micro-PVM,2.0,SDAN_0,sciRED_11,1154,39,24,0.536688790560472,0.03343952587738688
Micro-PVM,2.0,SDAN_0,sciRED_12,1154,39,24,0.42901917404129797,0.01734919970210134
Micro-PVM,2.0,SDAN_0,sciRED_13,1154,39,24,0.42695427728613566,0.018141890963294105
Micro-PVM,2.0,SDAN_0,sciRED_14,1154,39,24,0.3525811209439528,0.016104089374239298
Micro-PVM,2.0,SDAN_0,sciRED_15,1154,39,24,0.5017699115044247,0.020774550557060532
Micro-PVM,2.0,SDAN_0,sciRED_16,1154,39,24,0.4470132743362832,0.018175091081031627
Micro-PVM,2.0,SDAN_0,sciRED_17,1154,39,24,0.5768436578171091,0.024467085188464032
Micro-PVM,2.0,SDAN_0,sciRED_18,1154,39,24,0.5338864306784661,0.030782351954896772
Micro-PVM,2.0,SDAN_0,sciRED_19,1154,39,24,0.4777286135693215,0.025685190743058042
Micro-PVM,2.0,SDAN_0,sciRED_20,1154,39,24,0.5252581120943953,0.022915636655942137
Micro-PVM,2.0,SDAN_0,sciRED_21,1154,39,24,0.49262536873156343,0.020302925548078728
Micro-PVM,2.0,SDAN_0,sciRED_22,1154,39,24,0.4313053097345133,0.018242876382324632
Micro-PVM,2.0,SDAN_0,sciRED_23,1154,39,24,0.4576327433628319,0.0188088108123049
Micro-PVM,2.0,SDAN_0,sciRED_24,1154,39,24,0.5084439528023599,0.020212612858684482
Micro-PVM,2.0,SDAN_0,sciRED_25,1154,39,24,0.38698377581120946,0.01631206417101909
Micro-PVM,2.0,SDAN_0,sciRED_26,1154,39,24,0.47090707964601763,0.01973736999850943
Micro-PVM,2.0,SDAN_0,sciRED_27,1154,39,24,0.4002212389380531,0.01666531396235707
Micro-PVM,2.0,SDAN_0,sciRED_28,1154,39,24,0.4631637168141593,0.018738086334009703
Micro-PVM,2.0,SDAN_0,sciRED_29,1154,39,24,0.5349188790560472,0.02341501250245485
Micro-PVM,2.0,SDAN_0,sciRED_30,1154,39,24,0.41297935103244837,0.01891998188923535
Micro-PVM,2.0,SDAN_0,sciRED_31,1154,39,24,0.5820796460176991,0.029294412956885618
Micro-PVM,2.0,SDAN_0,sciRED_32,1154,39,24,0.5683628318584071,0.032448510857677165
Micro-PVM,2.0,SDAN_0,sciRED_33,1154,39,24,0.402617994100295,0.017868711513680934
Micro-PVM,2.0,SDAN_0,sciRED_34,1154,39,24,0.5146386430678467,0.021079413013009085
Micro-PVM,2.0,SDAN_0,sciRED_35,1154,39,24,0.5038348082595869,0.02213611875631057
Micro-PVM,2.0,SDAN_0,sciRED_36,1154,39,24,0.5555309734513275,0.024506158037118447
Micro-PVM,2.0,SDAN_0,sciRED_37,1154,39,24,0.41976401179941003,0.01813615272660134
Micro-PVM,2.0,SDAN_0,sciRED_38,1154,39,24,0.42603244837758114,0.01783228215180874
Micro-PVM,2.0,SDAN_0,sciRED_39,1154,39,24,0.3944321533923304,0.01915766572945226
Micro-PVM,2.0,SDAN_1,sciRED_0,1154,37,17,0.5352579026333488,0.016049771271378105
Micro-PVM,2.0,SDAN_1,sciRED_1,1154,37,17,0.592529360028972,0.031167348057876666
Micro-PVM,2.0,SDAN_1,sciRED_2,1154,37,17,0.5913911738838016,0.020195499253990584
Micro-PVM,2.0,SDAN_1,sciRED_3,1154,37,17,0.4719333643747737,0.013834792962121634
Micro-PVM,2.0,SDAN_1,sciRED_4,1154,37,17,0.6311759532308966,0.022313316462002075
Micro-PVM,2.0,SDAN_1,sciRED_5,1154,37,17,0.6345387759325365,0.02067572187594871
Micro-PVM,2.0,SDAN_1,sciRED_6,1154,37,17,0.5590563402141859,0.018280427356418195
Micro-PVM,2.0,SDAN_1,sciRED_7,1154,37,17,0.7179885146670806,0.041101202638009454
Micro-PVM,2.0,SDAN_1,sciRED_8,1154,37,17,0.496300895028196,0.016830286339377516
Micro-PVM,2.0,SDAN_1,sciRED_9,1154,37,17,0.47638263748771276,0.01618916763022453
Micro-PVM,2.0,SDAN_1,sciRED_10,1154,37,17,0.6272957731905426,0.02244319922839211
Micro-PVM,2.0,SDAN_1,sciRED_11,1154,37,17,0.5080966423508717,0.015156318683936897
Micro-PVM,2.0,SDAN_1,sciRED_12,1154,37,17,0.5379998965285322,0.01646785111702233
Micro-PVM,2.0,SDAN_1,sciRED_13,1154,37,17,0.4607067101246831,0.01433729334984175
Micro-PVM,2.0,SDAN_1,sciRED_14,1154,37,17,0.5624708986496973,0.024084710377150733
Micro-PVM,2.0,SDAN_1,sciRED_15,1154,37,17,0.472243778778002,0.015147563391714065
Micro-PVM,2.0,SDAN_1,sciRED_16,1154,37,17,0.586217600496663,0.020214240201250153
Micro-PVM,2.0,SDAN_1,sciRED_17,1154,37,17,0.5396554400124166,0.028812491013951138
Micro-PVM,2.0,SDAN_1,sciRED_18,1154,37,17,0.5457085208753686,0.017247378289940943
Micro-PVM,2.0,SDAN_1,sciRED_19,1154,37,17,0.6529566971907497,0.029866942216064687
Micro-PVM,2.0,SDAN_1,sciRED_20,1154,37,17,0.6364012623519065,0.04382728430673401
Micro-PVM,2.0,SDAN_1,sciRED_21,1154,37,17,0.5355683170365771,0.01823386509166873
Micro-PVM,2.0,SDAN_1,sciRED_22,1154,37,17,0.5774225257385276,0.022098529973395727
Micro-PVM,2.0,SDAN_1,sciRED_23,1154,37,17,0.4216462310517875,0.012343659464125491
Micro-PVM,2.0,SDAN_1,sciRED_24,1154,37,17,0.581095762843396,0.022227390304201473
Micro-PVM,2.0,SDAN_1,sciRED_25,1154,37,17,0.5028713332298618,0.019276985589564578
Micro-PVM,2.0,SDAN_1,sciRED_26,1154,37,17,0.5623156914480832,0.021195931655138868
Micro-PVM,2.0,SDAN_1,sciRED_27,1154,37,17,0.5370169175849759,0.018562494228216198
Micro-PVM,2.0,SDAN_1,sciRED_28,1154,37,17,0.5356717885043198,0.019412191862799567
Micro-PVM,2.0,SDAN_1,sciRED_29,1154,37,17,0.4302860986083088,0.012797203278866978
Micro-PVM,2.0,SDAN_1,sciRED_30,1154,37,17,0.47721040922965496,0.016129356776789783
Micro-PVM,2.0,SDAN_1,sciRED_31,1154,37,17,0.6265714729163433,0.04300944196445973
Micro-PVM,2.0,SDAN_1,sciRED_32,1154,37,17,0.575456567851415,0.019498512941871788
Micro-PVM,2.0,SDAN_1,sciRED_33,1154,37,17,0.6274509803921569,0.08810219265450818
Micro-PVM,2.0,SDAN_1,sciRED_34,1154,37,17,0.6142583682549536,0.025098618976588175
Micro-PVM,2.0,SDAN_1,sciRED_35,1154,37,17,0.5657302498835945,0.018791966613585766
Micro-PVM,2.0,SDAN_1,sciRED_36,1154,37,17,0.5401727973511303,0.026738280121392805
Micro-PVM,2.0,SDAN_1,sciRED_37,1154,37,17,0.4943349371410834,0.01684828021459995
Micro-PVM,2.0,SDAN_1,sciRED_38,1154,37,17,0.5810440271095245,0.01981382800965482
Micro-PVM,2.0,SDAN_1,sciRED_39,1154,37,17,0.5975994619483678,0.02705965355180332
Micro-PVM,2.0,SDAN_2,sciRED_0,1154,41,34,0.5458245798319328,0.03299380163946071
Micro-PVM,2.0,SDAN_2,sciRED_1,1154,41,34,0.5429884453781513,0.033239733884910166
Micro-PVM,2.0,SDAN_2,sciRED_2,1154,41,34,0.4862394957983193,0.027205931782617498
Micro-PVM,2.0,SDAN_2,sciRED_3,1154,41,34,0.4123161764705882,0.024537892542304075
Micro-PVM,2.0,SDAN_2,sciRED_4,1154,41,34,0.5484243697478992,0.04068954837622529
Micro-PVM,2.0,SDAN_2,sciRED_5,1154,41,34,0.38747373949579833,0.022540231055856078
Micro-PVM,2.0,SDAN_2,sciRED_6,1154,41,34,0.4722426470588236,0.029382697397478563
Micro-PVM,2.0,SDAN_2,sciRED_7,1154,41,34,0.704858193277311,0.06638144125705477
Micro-PVM,2.0,SDAN_2,sciRED_8,1154,41,34,0.4808560924369748,0.02683291153399006
Micro-PVM,2.0,SDAN_2,sciRED_9,1154,41,34,0.672767857142857,0.05098823197409018
Micro-PVM,2.0,SDAN_2,sciRED_10,1154,41,34,0.4894957983193277,0.02969016650662642
Micro-PVM,2.0,SDAN_2,sciRED_11,1154,41,34,0.4841911764705883,0.033466308163935934
Micro-PVM,2.0,SDAN_2,sciRED_12,1154,41,34,0.5809348739495799,0.04246980336444449
Micro-PVM,2.0,SDAN_2,sciRED_13,1154,41,34,0.3991596638655462,0.02305366908108368
Micro-PVM,2.0,SDAN_2,sciRED_14,1154,41,34,0.5439600840336134,0.030684350654571844
Micro-PVM,2.0,SDAN_2,sciRED_15,1154,41,34,0.6689600840336135,0.0622782447708832
Micro-PVM,2.0,SDAN_2,sciRED_16,1154,41,34,0.5227415966386555,0.03323330251516235
Micro-PVM,2.0,SDAN_2,sciRED_17,1154,41,34,0.3777048319327731,0.022509412301386953
Micro-PVM,2.0,SDAN_2,sciRED_18,1154,41,34,0.6076943277310924,0.0834661122433245
Micro-PVM,2.0,SDAN_2,sciRED_19,1154,41,34,0.529359243697479,0.03250834293815092
Micro-PVM,2.0,SDAN_2,sciRED_20,1154,41,34,0.6295168067226891,0.183666104271523
Micro-PVM,2.0,SDAN_2,sciRED_21,1154,41,34,0.5127626050420169,0.032425512993913386
Micro-PVM,2.0,SDAN_2,sciRED_22,1154,41,34,0.4678046218487395,0.03421352555347608
Micro-PVM,2.0,SDAN_2,sciRED_23,1154,41,34,0.5672268907563025,0.03599117660616752
Micro-PVM,2.0,SDAN_2,sciRED_24,1154,41,34,0.4699317226890757,0.027743054202969502
Micro-PVM,2.0,SDAN_2,sciRED_25,1154,41,34,0.6382615546218487,0.06431900634012173
Micro-PVM,2.0,SDAN_2,sciRED_26,1154,41,34,0.4784138655462185,0.03223513728751182
