cell_type,sdan_weight,program,factor,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision,n_active_genes,n_internal_edges,avg_degree,connectivity_quantile,test_group_auroc,individual_level_auroc
Astro,2.0,SDAN_32,sciRED_1,1200,45,41,0.973884130558303,0.5831974794336338,45,0,0.0,0.0,0.3578578218321236,0.28291666666666665
Astro,2.0,SDAN_24,sciRED_4,1200,42,21,0.8593238822246455,0.39700669307749875,42,20,0.9523809523809523,0.998,0.47189984885477426,0.4345833333333333
Astro,2.0,SDAN_22,sciRED_31,1200,45,38,0.7388576863846363,0.38162110680302264,45,0,0.0,0.0,0.5843035477421041,0.5920833333333332
Astro,2.0,SDAN_39,sciRED_20,1200,43,35,0.7799386879215205,0.29232804423885145,43,0,0.0,0.0,0.37939399150595937,0.29375
Astro,2.0,SDAN_10,sciRED_23,1200,41,28,0.6135117016089712,0.23880227001401902,41,100,4.878048780487805,1.0,0.5015357223500192,0.5483333333333333
Astro,2.0,SDAN_38,sciRED_1,1200,45,31,0.9189271227130992,0.2373997263507208,45,0,0.0,0.0,0.369008429822166,0.2916666666666667
Astro,2.0,SDAN_11,sciRED_0,1200,45,32,0.7816780821917808,0.16986708573040182,45,0,0.0,0.0,0.45195009897533117,0.3108333333333333
Astro,2.0,SDAN_3,sciRED_11,1200,43,23,0.6918473643382218,0.15926151109800046,43,4,0.18604651162790697,0.676,0.44344152568614137,0.4241666666666667
Astro,2.0,SDAN_6,sciRED_15,1200,42,29,0.6438352130510322,0.1520671670992609,42,48,2.2857142857142856,1.0,0.5709337873865056,0.655
Astro,2.0,SDAN_4,sciRED_33,1200,44,20,0.6513983050847457,0.1397003317155119,44,0,0.0,0.0,0.4537362216924614,0.3879166666666667
Astro,2.0,SDAN_29,sciRED_16,1200,43,29,0.7863600223799287,0.13551070104406104,43,6,0.27906976744186046,0.849,0.3843263289910111,0.25708333333333333
Astro,2.0,SDAN_12,sciRED_4,1200,42,23,0.7517638801669683,0.13214270730149338,42,112,5.333333333333333,1.0,0.5390795309107463,0.5508333333333333
Astro,2.0,SDAN_18,sciRED_34,1200,45,32,0.6390999571917808,0.12815895680188805,45,0,0.0,0.0,0.6240485594556096,0.7737499999999999
Astro,2.0,SDAN_13,sciRED_16,1200,44,26,0.7127506224610143,0.12127687310097571,44,0,0.0,0.0,0.42075002098018,0.3395833333333333
Astro,2.0,SDAN_25,sciRED_0,1200,45,21,0.7606526919504019,0.12123867092451204,45,2,0.08888888888888889,0.341,0.48338650671962646,0.4170833333333333
Astro,2.0,SDAN_33,sciRED_3,1200,42,25,0.6665872340425532,0.10525308367364283,42,8,0.38095238095238093,0.93,0.6028802527034551,0.7283333333333334
