cell_type,sdan_weight,program,factor,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision
Astro,2.0,SDAN_0,sciRED_0,1200,43,29,0.4052828410730587,0.02130917506095639
Astro,2.0,SDAN_0,sciRED_1,1200,43,29,0.28125092022733295,0.016059215570244364
Astro,2.0,SDAN_0,sciRED_2,1200,43,29,0.3058393945640331,0.016469754385988085
Astro,2.0,SDAN_0,sciRED_3,1200,43,29,0.3122883477134191,0.01657807817936631
Astro,2.0,SDAN_0,sciRED_4,1200,43,29,0.503342265673312,0.02665785502910254
Astro,2.0,SDAN_0,sciRED_5,1200,43,29,0.47398333284254546,0.027119654163454576
Astro,2.0,SDAN_0,sciRED_6,1200,43,29,0.4461262110191702,0.020622889331214346
Astro,2.0,SDAN_0,sciRED_7,1200,43,29,0.4003062516564092,0.020211101549017674
Astro,2.0,SDAN_0,sciRED_8,1200,43,29,0.40007067345917136,0.0201802943943755
Astro,2.0,SDAN_0,sciRED_9,1200,43,29,0.47890102770988546,0.02237487237300255
Astro,2.0,SDAN_0,sciRED_10,1200,43,29,0.3207986100886363,0.01675494142494139
Astro,2.0,SDAN_0,sciRED_11,1200,43,29,0.4099944050178156,0.020732877603025255
Astro,2.0,SDAN_0,sciRED_12,1200,43,29,0.33655290202891724,0.017122488500147432
Astro,2.0,SDAN_0,sciRED_13,1200,43,29,0.3794281339262051,0.0193242670713194
Astro,2.0,SDAN_0,sciRED_14,1200,43,29,0.5421243263935923,0.026053005070251753
Astro,2.0,SDAN_0,sciRED_15,1200,43,29,0.3691215877970494,0.018762059416760624
Astro,2.0,SDAN_0,sciRED_16,1200,43,29,0.4174445655054625,0.020811578528968498
Astro,2.0,SDAN_0,sciRED_17,1200,43,29,0.41791572189993814,0.019601796466692196
Astro,2.0,SDAN_0,sciRED_18,1200,43,29,0.3825200977649518,0.018468102937426914
Astro,2.0,SDAN_0,sciRED_19,1200,43,29,0.34329632792485054,0.017327532386362945
Astro,2.0,SDAN_0,sciRED_20,1200,43,29,0.4277805589092729,0.019830429457815376
