cell_type,sdan_weight,program,factor,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision,n_active_genes,n_internal_edges,avg_degree,connectivity_quantile,test_group_auroc,individual_level_auroc
Micro-PVM,2.0,SDAN_16,sciRED_15,1154,38,25,0.6724889282550931,0.17173103471271628,38,0,0.0,0.0,0.47097726533240825,0.3583333333333333
Micro-PVM,2.0,SDAN_36,sciRED_15,1154,38,22,0.6710167041439127,0.040073058216182074,38,24,1.263157894736842,0.998,0.5397372921643502,0.6533333333333334
Micro-PVM,2.0,SDAN_23,sciRED_27,1154,39,23,0.6702033598585323,0.08301549370867065,39,4,0.20512820512820512,0.575,0.6224343184051392,0.7291666666666667
Micro-PVM,2.0,SDAN_28,sciRED_9,1154,40,30,0.6568801897983393,0.052562724334771486,40,0,0.0,0.0,0.504736675930914,0.44708333333333333
Micro-PVM,2.0,SDAN_26,sciRED_4,1154,35,18,0.6495500782472613,0.03636903701213609,35,30,1.7142857142857142,1.0,0.5302206869042966,0.6191666666666668
Micro-PVM,2.0,SDAN_37,sciRED_24,1154,37,18,0.6435348200312989,0.056719730186737385,37,34,1.837837837837838,1.0,0.5034455874915994,0.44791666666666663
Micro-PVM,2.0,SDAN_17,sciRED_24,1154,39,16,0.6321397188049209,0.027244707272434183,39,32,1.641025641025641,1.0,0.5174176346700697,0.5241666666666667
Micro-PVM,2.0,SDAN_14,sciRED_30,1154,37,20,0.624426807760141,0.03586549483571223,37,34,1.837837837837838,1.0,0.5168563893764555,0.5249999999999999
Micro-PVM,2.0,SDAN_18,sciRED_3,1154,38,21,0.6206026982726012,0.03246422102775982,38,34,1.7894736842105263,1.0,0.49533359925133147,0.44708333333333333
Micro-PVM,2.0,SDAN_32,sciRED_14,1154,38,23,0.6138853650098028,0.032102533266228736,38,8,0.42105263157894735,0.872,0.5376026697406713,0.5812499999999999
Micro-PVM,2.0,SDAN_11,sciRED_0,1154,39,24,0.6042772861356932,0.09107347026617905,39,18,0.9230769230769231,0.996,0.4287117297536951,0.34375
Micro-PVM,2.0,SDAN_19,sciRED_33,1154,39,25,0.5964216120460585,0.05743498422998459,39,6,0.3076923076923077,0.768,0.5285468024137251,0.5545833333333333
Micro-PVM,2.0,SDAN_8,sciRED_37,1154,41,32,0.5642268270944741,0.04088166118933789,41,2,0.0975609756097561,0.231,0.5566967850323956,0.6379166666666667
