cell_type,sdan_weight,program,factor,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision,n_active_genes,n_internal_edges,avg_degree,connectivity_quantile,test_group_auroc,individual_level_auroc
Astro,2.0,SDAN_32,sciRED_1,1200,45,41,0.973884130558303,0.5831974794336338,45,0,0.0,0.0,0.3578578218321236,0.28291666666666665
Astro,2.0,SDAN_38,sciRED_1,1200,45,31,0.9189271227130992,0.2373997263507208,45,0,0.0,0.0,0.369008429822166,0.2916666666666667
Astro,2.0,SDAN_24,sciRED_4,1200,42,21,0.8593238822246455,0.39700669307749875,42,20,0.9523809523809523,0.998,0.47189984885477426,0.4345833333333333
Astro,2.0,SDAN_26,sciRED_16,1200,45,23,0.8305566842746851,0.09051267427536584,45,0,0.0,0.0,0.41432660969546165,0.3333333333333333
Astro,2.0,SDAN_15,sciRED_10,1200,42,19,0.8279780738892106,0.10238010226905667,42,18,0.8571428571428571,0.998,0.5921493694030777,0.7075
Astro,2.0,SDAN_39,sciRED_1,1200,43,35,0.7954874310239117,0.10375976281731993,43,0,0.0,0.0,0.37939399150595937,0.29375
Astro,2.0,SDAN_29,sciRED_16,1200,43,29,0.7863600223799287,0.13551070104406104,43,6,0.27906976744186046,0.849,0.3843263289910111,0.25708333333333333
Astro,2.0,SDAN_11,sciRED_0,1200,45,32,0.7816780821917808,0.16986708573040182,45,0,0.0,0.0,0.45195009897533117,0.3108333333333333
Astro,2.0,SDAN_25,sciRED_0,1200,45,21,0.7606526919504019,0.12123867092451204,45,2,0.08888888888888889,0.341,0.48338650671962646,0.4170833333333333
Astro,2.0,SDAN_4,sciRED_13,1200,44,20,0.7579237288135593,0.058957470811397225,44,0,0.0,0.0,0.4537362216924614,0.3879166666666667
Astro,2.0,SDAN_12,sciRED_4,1200,42,23,0.7517638801669683,0.13214270730149338,42,112,5.333333333333333,1.0,0.5390795309107463,0.5508333333333333
Astro,2.0,SDAN_13,sciRED_32,1200,44,26,0.7394509238631897,0.08640223168005676,44,0,0.0,0.0,0.42075002098018,0.3395833333333333
Astro,2.0,SDAN_22,sciRED_31,1200,45,38,0.7388576863846363,0.38162110680302264,45,0,0.0,0.0,0.5843035477421041,0.5920833333333332
Astro,2.0,SDAN_28,sciRED_6,1200,43,32,0.7350973886986301,0.057429111087582835,43,22,1.0232558139534884,1.0,0.6143389239545488,0.6950000000000001
Astro,2.0,SDAN_33,sciRED_10,1200,42,25,0.7331063829787234,0.06515063496282722,42,8,0.38095238095238093,0.93,0.6028802527034551,0.7283333333333334
Astro,2.0,SDAN_37,sciRED_30,1200,42,23,0.7276051863617894,0.04749680060075147,42,48,2.2857142857142856,1.0,0.6379323006886999,0.7575
Astro,2.0,SDAN_17,sciRED_16,1200,44,19,0.7248540487544008,0.07250643750226157,44,0,0.0,0.0,0.4633416828314526,0.35874999999999996
Astro,2.0,SDAN_9,sciRED_10,1200,43,24,0.7244543650793651,0.07390476121747007,43,42,1.9534883720930232,1.0,0.6739716559742885,0.7958333333333334
Astro,2.0,SDAN_7,sciRED_25,1200,43,31,0.7200529815944148,0.0824503780568029,43,20,0.9302325581395349,1.0,0.5339425370045888,0.59875
Astro,2.0,SDAN_3,sciRED_8,1200,43,23,0.7126445273539951,0.06182926257814263,43,4,0.18604651162790697,0.676,0.44344152568614137,0.4241666666666667
Astro,2.0,SDAN_23,sciRED_16,1200,44,27,0.7058507783145465,0.05014425083042892,44,0,0.0,0.0,0.4612040554736377,0.37416666666666665
Astro,2.0,SDAN_36,sciRED_3,1200,43,28,0.7044734275962945,0.06716537067232461,43,12,0.5581395348837209,0.981,0.5555694494033245,0.5325000000000001
Astro,2.0,SDAN_31,sciRED_1,1200,43,31,0.6910510775683656,0.08013091985624687,43,24,1.1162790697674418,1.0,0.41920365019214956,0.3383333333333334
Astro,2.0,SDAN_21,sciRED_14,1200,41,25,0.6871489361702128,0.059237098051525855,41,36,1.7560975609756098,1.0,0.5465406861316935,0.5983333333333333
Astro,2.0,SDAN_18,sciRED_10,1200,45,32,0.6839683219178082,0.0934227579904387,45,0,0.0,0.0,0.6240485594556096,0.7737499999999999
Astro,2.0,SDAN_34,sciRED_17,1200,45,23,0.6729341361604669,0.035098776504933364,45,2,0.08888888888888889,0.327,0.4625992709761897,0.40208333333333335
Astro,2.0,SDAN_19,sciRED_21,1200,44,36,0.6662371134020618,0.07164623247858766,44,0,0.0,0.0,0.6614689832461544,0.7241666666666666
Astro,2.0,SDAN_6,sciRED_8,1200,42,29,0.6585294031037427,0.05927816838470041,42,48,2.2857142857142856,1.0,0.5709337873865056,0.655
Astro,2.0,SDAN_30,sciRED_25,1200,42,20,0.6386864406779661,0.029028181706884933,42,16,0.7619047619047619,0.995,0.4767498751807831,0.38583333333333336
Astro,2.0,SDAN_35,sciRED_37,1200,44,29,0.6381813363173238,0.05903933364389804,44,2,0.09090909090909091,0.336,0.6676486242881288,0.7470833333333333
Astro,2.0,SDAN_1,sciRED_4,1200,45,22,0.6321577403920359,0.04457477209102767,45,0,0.0,0.0,0.44295891448109026,0.38458333333333333
Astro,2.0,SDAN_16,sciRED_16,1200,45,19,0.6305539462542894,0.027745434768489063,45,6,0.26666666666666666,0.824,0.4324683755176657,0.37875000000000003
Astro,2.0,SDAN_5,sciRED_36,1200,43,17,0.62940679230272,0.029433489238198683,43,40,1.8604651162790697,1.0,0.5427199330547829,0.5637500000000001
Astro,2.0,SDAN_10,sciRED_10,1200,41,28,0.6255789858605558,0.06847245908320991,41,100,4.878048780487805,1.0,0.5015357223500192,0.5483333333333333
Astro,2.0,SDAN_14,sciRED_18,1200,41,18,0.6252585072382026,0.026567632639508516,41,28,1.3658536585365855,1.0,0.4984885719607059,0.5541666666666667
Astro,2.0,SDAN_8,sciRED_22,1200,43,17,0.6237382526975287,0.030042830457810213,43,26,1.2093023255813953,1.0,0.5723830796662779,0.6608333333333333
Astro,2.0,SDAN_20,sciRED_10,1200,42,28,0.6212213554363725,0.034875510996383946,42,18,0.8571428571428571,0.999,0.653822661449881,0.7762500000000001
Astro,2.0,SDAN_2,sciRED_16,1200,45,21,0.5950159537945797,0.02477566418407692,45,0,0.0,0.0,0.4471263006686995,0.33291666666666664
Astro,2.0,SDAN_27,sciRED_34,1200,45,29,0.5751936158308548,0.039782944011851555,45,0,0.0,0.0,0.5168619338579836,0.5204166666666666
Astro,2.0,SDAN_0,sciRED_38,1200,43,29,0.5603816366795253,0.038828511800501585,43,0,0.0,0.0,0.5353998994441693,0.5816666666666667
Micro-PVM,2.0,SDAN_33,sciRED_2,1154,41,13,0.9832805231578238,0.3659695131414588,41,0,0.0,0.0,0.48532288302489324,0.42291666666666666
Micro-PVM,2.0,SDAN_39,sciRED_2,1154,42,20,0.9613315696649031,0.22386770650088486,42,0,0.0,0.0,0.4764788611533234,0.3966666666666666
Micro-PVM,2.0,SDAN_24,sciRED_0,1154,39,28,0.9163917787363614,0.24310363569430896,39,28,1.435897435897436,1.0,0.45440544785127157,0.41583333333333333
Micro-PVM,2.0,SDAN_3,sciRED_0,1154,41,30,0.9029359430604984,0.23494940878702358,41,4,0.1951219512195122,0.506,0.44733300728708497,0.4129166666666667
Micro-PVM,2.0,SDAN_0,sciRED_2,1154,39,24,0.8859513274336283,0.3526239477166338,39,0,0.0,0.0,0.4687806602791179,0.41124999999999995
Micro-PVM,2.0,SDAN_38,sciRED_2,1154,41,15,0.8755633596722272,0.07058154623466138,41,0,0.0,0.0,0.49091661252458474,0.40791666666666665
Micro-PVM,2.0,SDAN_9,sciRED_6,1154,38,28,0.8084242578025882,0.5427359411973813,38,306,16.105263157894736,1.0,0.5768557718681335,0.6799999999999999
Micro-PVM,2.0,SDAN_5,sciRED_27,1154,42,33,0.7790933419836186,0.4370527117300137,42,0,0.0,0.0,0.60947121584862,0.6933333333333334
Micro-PVM,2.0,SDAN_2,sciRED_32,1154,41,34,0.7557247899159663,0.16507997282425202,41,0,0.0,0.0,0.4414509971333845,0.34374999999999994
Micro-PVM,2.0,SDAN_35,sciRED_0,1154,41,26,0.746828968903437,0.06711059193045867,41,0,0.0,0.0,0.4854953808685398,0.455
Micro-PVM,2.0,SDAN_21,sciRED_13,1154,41,29,0.7403831417624521,0.08548124631594832,41,0,0.0,0.0,0.6053020321517391,0.77625
Micro-PVM,2.0,SDAN_15,sciRED_5,1154,39,20,0.7343915343915344,0.08654945870173393,39,14,0.717948717948718,0.989,0.6523363302189727,0.7783333333333333
Micro-PVM,2.0,SDAN_7,sciRED_11,1154,38,28,0.7324283176858666,0.19376192826274313,38,0,0.0,0.0,0.5194140247034389,0.5025
Micro-PVM,2.0,SDAN_6,sciRED_21,1154,39,23,0.720716564794526,0.06805245272885611,39,2,0.10256410256410256,0.266,0.582126509050449,0.67625
Micro-PVM,2.0,SDAN_29,sciRED_13,1154,37,24,0.7206489675516224,0.10079466716608086,37,30,1.6216216216216217,1.0,0.5804516857803341,0.6975
Micro-PVM,2.0,SDAN_1,sciRED_7,1154,37,17,0.7179885146670806,0.041101202638009454,37,158,8.54054054054054,1.0,0.5372010691238677,0.595
Micro-PVM,2.0,SDAN_27,sciRED_2,1154,42,13,0.7110496865098093,0.03412690718380867,42,0,0.0,0.0,0.5231402203545068,0.49124999999999996
Micro-PVM,2.0,SDAN_12,sciRED_5,1154,39,24,0.7104719764011799,0.10040752073959458,39,24,1.2307692307692308,1.0,0.5082860565114223,0.5166666666666666
Micro-PVM,2.0,SDAN_10,sciRED_14,1154,37,21,0.7068045223385029,0.03190750602333258,37,24,1.2972972972972974,1.0,0.545039652309436,0.5925
Micro-PVM,2.0,SDAN_25,sciRED_20,1154,37,23,0.7065313497097606,0.04634425927108713,37,36,1.945945945945946,1.0,0.5774509986632475,0.6583333333333332
Micro-PVM,2.0,SDAN_31,sciRED_34,1154,41,28,0.7056584623192084,0.1358373191687185,41,2,0.0975609756097561,0.222,0.4719143643446058,0.3629166666666667
Micro-PVM,2.0,SDAN_22,sciRED_5,1154,41,17,0.7023643230379224,0.11438310855735392,41,4,0.1951219512195122,0.504,0.5615178352235137,0.6508333333333334
Micro-PVM,2.0,SDAN_34,sciRED_32,1154,39,20,0.6996031746031746,0.043954041906193356,39,12,0.6153846153846154,0.968,0.6331524919416207,0.80875
Micro-PVM,2.0,SDAN_30,sciRED_15,1154,39,23,0.6915772882789374,0.04439932579825459,39,6,0.3076923076923077,0.728,0.46823666650834905,0.405
Micro-PVM,2.0,SDAN_4,sciRED_19,1154,41,20,0.6914462081128747,0.05363090247005393,41,16,0.7804878048780488,0.989,0.5515686901862699,0.6487499999999999
Micro-PVM,2.0,SDAN_13,sciRED_1,1154,39,10,0.6882867132867132,0.016059905614377805,39,32,1.641025641025641,1.0,0.621581471959501,0.7829166666666667
Micro-PVM,2.0,SDAN_20,sciRED_37,1154,35,13,0.6819928537719948,0.0221604522717856,35,52,2.9714285714285715,1.0,0.5654077493910161,0.66875
