model,,feature,coef
logreg,0,SDAN_0,-0.058572055536914316
logreg,1,SDAN_1,-0.07073655607835046
logreg,2,SDAN_2,0.02746495894011799
logreg,3,SDAN_3,0.08718338504285297
logreg,4,SDAN_4,-0.06809282062358658
logreg,5,SDAN_5,-0.19064618561011668
logreg,6,SDAN_6,-0.10035587642321912
logreg,7,SDAN_7,0.2548849233005387
logreg,8,SDAN_8,-0.04300544505747259
logreg,9,SDAN_9,0.06568531330343257
logreg,10,SDAN_10,0.0005239716275618737
logreg,11,SDAN_11,-0.01350658656614491
logreg,12,SDAN_12,-0.302887978800762
logreg,13,SDAN_13,-0.056963269805364154
logreg,14,SDAN_14,0.17522836544604473
logreg,15,SDAN_15,0.011354451909959156
logreg,16,SDAN_16,-0.04206350053345272
logreg,17,SDAN_17,-0.08565222452906429
logreg,18,SDAN_18,0.055093916167590115
logreg,19,SDAN_19,-0.03446588938309505
logreg,20,SDAN_20,-0.07825831221798474
logreg,21,SDAN_21,0.023933482912561473
logreg,22,SDAN_22,-0.10529600203416074
logreg,23,SDAN_23,0.00874952291375577
logreg,24,SDAN_24,-0.1502792440498472
logreg,25,SDAN_25,-0.048421550273420995
logreg,26,SDAN_26,-0.027110096792701738
logreg,27,SDAN_27,0.02418577145907112
logreg,28,SDAN_28,-0.16307738168308086
logreg,29,SDAN_29,0.006045397432112119
logreg,30,SDAN_30,0.0560124117807868
logreg,31,SDAN_31,0.034996529203275235
logreg,32,SDAN_32,0.22388797065436858
logreg,33,SDAN_33,0.012422490778038999
logreg,34,SDAN_34,-0.1376867777780061
logreg,35,SDAN_35,0.05985008436553612
logreg,36,SDAN_36,-0.07823369763087615
logreg,37,SDAN_37,0.012567963641340161
logreg,38,SDAN_38,-0.043625955004653216
logreg,39,SDAN_39,0.06981804117810315
