model,,feature,coef
logreg,0,Spectra_union_0,1.6741047145721724
logreg,1,Spectra_union_1,-0.443188462010172
logreg,2,Spectra_union_2,-0.32825787459073164
logreg,3,Spectra_union_3,0.017246336591374263
logreg,4,Spectra_union_4,0.03591115110505868
logreg,5,Spectra_union_5,0.03232731118407152
logreg,6,Spectra_union_6,0.12410996480715426
logreg,7,Spectra_union_7,-0.1657584497555337
logreg,8,Spectra_union_8,-0.012220932202944136
logreg,9,Spectra_union_9,-0.14242156404965142
logreg,10,Spectra_union_10,0.3610614651059611
logreg,11,Spectra_union_11,-0.06535581649885189
logreg,12,Spectra_union_12,-0.1893657838565098
logreg,13,Spectra_union_13,-0.3998370907902334
logreg,14,Spectra_union_14,-0.16747852584989673
logreg,15,Spectra_union_15,0.30229766618529974
logreg,16,Spectra_union_16,-0.021162001403758207
logreg,17,Spectra_union_17,0.0715677251185708
logreg,18,Spectra_union_18,-0.022606768066667227
logreg,19,Spectra_union_19,-0.0568809153986911
logreg,20,Spectra_union_20,-0.17792410139753956
logreg,21,Spectra_union_21,0.10061246748038115
logreg,22,Spectra_union_22,0.07578617687920619
logreg,23,Spectra_union_23,4.010770269972323
logreg,24,Spectra_union_24,-0.31061968402402923
logreg,25,Spectra_union_25,-0.15291446527329872
logreg,26,Spectra_union_26,-0.03338550159559624
logreg,27,Spectra_union_27,-0.4531679087420704
logreg,28,Spectra_union_28,0.1972480454060707
logreg,29,Spectra_union_29,0.11475105968723022
logreg,30,Spectra_union_30,-0.6823612721606657
logreg,31,Spectra_union_31,0.04646117296572691
logreg,32,Spectra_union_32,0.026994004114979403
logreg,33,Spectra_union_33,0.07110508892053181
logreg,34,Spectra_union_34,-0.0185582702982063
logreg,35,Spectra_union_35,-0.8849882135370019
logreg,36,Spectra_union_36,0.11875835837584293
logreg,37,Spectra_union_37,0.03427377157142061
logreg,38,Spectra_union_38,-0.21212314220598386
logreg,39,Spectra_union_39,0.1135092169459501
