cell_type,sdan_weight,program,cell_level_auroc,individual_level_auroc
Astro,0.0,SDAN_0,0.44039642264346457,0.33749999999999997
Astro,0.0,SDAN_1,0.45130823251830876,0.35666666666666663
Astro,0.0,SDAN_2,0.4374489309035302,0.3333333333333333
Astro,0.0,SDAN_3,0.4403237017851357,0.33249999999999996
Astro,0.0,SDAN_4,0.4720294203748927,0.3825
Astro,0.0,SDAN_5,0.44912684894775623,0.3495833333333333
Astro,0.0,SDAN_6,0.5104228442572571,0.43708333333333327
Astro,0.0,SDAN_7,0.4645196541774821,0.39374999999999993
Astro,0.0,SDAN_8,0.6162011692178679,0.7
Astro,0.0,SDAN_9,0.48510865125155356,0.4008333333333333
Astro,0.0,SDAN_10,0.5333643953759519,0.5262499999999999
Astro,0.0,SDAN_11,0.4621585213964974,0.35750000000000004
Astro,0.0,SDAN_12,0.45014194911840993,0.34291666666666665
Astro,0.0,SDAN_13,0.5529974548221201,0.6191666666666666
Astro,0.0,SDAN_14,0.5286384468255382,0.46125000000000005
Astro,0.0,SDAN_15,0.48775696771114907,0.4270833333333333
Astro,0.0,SDAN_16,0.4529058987473189,0.36083333333333334
Astro,0.0,SDAN_17,0.4691996352317573,0.385
Astro,0.0,SDAN_18,0.6221194801541359,0.6858333333333334
Astro,0.0,SDAN_19,0.6517635840201178,0.7583333333333333
Astro,0.0,SDAN_20,0.5069740376177944,0.4475
Astro,0.0,SDAN_21,0.45935256483464304,0.3666666666666667
Astro,0.0,SDAN_22,0.4063933687549016,0.31708333333333333
Astro,0.0,SDAN_23,0.4326852005176885,0.34625
Astro,0.0,SDAN_24,0.40957901962923676,0.31999999999999995
Astro,0.0,SDAN_25,0.5195473615026074,0.44583333333333325
Astro,0.0,SDAN_26,0.3654877052419362,0.27125
Astro,0.0,SDAN_27,0.506173430074107,0.4375
Astro,0.0,SDAN_28,0.4812497027714687,0.39125
Astro,0.0,SDAN_29,0.40703949384196136,0.3029166666666667
Astro,0.0,SDAN_30,0.5160181140735496,0.4383333333333333
Astro,0.0,SDAN_31,0.46327162594554444,0.4004166666666667
Astro,0.0,SDAN_32,0.42531419933962394,0.3283333333333333
Astro,0.0,SDAN_33,0.5503295218383368,0.5491666666666667
Astro,0.0,SDAN_34,0.5247134150631627,0.4529166666666666
Astro,0.0,SDAN_35,0.47711165567592373,0.3983333333333333
Astro,0.0,SDAN_36,0.49229303464134355,0.4404166666666666
Astro,0.0,SDAN_37,0.6284579200332261,0.72375
Astro,0.0,SDAN_38,0.535677442523286,0.47500000000000003
Astro,0.0,SDAN_39,0.42986446170327647,0.32
Astro,0.25,SDAN_0,0.5445064954205084,0.5504166666666667
Astro,0.25,SDAN_1,0.4968995235893305,0.4066666666666667
Astro,0.25,SDAN_2,0.48264339627019714,0.40875000000000006
Astro,0.25,SDAN_3,0.4405648937496769,0.37124999999999997
Astro,0.25,SDAN_4,0.4948014944117758,0.4225
Astro,0.25,SDAN_5,0.5547452051588873,0.5454166666666668
Astro,0.25,SDAN_6,0.5471065138738267,0.5845833333333333
Astro,0.25,SDAN_7,0.3492556909492733,0.27708333333333335
Astro,0.25,SDAN_8,0.5021394194847161,0.41624999999999995
Astro,0.25,SDAN_9,0.506284907073861,0.44250000000000006
Astro,0.25,SDAN_10,0.5337915903659014,0.5229166666666666
Astro,0.25,SDAN_11,0.48708864968461624,0.4008333333333333
Astro,0.25,SDAN_12,0.44096606936703997,0.38208333333333333
Astro,0.25,SDAN_13,0.6226923609029715,0.7270833333333333
Astro,0.25,SDAN_14,0.4151360176627258,0.3170833333333333
Astro,0.25,SDAN_15,0.6172023366264703,0.6670833333333334
Astro,0.25,SDAN_16,0.5117723679755015,0.47
Astro,0.25,SDAN_17,0.4350930999865378,0.34625
Astro,0.25,SDAN_18,0.6329488316994327,0.7441666666666665
Astro,0.25,SDAN_19,0.6240368398398768,0.7491666666666666
Astro,0.25,SDAN_20,0.45727529228695557,0.37583333333333335
Astro,0.25,SDAN_21,0.5547485919434053,0.5708333333333334
Astro,0.25,SDAN_22,0.5642126892927519,0.6229166666666666
Astro,0.25,SDAN_23,0.547381508481425,0.5687500000000001
Astro,0.25,SDAN_24,0.5725291454603906,0.6195833333333334
Astro,0.25,SDAN_25,0.4901681421894497,0.40208333333333335
Astro,0.25,SDAN_26,0.5617339356091859,0.6220833333333333
Astro,0.25,SDAN_27,0.5815578006827906,0.6000000000000001
Astro,0.25,SDAN_28,0.6278894748916166,0.7120833333333333
Astro,0.25,SDAN_29,0.3804635261340463,0.29083333333333333
Astro,0.25,SDAN_30,0.557945261976389,0.5262500000000001
Astro,0.25,SDAN_31,0.45986222933164633,0.41833333333333333
Astro,0.25,SDAN_32,0.45928996520859466,0.3591666666666667
Astro,0.25,SDAN_33,0.5471234813289364,0.5445833333333333
Astro,0.25,SDAN_34,0.49743200882909755,0.4120833333333333
Astro,0.25,SDAN_35,0.6782908718236116,0.7641666666666667
Astro,0.25,SDAN_36,0.5793091396996526,0.6116666666666668
Astro,0.25,SDAN_37,0.6114333199208222,0.6683333333333334
Astro,0.25,SDAN_38,0.3487335523548376,0.26666666666666666
Astro,0.25,SDAN_39,0.45984431365138845,0.3583333333333333
Astro,0.5,SDAN_0,0.49623389934190276,0.47125
Astro,0.5,SDAN_1,0.692714671057231,0.8341666666666667
Astro,0.5,SDAN_2,0.4862035849006073,0.4691666666666667
Astro,0.5,SDAN_3,0.627056333351878,0.7291666666666667
