Setting,mean_hoyer,median_hoyer,std_hoyer
0,0.6691786468766405,0.7321251871405564,0.31465421933789767
0.1,0.09229838308680074,0.03361654467027469,0.17350878634475778
0.2,0.05348876766967055,0.021250274384326313,0.10611701660638909
0.3,0.02858976364321144,0.012977545997053561,0.054849906291477846
0.4,0.026692611137912735,0.014424093390892316,0.031972408172103055
0.5,0.041348374708504804,0.02728843364089143,0.04047373430571901
0.6,0.046103569150936365,0.03183888137761314,0.04339657104288944
0.7,0.040062217625453984,0.027649904826520764,0.03556694440943275
0.8,0.049644285761034634,0.043089673253251644,0.02787267080589208
0.9,0.05757732542619591,0.04802398103989985,0.03539771186170589
1,0.11154705122016229,0.10809635729734247,0.029175549538896575
