cell_type,sdan_weight,program,factor,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision,n_active_genes,n_internal_edges,avg_degree,connectivity_quantile,test_group_auroc,individual_level_auroc
cd4_BL,2.0,SDAN_38,sciRED_4,1974,20,18,0.8589525107930016,0.22721286795458526,20,0,0.0,0.0,0.48490662980794563,0.5595238095238095
cd4_BL,2.0,SDAN_37,sciRED_14,1974,21,21,0.8509740813888279,0.09548375108078241,21,0,0.0,0.0,0.3632910153743487,0.30357142857142855
cd4_BL,2.0,SDAN_10,sciRED_7,1974,16,16,0.8081588355464759,0.3999694603929344,16,0,0.0,0.0,0.7042305336713232,0.7827380952380952
cd4_BL,2.0,SDAN_34,sciRED_5,1974,20,20,0.7728761514841351,0.14301916364702189,20,20,2.0,0.994,0.5732802598482423,0.5863095238095237
cd4_BL,2.0,SDAN_16,sciRED_14,1974,21,20,0.7536079836233368,0.10960845453029035,21,2,0.19047619047619047,0.2,0.365718075531672,0.31845238095238093
cd4_BL,2.0,SDAN_23,sciRED_0,1974,20,20,0.7467502558853634,0.023895424684159353,20,6,0.6,0.67,0.5555689165886535,0.6577380952380952
cd4_BL,2.0,SDAN_6,sciRED_4,1974,20,20,0.7209825997952917,0.07290241741585453,20,4,0.4,0.455,0.5093775877767106,0.6339285714285714
cd4_BL,2.0,SDAN_3,sciRED_3,1974,22,22,0.7116942995529061,0.06325290260029406,22,6,0.5454545454545454,0.577,0.3273447030025977,0.22916666666666666
cd4_BL,2.0,SDAN_12,sciRED_15,1974,20,20,0.7106192425793245,0.04275814180794912,20,6,0.6,0.677,0.42098852817054566,0.39583333333333337
cd4_BL,2.0,SDAN_27,sciRED_24,1974,21,20,0.695854657113613,0.04117702366229224,21,6,0.5714285714285714,0.635,0.4798149152864065,0.5654761904761905
cd4_BL,2.0,SDAN_30,sciRED_26,1974,20,19,0.6842374478395477,0.03049418691360569,20,6,0.6,0.688,0.5699402421990142,0.6994047619047619
cd4_BL,2.0,SDAN_14,sciRED_17,1974,21,21,0.6832711579255358,0.024417420980671907,21,10,0.9523809523809523,0.871,0.3961465894031684,0.38690476190476186
cd4_BL,2.0,SDAN_28,sciRED_17,1974,21,21,0.6813449394094555,0.024865552470143805,21,6,0.5714285714285714,0.657,0.45522432013660086,0.27976190476190477
cd4_BL,2.0,SDAN_1,sciRED_17,1974,20,20,0.6810900716479017,0.020164452492091155,20,6,0.6,0.684,0.3653527093220076,0.25
cd4_BL,2.0,SDAN_33,sciRED_24,1974,19,19,0.6782339480414592,0.033505282648980526,19,6,0.631578947368421,0.739,0.4995116911783578,0.5892857142857143
cd4_BL,2.0,SDAN_13,sciRED_24,1974,20,20,0.6737973387922211,0.023643202640434506,20,14,1.4,0.961,0.5619022024723779,0.7023809523809523
cd4_BL,2.0,SDAN_24,sciRED_0,1974,19,18,0.6720063621904113,0.015762457349799777,19,4,0.42105263157894735,0.523,0.3164193292482766,0.26785714285714285
cd4_BL,2.0,SDAN_21,sciRED_23,1974,19,19,0.6691883160586889,0.07358308813557057,19,6,0.631578947368421,0.718,0.46406012118731416,0.49404761904761907
cd4_BL,2.0,SDAN_7,sciRED_17,1974,20,20,0.6659160696008188,0.021833353693514006,20,2,0.2,0.246,0.3931094851599237,0.30952380952380953
cd4_BL,2.0,SDAN_5,sciRED_3,1974,21,21,0.6557189183917295,0.024602286836326644,21,4,0.38095238095238093,0.447,0.4041030487302417,0.22916666666666666
cd4_BL,2.0,SDAN_18,sciRED_24,1974,20,20,0.6533520982599795,0.028541641529900644,20,14,1.4,0.964,0.5472332783188046,0.6398809523809523
cd4_BL,2.0,SDAN_31,sciRED_25,1974,21,21,0.6487942847389851,0.12290469080447661,21,0,0.0,0.0,0.39267102797804554,0.34226190476190477
cd4_BL,2.0,SDAN_8,sciRED_38,1974,18,18,0.6456771188366279,0.019016458658019365,18,22,2.4444444444444446,0.997,0.4828932086607526,0.5357142857142857
cd4_BL,2.0,SDAN_36,sciRED_15,1974,20,20,0.644114636642784,0.020197703121550958,20,0,0.0,0.0,0.4343763635430302,0.375
cd4_BL,2.0,SDAN_25,sciRED_30,1974,19,19,0.6398438551622022,0.015110489053520679,19,10,1.0526315789473684,0.909,0.5845033883411077,0.6964285714285714
cd4_BL,2.0,SDAN_29,sciRED_37,1974,20,20,0.6392272262026613,0.026016684217607677,20,12,1.2,0.927,0.5152899483491589,0.5922619047619048
cd4_BL,2.0,SDAN_4,sciRED_35,1974,19,19,0.6354287252658499,0.015117242294841873,19,8,0.8421052631578947,0.851,0.42169263139657875,0.38988095238095244
cd4_BL,2.0,SDAN_19,sciRED_34,1974,20,20,0.634288638689867,0.020792077726054847,20,0,0.0,0.0,0.4856256053624475,0.4375
cd4_BL,2.0,SDAN_22,sciRED_0,1974,20,20,0.6337512794268169,0.022342121540515382,20,10,1.0,0.882,0.5310346868460903,0.6547619047619048
cd4_BL,2.0,SDAN_11,sciRED_30,1974,22,20,0.6315762538382805,0.01613811825176743,22,4,0.36363636363636365,0.422,0.4578065582451547,0.47023809523809523
cd4_BL,2.0,SDAN_35,sciRED_6,1974,22,22,0.6309146795827124,0.020350461097872384,22,2,0.18181818181818182,0.186,0.40890524042936327,0.28869047619047616
cd4_BL,2.0,SDAN_17,sciRED_12,1974,20,19,0.6285368151837394,0.03548094888798365,20,0,0.0,0.0,0.5072082752455559,0.6220238095238095
cd4_BL,2.0,SDAN_20,sciRED_34,1974,20,20,0.6183469805527124,0.015261242055180866,20,12,1.2,0.937,0.4395719732890786,0.45535714285714285
cd4_BL,2.0,SDAN_0,sciRED_7,1974,21,21,0.6163899251456855,0.02141982491427018,21,2,0.19047619047619047,0.219,0.5082917473816597,0.5833333333333333
cd4_BL,2.0,SDAN_2,sciRED_27,1974,21,21,0.6131470509350694,0.03588416377124776,21,4,0.38095238095238093,0.466,0.41240785319732687,0.38095238095238093
cd4_BL,2.0,SDAN_9,sciRED_5,1974,20,20,0.6081883316274309,0.013949871772779858,20,0,0.0,0.0,0.487620325284799,0.5773809523809523
cd4_BL,2.0,SDAN_26,sciRED_13,1974,22,22,0.6015741430700448,0.014778949303814903,22,8,0.7272727272727273,0.731,0.42802985171406227,0.34226190476190477
cd4_BL,2.0,SDAN_32,sciRED_27,1974,19,19,0.5981154933369228,0.012394874669165563,19,10,1.0526315789473684,0.908,0.4210832374209567,0.4553571428571429
cd4_BL,2.0,SDAN_15,sciRED_36,1974,22,22,0.5967771982116244,0.023947299263171518,22,10,0.9090909090909091,0.842,0.4312448117820925,0.4613095238095238
cd4_BL,2.0,SDAN_39,sciRED_12,1974,20,20,0.5833930399181166,0.01893564589692255,20,4,0.4,0.485,0.48523239416879765,0.5267857142857143
cd8_BL,2.0,SDAN_35,sciRED_2,1616,18,18,0.9583854818523154,0.21875169418438423,18,0,0.0,0.0,0.3099665493148288,0.12797619047619047
cd8_BL,2.0,SDAN_8,sciRED_20,1616,19,19,0.8040404706192532,0.06677499052025304,19,10,1.0526315789473684,0.872,0.5200146592696349,0.6755952380952381
cd8_BL,2.0,SDAN_12,sciRED_2,1616,18,18,0.7899457655402586,0.0327849375952473,18,0,0.0,0.0,0.4395107539252587,0.40178571428571425
cd8_BL,2.0,SDAN_19,sciRED_36,1616,19,19,0.7678542003097913,0.04749062340998472,19,18,1.894736842105263,0.98,0.4871971067597636,0.5327380952380952
cd8_BL,2.0,SDAN_4,sciRED_4,1616,18,17,0.7512415848140381,0.02808492851003132,18,0,0.0,0.0,0.5746457747470859,0.5386904761904762
cd8_BL,2.0,SDAN_30,sciRED_23,1616,18,18,0.750834376303713,0.1919766941648629,18,0,0.0,0.0,0.3352932034306638,0.15773809523809523
cd8_BL,2.0,SDAN_5,sciRED_19,1616,17,17,0.7322223448478828,0.0318651376734099,17,2,0.23529411764705882,0.286,0.31721594627654676,0.20535714285714285
cd8_BL,2.0,SDAN_24,sciRED_25,1616,17,17,0.7198984659529853,0.14571759561441305,17,4,0.47058823529411764,0.571,0.5339597497889247,0.6428571428571428
cd8_BL,2.0,SDAN_37,sciRED_9,1616,17,17,0.7159253945480631,0.06210551805338847,17,0,0.0,0.0,0.40906625154737775,0.15476190476190477
cd8_BL,2.0,SDAN_32,sciRED_7,1616,16,16,0.7095703124999999,0.2559835978716096,16,10,1.25,0.923,0.3670321062138559,0.24702380952380953
cd8_BL,2.0,SDAN_29,sciRED_37,1616,19,19,0.7084665326434433,0.02644884482194499,19,0,0.0,0.0,0.46264873911082105,0.4642857142857143
cd8_BL,2.0,SDAN_10,sciRED_16,1616,18,18,0.704074537616465,0.0374239117230068,18,4,0.4444444444444444,0.516,0.3471531463668278,0.15178571428571427
cd8_BL,2.0,SDAN_38,sciRED_5,1616,17,17,0.6962439760144207,0.06747893509100118,17,8,0.9411764705882353,0.857,0.4442805523466172,0.2678571428571428
cd8_BL,2.0,SDAN_17,sciRED_14,1616,17,15,0.6943993337497397,0.03295093569407963,17,14,1.6470588235294117,0.974,0.5143475652620924,0.6547619047619048
cd8_BL,2.0,SDAN_7,sciRED_25,1616,18,17,0.6917558768347865,0.0554880572480216,18,4,0.4444444444444444,0.491,0.49884727020655634,0.49702380952380953
cd8_BL,2.0,SDAN_33,sciRED_39,1616,18,17,0.6908361843799433,0.033966155535500406,18,14,1.5555555555555556,0.956,0.4165851191577771,0.45833333333333326
cd8_BL,2.0,SDAN_26,sciRED_17,1616,18,18,0.6894381866221666,0.11852872000229303,18,8,0.8888888888888888,0.842,0.4272376171322376,0.23809523809523808
cd8_BL,2.0,SDAN_3,sciRED_24,1616,18,18,0.6885342789598109,0.09102760249007812,18,2,0.2222222222222222,0.273,0.39402660886334306,0.244047619047619
cd8_BL,2.0,SDAN_25,sciRED_12,1616,18,16,0.6876171875,0.02229639001028015,18,6,0.6666666666666666,0.697,0.603380381466938,0.7232142857142858
cd8_BL,2.0,SDAN_27,sciRED_37,1616,17,17,0.6848030018761726,0.021208597160669872,17,14,1.6470588235294117,0.976,0.4487285285467838,0.30654761904761907
cd8_BL,2.0,SDAN_36,sciRED_4,1616,17,17,0.6841408233086856,0.041752936121805154,17,2,0.23529411764705882,0.281,0.5192172567037898,0.5297619047619048
cd8_BL,2.0,SDAN_34,sciRED_5,1616,18,18,0.6821373939646781,0.030126697565435765,18,8,0.8888888888888888,0.809,0.4841259043500902,0.34226190476190477
cd8_BL,2.0,SDAN_39,sciRED_19,1616,17,16,0.6796875000000001,0.3352918725139286,17,2,0.23529411764705882,0.298,0.6862439639673561,0.6904761904761905
cd8_BL,2.0,SDAN_9,sciRED_20,1616,17,15,0.6755777638975641,0.01575889843118828,17,6,0.7058823529411765,0.734,0.5353085336297586,0.6369047619047619
cd8_BL,2.0,SDAN_1,sciRED_33,1616,18,18,0.669482686691698,0.01949007249170831,18,22,2.4444444444444446,0.998,0.4730963299204808,0.45535714285714285
cd8_BL,2.0,SDAN_16,sciRED_32,1616,18,17,0.6688371408600964,0.021597890980270387,18,0,0.0,0.0,0.5577668606377089,0.6934523809523809
cd8_BL,2.0,SDAN_31,sciRED_16,1616,18,17,0.6610013611448332,0.01801628985646546,18,12,1.3333333333333333,0.93,0.5094303945724544,0.6755952380952381
cd8_BL,2.0,SDAN_6,sciRED_33,1616,18,18,0.6530732860520094,0.020128859938542885,18,2,0.2222222222222222,0.252,0.4853982859950027,0.6041666666666666
cd8_BL,2.0,SDAN_20,sciRED_37,1616,19,19,0.6466730382625318,0.023205284028456806,19,0,0.0,0.0,0.4342854864564098,0.44642857142857145
cd8_BL,2.0,SDAN_0,sciRED_0,1616,19,18,0.6452162425253789,0.018569223577572447,19,6,0.631578947368421,0.661,0.5096620684224479,0.6071428571428572
cd8_BL,2.0,SDAN_2,sciRED_9,1616,18,18,0.6437908496732027,0.023485428265878645,18,10,1.1111111111111112,0.899,0.4321659008685551,0.28273809523809523
cd8_BL,2.0,SDAN_13,sciRED_3,1616,17,17,0.6424235735570025,0.04514993790977829,17,12,1.411764705882353,0.949,0.5378959245762498,0.6785714285714286
cd8_BL,2.0,SDAN_15,sciRED_2,1616,19,19,0.6413999934086939,0.03836820177214891,19,4,0.42105263157894735,0.463,0.3608979325130385,0.14583333333333334
cd8_BL,2.0,SDAN_23,sciRED_31,1616,18,18,0.6361076345431789,0.042761590808047284,18,0,0.0,0.0,0.40401526816507305,0.22916666666666666
cd8_BL,2.0,SDAN_11,sciRED_28,1616,18,18,0.6238701154220554,0.019759434789914862,18,10,1.1111111111111112,0.902,0.48611428964057957,0.625
cd8_BL,2.0,SDAN_21,sciRED_12,1616,18,17,0.6206084685281242,0.01892962169935837,18,4,0.4444444444444444,0.517,0.48772514234340736,0.6458333333333334
cd8_BL,2.0,SDAN_28,sciRED_11,1616,18,18,0.6196287025448477,0.019491402671429334,18,6,0.6666666666666666,0.7,0.4474630925560459,0.5267857142857143
cd8_BL,2.0,SDAN_22,sciRED_39,1616,19,18,0.6166388541232096,0.01812066002892219,19,16,1.6842105263157894,0.972,0.448496232697909,0.4166666666666667
cd8_BL,2.0,SDAN_18,sciRED_18,1616,18,18,0.6065568071200111,0.028680695665530883,18,4,0.4444444444444444,0.505,0.39412310162313097,0.21726190476190474
cd8_BL,2.0,SDAN_14,sciRED_26,1616,17,17,0.6045322444174668,0.019299683563437368,17,12,1.411764705882353,0.949,0.4616363115317058,0.5654761904761905
