cell_type,sdan_weight,program,factor,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision,n_active_genes,n_internal_edges,avg_degree,connectivity_quantile,test_group_auroc,individual_level_auroc
cd4_BL,2.0,SDAN_10,sciRED_7,1974,16,16,0.8081588355464759,0.3999694603929344,16,0,0.0,0.0,0.7042305336713232,0.7827380952380952
cd4_BL,2.0,SDAN_38,sciRED_4,1974,20,18,0.8589525107930016,0.22721286795458526,20,0,0.0,0.0,0.48490662980794563,0.5595238095238095
cd4_BL,2.0,SDAN_34,sciRED_5,1974,20,20,0.7728761514841351,0.14301916364702189,20,20,2.0,0.994,0.5732802598482423,0.5863095238095237
cd4_BL,2.0,SDAN_31,sciRED_25,1974,21,21,0.6487942847389851,0.12290469080447661,21,0,0.0,0.0,0.39267102797804554,0.34226190476190477
cd4_BL,2.0,SDAN_3,sciRED_13,1974,22,22,0.6990732116244411,0.12158598198266686,22,6,0.5454545454545454,0.577,0.3273447030025977,0.22916666666666666
cd4_BL,2.0,SDAN_12,sciRED_11,1974,20,20,0.562871033776868,0.11152949893885561,20,6,0.6,0.677,0.42098852817054566,0.39583333333333337
cd4_BL,2.0,SDAN_16,sciRED_14,1974,21,20,0.7536079836233368,0.10960845453029035,21,2,0.19047619047619047,0.2,0.365718075531672,0.31845238095238093
cd4_BL,2.0,SDAN_13,sciRED_12,1974,20,20,0.5214687819856705,0.09551038224937208,20,14,1.4,0.961,0.5619022024723779,0.7023809523809523
cd4_BL,2.0,SDAN_37,sciRED_14,1974,21,21,0.8509740813888279,0.09548375108078241,21,0,0.0,0.0,0.3632910153743487,0.30357142857142855
cd4_BL,2.0,SDAN_24,sciRED_11,1974,19,18,0.5556975687343785,0.08187338732277191,19,4,0.42105263157894735,0.523,0.3164193292482766,0.26785714285714285
cd4_BL,2.0,SDAN_21,sciRED_23,1974,19,19,0.6691883160586889,0.07358308813557057,19,6,0.631578947368421,0.718,0.46406012118731416,0.49404761904761907
cd4_BL,2.0,SDAN_6,sciRED_4,1974,20,20,0.7209825997952917,0.07290241741585453,20,4,0.4,0.455,0.5093775877767106,0.6339285714285714
cd4_BL,2.0,SDAN_23,sciRED_24,1974,20,20,0.7430910951893552,0.07163848185798766,20,6,0.6,0.67,0.5555689165886535,0.6577380952380952
cd4_BL,2.0,SDAN_33,sciRED_22,1974,19,19,0.5456185220083456,0.06755719173794326,19,6,0.631578947368421,0.739,0.4995116911783578,0.5892857142857143
cd4_BL,2.0,SDAN_30,sciRED_39,1974,20,19,0.5250504778570467,0.06504159924840983,20,6,0.6,0.688,0.5699402421990142,0.6994047619047619
cd4_BL,2.0,SDAN_14,sciRED_8,1974,21,21,0.6446492575524833,0.0638666951752858,21,10,0.9523809523809523,0.871,0.3961465894031684,0.38690476190476186
cd4_BL,2.0,SDAN_35,sciRED_2,1974,22,22,0.5656669150521609,0.06260247176057787,22,2,0.18181818181818182,0.186,0.40890524042936327,0.28869047619047616
cd4_BL,2.0,SDAN_27,sciRED_24,1974,21,20,0.695854657113613,0.04117702366229224,21,6,0.5714285714285714,0.635,0.4798149152864065,0.5654761904761905
cd4_BL,2.0,SDAN_28,sciRED_8,1974,21,21,0.5432180040474971,0.040063157896596084,21,6,0.5714285714285714,0.657,0.45522432013660086,0.27976190476190477
cd4_BL,2.0,SDAN_5,sciRED_13,1974,21,21,0.4747762904444932,0.03968771439019032,21,4,0.38095238095238093,0.447,0.4041030487302417,0.22916666666666666
cd4_BL,2.0,SDAN_29,sciRED_5,1974,20,20,0.5467758444216991,0.037355595787279164,20,12,1.2,0.927,0.5152899483491589,0.5922619047619048
cd4_BL,2.0,SDAN_18,sciRED_38,1974,20,20,0.5342374616171955,0.03718104376634565,20,14,1.4,0.964,0.5472332783188046,0.6398809523809523
cd4_BL,2.0,SDAN_2,sciRED_27,1974,21,21,0.6131470509350694,0.03588416377124776,21,4,0.38095238095238093,0.466,0.41240785319732687,0.38095238095238093
cd4_BL,2.0,SDAN_17,sciRED_12,1974,20,19,0.6285368151837394,0.03548094888798365,20,0,0.0,0.0,0.5072082752455559,0.6220238095238095
cd4_BL,2.0,SDAN_7,sciRED_27,1974,20,20,0.554682702149437,0.03533232285120918,20,2,0.2,0.246,0.3931094851599237,0.30952380952380953
cd4_BL,2.0,SDAN_11,sciRED_17,1974,22,20,0.5410951893551689,0.03379201953947458,22,4,0.36363636363636365,0.422,0.4578065582451547,0.47023809523809523
cd4_BL,2.0,SDAN_22,sciRED_37,1974,20,20,0.49833674513817805,0.032651201835785376,20,10,1.0,0.882,0.5310346868460903,0.6547619047619048
cd4_BL,2.0,SDAN_25,sciRED_12,1974,19,19,0.5682864450127878,0.03028338410726247,19,10,1.0526315789473684,0.909,0.5845033883411077,0.6964285714285714
cd4_BL,2.0,SDAN_0,sciRED_18,1974,21,21,0.5542876648867432,0.028677436519487842,21,2,0.19047619047619047,0.219,0.5082917473816597,0.5833333333333333
