cell_type,sdan_weight,program,factor,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision
cd4_BL,2.0,SDAN_0,sciRED_0,1974,21,21,0.4541730670762929,0.010065744498607969
cd4_BL,2.0,SDAN_0,sciRED_1,1974,21,21,0.47163094628532415,0.010031091163482006
cd4_BL,2.0,SDAN_0,sciRED_2,1974,21,21,0.5901787238192768,0.014739171153955875
cd4_BL,2.0,SDAN_0,sciRED_3,1974,21,21,0.4630239192451174,0.00971397963582337
cd4_BL,2.0,SDAN_0,sciRED_4,1974,21,21,0.438300051203277,0.009666800056616824
cd4_BL,2.0,SDAN_0,sciRED_5,1974,21,21,0.5161534147709264,0.014315843076391712
cd4_BL,2.0,SDAN_0,sciRED_6,1974,21,21,0.5222002779606466,0.011076636137912533
cd4_BL,2.0,SDAN_0,sciRED_7,1974,21,21,0.6163899251456855,0.02141982491427018
cd4_BL,2.0,SDAN_0,sciRED_8,1974,21,21,0.38180576890254303,0.008652785665973444
cd4_BL,2.0,SDAN_0,sciRED_9,1974,21,21,0.4585131543656889,0.013315908764096194
cd4_BL,2.0,SDAN_0,sciRED_10,1974,21,21,0.360300392558457,0.008111893024768564
cd4_BL,2.0,SDAN_0,sciRED_11,1974,21,21,0.37744129910028523,0.008195857331544999
cd4_BL,2.0,SDAN_0,sciRED_12,1974,21,21,0.5236632287323532,0.011641815379700937
cd4_BL,2.0,SDAN_0,sciRED_13,1974,21,21,0.4550020725135932,0.009641285100054402
cd4_BL,2.0,SDAN_0,sciRED_14,1974,21,21,0.46814424694609025,0.009763006734895649
cd4_BL,2.0,SDAN_0,sciRED_15,1974,21,21,0.5738912052276107,0.013506434486480846
cd4_BL,2.0,SDAN_0,sciRED_16,1974,21,21,0.43634945017433496,0.009309849428786555
cd4_BL,2.0,SDAN_0,sciRED_17,1974,21,21,0.5174456879526004,0.010923589257061325
cd4_BL,2.0,SDAN_0,sciRED_18,1974,21,21,0.5542876648867432,0.028677436519487842
cd4_BL,2.0,SDAN_0,sciRED_19,1974,21,21,0.40611513422573325,0.008733714642919643
cd4_BL,2.0,SDAN_0,sciRED_20,1974,21,21,0.6123911930363544,0.019482562597396166
cd4_BL,2.0,SDAN_0,sciRED_21,1974,21,21,0.41233267500548604,0.012173966015948078
cd4_BL,2.0,SDAN_0,sciRED_22,1974,21,21,0.564942823007339,0.014621689073104157
cd4_BL,2.0,SDAN_0,sciRED_23,1974,21,21,0.5222246604735084,0.012626200027202597
cd4_BL,2.0,SDAN_0,sciRED_24,1974,21,21,0.414405188598737,0.00868737039699975
cd4_BL,2.0,SDAN_0,sciRED_25,1974,21,21,0.3839270475215176,0.011289613503683422
cd4_BL,2.0,SDAN_0,sciRED_26,1974,21,21,0.5119352400458391,0.012521775295357149
cd4_BL,2.0,SDAN_0,sciRED_27,1974,21,21,0.6076853680540316,0.013981982397527497
cd4_BL,2.0,SDAN_0,sciRED_28,1974,21,21,0.548996659595738,0.01225012136903389
cd4_BL,2.0,SDAN_0,sciRED_29,1974,21,21,0.4561968156438202,0.010553814469377629
cd4_BL,2.0,SDAN_0,sciRED_30,1974,21,21,0.5039377758271768,0.01115634965870664
cd4_BL,2.0,SDAN_0,sciRED_31,1974,21,21,0.5220783653963378,0.011894883939475132
