cell_type,sdan_weight,program,factor,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision
cd8_BL,2.0,SDAN_1,sciRED_14,1616,18,18,0.4822347378667779,0.011250806489243172
cd8_BL,2.0,SDAN_1,sciRED_15,1616,18,18,0.46864135725212075,0.011221115856239573
cd8_BL,2.0,SDAN_1,sciRED_16,1616,18,18,0.425810040328188,0.010523702805206918
cd8_BL,2.0,SDAN_1,sciRED_17,1616,18,18,0.43196356556807125,0.01016304496900647
cd8_BL,2.0,SDAN_1,sciRED_18,1616,18,18,0.547976637463496,0.015038045245662558
cd8_BL,2.0,SDAN_1,sciRED_19,1616,18,18,0.49203865943540537,0.012693734253181994
cd8_BL,2.0,SDAN_1,sciRED_20,1616,18,18,0.4964539007092198,0.012166632886648654
cd8_BL,2.0,SDAN_1,sciRED_21,1616,18,18,0.526213322208316,0.012708542278568786
cd8_BL,2.0,SDAN_1,sciRED_22,1616,18,18,0.5048671951049923,0.01646004269463453
cd8_BL,2.0,SDAN_1,sciRED_23,1616,18,18,0.5158531497705465,0.012993105773390235
cd8_BL,2.0,SDAN_1,sciRED_24,1616,18,18,0.4205604227506605,0.010474582478358876
cd8_BL,2.0,SDAN_1,sciRED_25,1616,18,18,0.605340008343763,0.02631371737852659
cd8_BL,2.0,SDAN_1,sciRED_26,1616,18,18,0.4662077596996246,0.011064102975848908
cd8_BL,2.0,SDAN_1,sciRED_27,1616,18,18,0.5179043248505075,0.014963654790598337
cd8_BL,2.0,SDAN_1,sciRED_28,1616,18,18,0.5386942010846891,0.01372257431765876
cd8_BL,2.0,SDAN_1,sciRED_29,1616,18,18,0.6372201362814629,0.015380440371183895
cd8_BL,2.0,SDAN_1,sciRED_30,1616,18,18,0.5224933945209289,0.014514012448224062
cd8_BL,2.0,SDAN_1,sciRED_31,1616,18,18,0.4739257405089696,0.011135827212933692
cd8_BL,2.0,SDAN_1,sciRED_32,1616,18,18,0.4736128493950772,0.01062403401101533
cd8_BL,2.0,SDAN_1,sciRED_33,1616,18,18,0.669482686691698,0.01949007249170831
cd8_BL,2.0,SDAN_1,sciRED_34,1616,18,18,0.5640731469892921,0.017954276241232112
cd8_BL,2.0,SDAN_1,sciRED_35,1616,18,18,0.6024196912807677,0.015874294752841276
cd8_BL,2.0,SDAN_1,sciRED_36,1616,18,18,0.48317341120845503,0.011834445268639936
cd8_BL,2.0,SDAN_1,sciRED_37,1616,18,18,0.45358781810596577,0.013411512561278083
cd8_BL,2.0,SDAN_1,sciRED_38,1616,18,18,0.5111250173828397,0.013683473842420704
cd8_BL,2.0,SDAN_1,sciRED_39,1616,18,18,0.5045195383117786,0.012631795077489606
cd8_BL,2.0,SDAN_2,sciRED_0,1616,18,18,0.581907940481157,0.014898996493909675
cd8_BL,2.0,SDAN_2,sciRED_1,1616,18,18,0.4025865665415102,0.009219917662715224
cd8_BL,2.0,SDAN_2,sciRED_2,1616,18,18,0.601063829787234,0.017628276946238426
cd8_BL,2.0,SDAN_2,sciRED_3,1616,18,18,0.508448060075094,0.011604392515666109
cd8_BL,2.0,SDAN_2,sciRED_4,1616,18,18,0.4756987901543597,0.011402548104059678
cd8_BL,2.0,SDAN_2,sciRED_5,1616,18,18,0.5934501460158532,0.030408487627871662
cd8_BL,2.0,SDAN_2,sciRED_6,1616,18,18,0.5726602697816715,0.015021155776184219
cd8_BL,2.0,SDAN_2,sciRED_7,1616,18,18,0.5316715338617717,0.012977907446151453
cd8_BL,2.0,SDAN_2,sciRED_8,1616,18,18,0.5647684605757196,0.013331501926365725
cd8_BL,2.0,SDAN_2,sciRED_9,1616,18,18,0.6437908496732027,0.023485428265878645
cd8_BL,2.0,SDAN_2,sciRED_10,1616,18,18,0.5208594075928243,0.011612363186060173
cd8_BL,2.0,SDAN_2,sciRED_11,1616,18,18,0.512167987762481,0.014496396148547228
cd8_BL,2.0,SDAN_2,sciRED_12,1616,18,18,0.46540814907523287,0.011678568719945994
cd8_BL,2.0,SDAN_2,sciRED_13,1616,18,18,0.5303156723682381,0.012779350882761591
cd8_BL,2.0,SDAN_2,sciRED_14,1616,18,18,0.520268391044361,0.013388021572209106
cd8_BL,2.0,SDAN_2,sciRED_15,1616,18,18,0.40300375469336674,0.009401527183078084
cd8_BL,2.0,SDAN_2,sciRED_16,1616,18,18,0.32415519399249065,0.008929970132359855
cd8_BL,2.0,SDAN_2,sciRED_17,1616,18,18,0.5210332359894312,0.019683991113347787
cd8_BL,2.0,SDAN_2,sciRED_18,1616,18,18,0.5110902517035183,0.012726468165084024
cd8_BL,2.0,SDAN_2,sciRED_19,1616,18,18,0.42800027812543456,0.009934772708724376
cd8_BL,2.0,SDAN_2,sciRED_20,1616,18,18,0.5549297733277709,0.013355939380062808
cd8_BL,2.0,SDAN_2,sciRED_21,1616,18,18,0.4826519260186344,0.011344619129759922
cd8_BL,2.0,SDAN_2,sciRED_22,1616,18,18,0.5774579335280211,0.016222026407544898
cd8_BL,2.0,SDAN_2,sciRED_23,1616,18,18,0.486615213461271,0.011432552009359505
cd8_BL,2.0,SDAN_2,sciRED_24,1616,18,18,0.5872618550966486,0.013967458405630712
cd8_BL,2.0,SDAN_2,sciRED_25,1616,18,18,0.4761159783062161,0.011511241666643655
cd8_BL,2.0,SDAN_2,sciRED_26,1616,18,18,0.5933806146572104,0.015186578166168106
cd8_BL,2.0,SDAN_2,sciRED_27,1616,18,18,0.48014879710749553,0.015085021272707173
cd8_BL,2.0,SDAN_2,sciRED_28,1616,18,18,0.4852941176470588,0.01153142760123006
cd8_BL,2.0,SDAN_2,sciRED_29,1616,18,18,0.5891392017800027,0.01639721735673917
cd8_BL,2.0,SDAN_2,sciRED_30,1616,18,18,0.488005840634126,0.011230560031779704
cd8_BL,2.0,SDAN_2,sciRED_31,1616,18,18,0.410095953274927,0.011272503938983129
cd8_BL,2.0,SDAN_2,sciRED_32,1616,18,18,0.4389514671116674,0.011519096490755642
cd8_BL,2.0,SDAN_2,sciRED_33,1616,18,18,0.47524683632318176,0.02223199914908039
cd8_BL,2.0,SDAN_2,sciRED_34,1616,18,18,0.5460992907801419,0.0142252569818502
cd8_BL,2.0,SDAN_2,sciRED_35,1616,18,18,0.49923515505492977,0.022880429871488524
cd8_BL,2.0,SDAN_2,sciRED_36,1616,18,18,0.5082394659991656,0.016798284847665265
cd8_BL,2.0,SDAN_2,sciRED_37,1616,18,18,0.44388819357530246,0.01165433692685895
cd8_BL,2.0,SDAN_2,sciRED_38,1616,18,18,0.5330273953553053,0.0176795601170602
cd8_BL,2.0,SDAN_2,sciRED_39,1616,18,18,0.47628980670282295,0.012273007124817568
cd8_BL,2.0,SDAN_3,sciRED_0,1616,18,18,0.36921151439299127,0.012182060902897408
cd8_BL,2.0,SDAN_3,sciRED_1,1616,18,18,0.5046586010290641,0.011463957339852834
cd8_BL,2.0,SDAN_3,sciRED_2,1616,18,18,0.5101515783618412,0.011724125153666928
cd8_BL,2.0,SDAN_3,sciRED_3,1616,18,18,0.5473508552357114,0.012359538999729715
cd8_BL,2.0,SDAN_3,sciRED_4,1616,18,18,0.4576206369072452,0.011752065481339568
