model,,feature,coef
logreg,0,scNET_0,-0.7446492581211708
logreg,1,scNET_1,-0.5329070952056272
logreg,2,scNET_2,-2.1643266445284763
logreg,3,scNET_3,0.6734421299970988
logreg,4,scNET_4,1.319728069888731
logreg,5,scNET_5,1.0108324613498516
logreg,6,scNET_6,3.6696730469476013
logreg,7,scNET_7,-1.310543339906567
logreg,8,scNET_8,0.9486975946922409
logreg,9,scNET_9,2.3693281040971432
logreg,10,scNET_10,-2.144735512972485
logreg,11,scNET_11,2.0503305261932914
logreg,12,scNET_12,-3.163791998683148
logreg,13,scNET_13,0.3540078468727564
logreg,14,scNET_14,0.07252757739961305
logreg,15,scNET_15,4.4409479165514
logreg,16,scNET_16,0.7030573277140577
logreg,17,scNET_17,-2.6548393270650474
logreg,18,scNET_18,-1.7028937068136691
logreg,19,scNET_19,-2.834950410243884
logreg,20,scNET_20,-0.28226711162731216
logreg,21,scNET_21,-0.5314932058674893
logreg,22,scNET_22,-1.334342634595152
logreg,23,scNET_23,-0.23903149521360012
logreg,24,scNET_24,0.7864669370445141
logreg,25,scNET_25,0.09604705871822744
logreg,26,scNET_26,3.115986806323057
logreg,27,scNET_27,2.271852255237621
logreg,28,scNET_28,1.9268622807198492
logreg,29,scNET_29,-2.80382935704541
logreg,30,scNET_30,-0.880078579551674
logreg,31,scNET_31,0.6720760663018707
logreg,32,scNET_32,-3.0524842483295336
logreg,33,scNET_33,-0.6543471870329601
logreg,34,scNET_34,-6.035957754767576
logreg,35,scNET_35,-0.13363378763227235
logreg,36,scNET_36,1.6636890198137662
logreg,37,scNET_37,-1.4382738576260765
logreg,38,scNET_38,-1.5228453288099588
logreg,39,scNET_39,0.6374209253656429
logreg,40,scNET_40,0.13292142828004846
logreg,41,scNET_41,-1.0927830218077608
logreg,42,scNET_42,0.6124203320721533
logreg,43,scNET_43,-0.5724321456901077
logreg,44,scNET_44,-2.1586038438214343
logreg,45,scNET_45,-2.027728264422636
logreg,46,scNET_46,0.9735054492679929
logreg,47,scNET_47,2.7868063951914723
logreg,48,scNET_48,1.5429264615173437
logreg,49,scNET_49,-0.199534724313865
logreg,50,scNET_50,2.9634705823500997
logreg,51,scNET_51,2.5848039508430594
logreg,52,scNET_52,0.8696215890513415
logreg,53,scNET_53,-0.4952681499814959
logreg,54,scNET_54,2.9791023468503344
logreg,55,scNET_55,4.326243771174585
logreg,56,scNET_56,-1.4104522785787659
logreg,57,scNET_57,-4.022833498885234
logreg,58,scNET_58,-0.5341276002273047
logreg,59,scNET_59,-0.9205592263388375
logreg,60,scNET_60,0.443541819990298
logreg,61,scNET_61,-3.8924654218119215
logreg,62,scNET_62,-1.3520253666043844
logreg,63,scNET_63,0.680864901610289
logreg,64,scNET_64,-0.5945967241334303
logreg,65,scNET_65,0.9206540106150559
logreg,66,scNET_66,-1.9386102738196682
logreg,67,scNET_67,0.5837265807400992
logreg,68,scNET_68,-1.1242288839684327
logreg,69,scNET_69,-2.3875656732323707
logreg,70,scNET_70,-0.7664090514764365
logreg,71,scNET_71,-1.5992383999163486
logreg,72,scNET_72,-4.889910415304288
logreg,73,scNET_73,1.7516588306638465
logreg,74,scNET_74,0.06780286711373062
