model,,feature,coef
logreg,0,SDAN_0,-0.005961240130987179
logreg,1,SDAN_1,0.05349822163888301
logreg,2,SDAN_2,-0.06013455477201317
logreg,3,SDAN_3,-0.026371073928067177
logreg,4,SDAN_4,-0.048807759751332655
logreg,5,SDAN_5,-0.05496408164266668
logreg,6,SDAN_6,0.006678421798811401
logreg,7,SDAN_7,-0.03467615956127436
logreg,8,SDAN_8,-0.04309515827072742
logreg,9,SDAN_9,0.0105864839040914
logreg,10,SDAN_10,-0.014862078951236982
logreg,11,SDAN_11,-0.1274493654067926
logreg,12,SDAN_12,-0.060433602995142444
logreg,13,SDAN_13,0.021872250244053672
logreg,14,SDAN_14,0.01846411816893013
logreg,15,SDAN_15,-0.06855256602491251
logreg,16,SDAN_16,-0.020965524455420194
logreg,17,SDAN_17,0.04243185106306505
logreg,18,SDAN_18,0.07424548819483714
logreg,19,SDAN_19,-0.03484901219008463
logreg,20,SDAN_20,0.031148549846071173
logreg,21,SDAN_21,0.07909607291265218
logreg,22,SDAN_22,-0.036336524673569626
logreg,23,SDAN_23,0.22761927331281176
logreg,24,SDAN_24,-0.08260587449272636
logreg,25,SDAN_25,-0.013586850759745512
logreg,26,SDAN_26,-0.0804347917778069
logreg,27,SDAN_27,-0.052545393814493246
logreg,28,SDAN_28,-0.054899144562274016
logreg,29,SDAN_29,-0.14900806057251825
logreg,30,SDAN_30,0.10308692931728569
logreg,31,SDAN_31,-0.021058457234302372
logreg,32,SDAN_32,0.012966334822934418
logreg,33,SDAN_33,0.01477685598077657
logreg,34,SDAN_34,-0.034011497332801476
logreg,35,SDAN_35,-0.02314534022970287
logreg,36,SDAN_36,0.07623742160398654
logreg,37,SDAN_37,0.11514622869077873
logreg,38,SDAN_38,0.2467275149552842
logreg,39,SDAN_39,0.06180200112788918
