model,,feature,coef
logreg,0,SDAN_0,0.09125836500805112
logreg,1,SDAN_1,-0.07810215088832394
logreg,2,SDAN_2,-0.12851590161616078
logreg,3,SDAN_3,-0.03459219197485722
logreg,4,SDAN_4,-0.05199497979948241
logreg,5,SDAN_5,-0.06190159990988478
logreg,6,SDAN_6,0.1097433577003355
logreg,7,SDAN_7,-0.1732736429202867
logreg,8,SDAN_8,0.01369214112292415
logreg,9,SDAN_9,0.03170789772354462
logreg,10,SDAN_10,0.7675081559464322
logreg,11,SDAN_11,-0.10184806942668483
logreg,12,SDAN_12,-0.11701739705718162
logreg,13,SDAN_13,0.10768266080642834
logreg,14,SDAN_14,-0.05950698103577628
logreg,15,SDAN_15,-0.09773501197071258
logreg,16,SDAN_16,-0.08384629693081891
logreg,17,SDAN_17,0.10178994970491195
logreg,18,SDAN_18,0.09969166946906265
logreg,19,SDAN_19,0.07980067086121916
logreg,20,SDAN_20,0.06154931545665176
logreg,21,SDAN_21,-0.12292217222416917
logreg,22,SDAN_22,0.02969908530397187
logreg,23,SDAN_23,0.10872161465984594
logreg,24,SDAN_24,-0.29633363297925025
logreg,25,SDAN_25,0.08865842289240894
logreg,26,SDAN_26,-0.18217730763317233
logreg,27,SDAN_27,0.17793743844534105
logreg,28,SDAN_28,-0.04876960256512244
logreg,29,SDAN_29,0.002182691429535023
logreg,30,SDAN_30,0.10141840865974866
logreg,31,SDAN_31,-0.18207962211197765
logreg,32,SDAN_32,-0.09677814741877007
logreg,33,SDAN_33,0.0529664817515645
logreg,34,SDAN_34,0.009160144138614488
logreg,35,SDAN_35,-0.09352653270416271
logreg,36,SDAN_36,-0.17270363007029474
logreg,37,SDAN_37,-0.11660285235771424
logreg,38,SDAN_38,0.11643169997515737
logreg,39,SDAN_39,0.06622344585288831
