cell_type,sdan_weight,program,factor,n_sdan_genes,n_spectra_genes,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision,n_active_genes,n_internal_edges,avg_degree,connectivity_quantile,test_group_auroc,individual_level_auroc
Astro,2.0,SDAN_32,Spectra_28,2000,2847,1481,45,22,0.9755124929902175,0.4602913804702227,45,0,0.0,0.0,0.3578578218321236,0.28291666666666665
Astro,2.0,SDAN_10,Spectra_17,2000,2847,1481,41,36,0.779354094579008,0.30799750869549203,41,100,4.878048780487805,1.0,0.5015357223500192,0.5483333333333333
Astro,2.0,SDAN_24,Spectra_16,2000,2847,1481,42,38,0.8934420250209723,0.30109904294680623,42,20,0.9523809523809523,0.998,0.47189984885477426,0.4345833333333333
Astro,2.0,SDAN_38,Spectra_12,2000,2847,1481,45,17,0.8559144969463195,0.2384145432789934,45,0,0.0,0.0,0.369008429822166,0.2916666666666667
Astro,2.0,SDAN_22,Spectra_11,2000,2847,1481,45,22,0.8730762041248676,0.20437986539860079,45,0,0.0,0.0,0.5843035477421041,0.5920833333333332
Astro,2.0,SDAN_17,Spectra_21,2000,2847,1481,44,21,0.9323548597521201,0.18689760803710023,44,0,0.0,0.0,0.4633416828314526,0.35874999999999996
Astro,2.0,SDAN_12,Spectra_16,2000,2847,1481,42,37,0.8034925507224676,0.18642421420656333,42,112,5.333333333333333,1.0,0.5390795309107463,0.5508333333333333
Astro,2.0,SDAN_33,Spectra_15,2000,2847,1481,42,31,0.8278754171301446,0.14766454074832291,42,8,0.38095238095238093,0.93,0.6028802527034551,0.7283333333333334
Astro,2.0,SDAN_4,Spectra_27,2000,2847,1481,44,20,0.7566050650239562,0.14695016306792952,44,0,0.0,0.0,0.4537362216924614,0.3879166666666667
Astro,2.0,SDAN_29,Spectra_21,2000,2847,1481,43,33,0.7928386070651264,0.14075812054745374,43,6,0.27906976744186046,0.849,0.3843263289910111,0.25708333333333333
Astro,2.0,SDAN_15,Spectra_4,2000,2847,1481,42,34,0.7870238627586488,0.13179505214627324,42,18,0.8571428571428571,0.998,0.5921493694030777,0.7075
Astro,2.0,SDAN_7,Spectra_29,2000,2847,1481,43,36,0.6841983852364475,0.13089022878466663,43,20,0.9302325581395349,1.0,0.5339425370045888,0.59875
Astro,2.0,SDAN_3,Spectra_13,2000,2847,1481,43,42,0.5950064528938748,0.12797445205970504,43,4,0.18604651162790697,0.676,0.44344152568614137,0.4241666666666667
Astro,2.0,SDAN_13,Spectra_21,2000,2847,1481,44,21,0.7972276581865623,0.12436735774866003,44,0,0.0,0.0,0.42075002098018,0.3395833333333333
Astro,2.0,SDAN_31,Spectra_28,2000,2847,1481,43,36,0.7586312956555171,0.12081300766611247,43,24,1.1162790697674418,1.0,0.41920365019214956,0.3383333333333334
