cell_type,sdan_weight,program,factor,n_sdan_genes,n_spectra_genes,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision
Micro-PVM,2.0,SDAN_0,Spectra_0,2000,2847,1547,39,17,0.36551326412918106,0.008511835104544424
Micro-PVM,2.0,SDAN_0,Spectra_1,2000,2847,1547,39,17,0.2292964244521338,0.006989866655992036
Micro-PVM,2.0,SDAN_0,Spectra_2,2000,2847,1547,39,17,0.281199538638985,0.00812044346293352
Micro-PVM,2.0,SDAN_0,Spectra_3,2000,2847,1547,39,17,0.2900422914263745,0.007488564718176427
Micro-PVM,2.0,SDAN_0,Spectra_4,2000,2847,1547,39,17,0.2531334102268358,0.007120819669894111
Micro-PVM,2.0,SDAN_0,Spectra_5,2000,2847,1547,39,17,0.26828143021914647,0.007544388122714974
Micro-PVM,2.0,SDAN_0,Spectra_6,2000,2847,1547,39,17,0.20265282583621683,0.006861163012373842
Micro-PVM,2.0,SDAN_0,Spectra_7,2000,2847,1547,39,17,0.27231833910034603,0.007363783966327694
Micro-PVM,2.0,SDAN_0,Spectra_8,2000,2847,1547,39,17,0.45494040753556325,0.009950189736011729
Micro-PVM,2.0,SDAN_0,Spectra_9,2000,2847,1547,39,17,0.2665128796616686,0.01140873102638464
Micro-PVM,2.0,SDAN_0,Spectra_10,2000,2847,1547,39,17,0.3150711264898116,0.007980046176338539
Micro-PVM,2.0,SDAN_0,Spectra_11,2000,2847,1547,39,17,0.30980392156862746,0.007742286714982137
Micro-PVM,2.0,SDAN_0,Spectra_12,2000,2847,1547,39,17,0.7382545174932719,0.04879200591382849
Micro-PVM,2.0,SDAN_0,Spectra_13,2000,2847,1547,39,17,0.3531334102268358,0.008640445709485465
Micro-PVM,2.0,SDAN_0,Spectra_14,2000,2847,1547,39,17,0.24721261053440985,0.007117920194235656
Micro-PVM,2.0,SDAN_0,Spectra_15,2000,2847,1547,39,17,0.21514801999231062,0.007147019257781596
Micro-PVM,2.0,SDAN_0,Spectra_16,2000,2847,1547,39,17,0.30115340253748557,0.007620845792720091
Micro-PVM,2.0,SDAN_0,Spectra_17,2000,2847,1547,39,17,0.2152249134948097,0.006844722353733195
Micro-PVM,2.0,SDAN_0,Spectra_18,2000,2847,1547,39,17,0.16247597078046905,0.006532919300325613
Micro-PVM,2.0,SDAN_0,Spectra_19,2000,2847,1547,39,17,0.35832372164552095,0.008329952655324088
Micro-PVM,2.0,SDAN_0,Spectra_20,2000,2847,1547,39,17,0.18535178777393313,0.006812726343381848
Micro-PVM,2.0,SDAN_0,Spectra_21,2000,2847,1547,39,17,0.4038446751249519,0.010122311429544523
Micro-PVM,2.0,SDAN_0,Spectra_22,2000,2847,1547,39,17,0.1306805074971165,0.006358664786984979
Micro-PVM,2.0,SDAN_0,Spectra_23,2000,2847,1547,39,17,0.19015763168012303,0.01033044074439617
Micro-PVM,2.0,SDAN_0,Spectra_24,2000,2847,1547,39,17,0.37693194925028833,0.00858884489502908
Micro-PVM,2.0,SDAN_0,Spectra_25,2000,2847,1547,39,17,0.20138408304498268,0.007403877063392152
Micro-PVM,2.0,SDAN_0,Spectra_26,2000,2847,1547,39,17,0.23068050749711652,0.036163946474577255
Micro-PVM,2.0,SDAN_0,Spectra_27,2000,2847,1547,39,17,0.17973856209150327,0.006567724899704324
Micro-PVM,2.0,SDAN_0,Spectra_28,2000,2847,1547,39,17,0.47154940407535567,0.014199270885832165
Micro-PVM,2.0,SDAN_0,Spectra_29,2000,2847,1547,39,17,0.24052287581699347,0.00703902327647489
Micro-PVM,2.0,SDAN_0,Spectra_30,2000,2847,1547,39,17,0.27078046905036524,0.007316774566518942
Micro-PVM,2.0,SDAN_0,Spectra_31,2000,2847,1547,39,17,0.4356401384083045,0.03926263003815878
Micro-PVM,2.0,SDAN_0,Spectra_32,2000,2847,1547,39,17,0.33790849673202616,0.008069976993630225
Micro-PVM,2.0,SDAN_0,Spectra_33,2000,2847,1547,39,17,0.5482891195693964,0.012081831647000855
Micro-PVM,2.0,SDAN_0,Spectra_34,2000,2847,1547,39,17,0.24944252210688195,0.0072884007897746385
Micro-PVM,2.0,SDAN_0,Spectra_35,2000,2847,1547,39,17,0.7826605151864666,0.2587761451815931
Micro-PVM,2.0,SDAN_0,Spectra_36,2000,2847,1547,39,17,0.36847366397539405,0.008403728791138125
Micro-PVM,2.0,SDAN_0,Spectra_37,2000,2847,1547,39,17,0.43598615916955014,0.009937150920688196
Micro-PVM,2.0,SDAN_0,Spectra_38,2000,2847,1547,39,17,0.335678585159554,0.00809863794153046
Micro-PVM,2.0,SDAN_0,Spectra_39,2000,2847,1547,39,17,0.43437139561707033,0.010168067662509172
Micro-PVM,2.0,SDAN_1,Spectra_0,2000,2847,1547,37,30,0.5282135794330916,0.021257322631948943
Micro-PVM,2.0,SDAN_1,Spectra_1,2000,2847,1547,37,30,0.6419907712590639,0.03333729870781504
Micro-PVM,2.0,SDAN_1,Spectra_2,2000,2847,1547,37,30,0.518918918918919,0.023986110105709862
Micro-PVM,2.0,SDAN_1,Spectra_3,2000,2847,1547,37,30,0.5800043946385409,0.0398354352087006
Micro-PVM,2.0,SDAN_1,Spectra_4,2000,2847,1547,37,30,0.6541639200175786,0.03602652650121096
Micro-PVM,2.0,SDAN_1,Spectra_5,2000,2847,1547,37,30,0.5633487145682268,0.023631298961999798
Micro-PVM,2.0,SDAN_1,Spectra_6,2000,2847,1547,37,30,0.537574159525379,0.020194401966430686
Micro-PVM,2.0,SDAN_1,Spectra_7,2000,2847,1547,37,30,0.5626016260162602,0.02268414570265525
Micro-PVM,2.0,SDAN_1,Spectra_8,2000,2847,1547,37,30,0.5458360799824213,0.02361885977349554
Micro-PVM,2.0,SDAN_1,Spectra_9,2000,2847,1547,37,30,0.5307624697868599,0.021870341235062516
Micro-PVM,2.0,SDAN_1,Spectra_10,2000,2847,1547,37,30,0.5645572401669963,0.025941724803415372
Micro-PVM,2.0,SDAN_1,Spectra_11,2000,2847,1547,37,30,0.45286750164798945,0.017072817508583384
Micro-PVM,2.0,SDAN_1,Spectra_12,2000,2847,1547,37,30,0.49323225664689085,0.018902758784934647
Micro-PVM,2.0,SDAN_1,Spectra_13,2000,2847,1547,37,30,0.6776532630191168,0.036714134961786826
Micro-PVM,2.0,SDAN_1,Spectra_14,2000,2847,1547,37,30,0.554515491100857,0.02330814389278512
Micro-PVM,2.0,SDAN_1,Spectra_15,2000,2847,1547,37,30,0.6159305647110526,0.028684462591345643
Micro-PVM,2.0,SDAN_1,Spectra_16,2000,2847,1547,37,30,0.5475060426279938,0.02096949559169995
Micro-PVM,2.0,SDAN_1,Spectra_17,2000,2847,1547,37,30,0.6102395078004835,0.026466689242655973
Micro-PVM,2.0,SDAN_1,Spectra_18,2000,2847,1547,37,30,0.6812788398154251,0.03373422809820561
Micro-PVM,2.0,SDAN_1,Spectra_19,2000,2847,1547,37,30,0.5434629751702922,0.021522682032517906
Micro-PVM,2.0,SDAN_1,Spectra_20,2000,2847,1547,37,30,0.6429356185453746,0.02815003322188399
Micro-PVM,2.0,SDAN_1,Spectra_21,2000,2847,1547,37,30,0.5072731267853219,0.020156944181671604
