cell_type,sdan_weight,program,factor,n_sdan_genes,n_spectra_genes,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision
CD8T,2.0,SDAN_0,Spectra_0,1259,1178,674,23,16,0.43493541033434646,0.020742906583874045
CD8T,2.0,SDAN_0,Spectra_1,1259,1178,674,23,16,0.47254939209726443,0.02557147223777545
CD8T,2.0,SDAN_0,Spectra_2,1259,1178,674,23,16,0.4588715805471124,0.021314334577926457
CD8T,2.0,SDAN_0,Spectra_3,1259,1178,674,23,16,0.38449848024316113,0.018841765506896802
CD8T,2.0,SDAN_0,Spectra_4,1259,1178,674,23,16,0.7389817629179332,0.114170526100093
CD8T,2.0,SDAN_0,Spectra_5,1259,1178,674,23,16,0.3931420972644377,0.019206173118795876
CD8T,2.0,SDAN_0,Spectra_6,1259,1178,674,23,16,0.5883358662613981,0.03778456932929657
CD8T,2.0,SDAN_0,Spectra_7,1259,1178,674,23,16,0.5218465045592705,0.026708636406043387
CD8T,2.0,SDAN_0,Spectra_8,1259,1178,674,23,16,0.5257408814589666,0.03204792416266895
CD8T,2.0,SDAN_0,Spectra_9,1259,1178,674,23,16,0.589095744680851,0.031184937917552502
CD8T,2.0,SDAN_0,Spectra_10,1259,1178,674,23,16,0.5992591185410334,0.031413500678523956
CD8T,2.0,SDAN_0,Spectra_11,1259,1178,674,23,16,0.3880129179331307,0.019011926952170088
CD8T,2.0,SDAN_0,Spectra_12,1259,1178,674,23,16,0.43047112462006076,0.02119051041913655
CD8T,2.0,SDAN_0,Spectra_13,1259,1178,674,23,16,0.44813829787234044,0.020846263464303606
CD8T,2.0,SDAN_0,Spectra_14,1259,1178,674,23,16,0.4317059270516717,0.020521530272339557
CD8T,2.0,SDAN_0,Spectra_15,1259,1178,674,23,16,0.5401785714285714,0.025274820828875014
CD8T,2.0,SDAN_0,Spectra_16,1259,1178,674,23,16,0.42135258358662614,0.020150857889149096
CD8T,2.0,SDAN_0,Spectra_17,1259,1178,674,23,16,0.42049772036474165,0.019992667904806347
CD8T,2.0,SDAN_0,Spectra_18,1259,1178,674,23,16,0.44927811550151975,0.022181908047237277
CD8T,2.0,SDAN_0,Spectra_19,1259,1178,674,23,16,0.5579407294832827,0.026425419958994494
CD8T,2.0,SDAN_0,Spectra_20,1259,1178,674,23,16,0.3813639817629179,0.01863933561302972
CD8T,2.0,SDAN_0,Spectra_21,1259,1178,674,23,16,0.5972644376899696,0.03316745109173462
CD8T,2.0,SDAN_0,Spectra_22,1259,1178,674,23,16,0.5918503039513677,0.06619091683991246
CD8T,2.0,SDAN_0,Spectra_23,1259,1178,674,23,16,0.5044642857142857,0.023264971491628983
CD8T,2.0,SDAN_0,Spectra_24,1259,1178,674,23,16,0.46837006079027355,0.021662149975098532
CD8T,2.0,SDAN_0,Spectra_25,1259,1178,674,23,16,0.6519756838905775,0.03829820349318079
CD8T,2.0,SDAN_0,Spectra_26,1259,1178,674,23,16,0.5369490881458967,0.026042332059775353
CD8T,2.0,SDAN_0,Spectra_27,1259,1178,674,23,16,0.771466565349544,0.06149448796505333
CD8T,2.0,SDAN_0,Spectra_28,1259,1178,674,23,16,0.4659954407294833,0.027696873882918943
CD8T,2.0,SDAN_0,Spectra_29,1259,1178,674,23,16,0.7350873860182371,0.08090816296018244
CD8T,2.0,SDAN_0,Spectra_30,1259,1178,674,23,16,0.5091185410334347,0.02407791073443193
CD8T,2.0,SDAN_0,Spectra_31,1259,1178,674,23,16,0.4217325227963526,0.02010818013245255
CD8T,2.0,SDAN_0,Spectra_32,1259,1178,674,23,16,0.5370440729483283,0.027142225955192056
CD8T,2.0,SDAN_0,Spectra_33,1259,1178,674,23,16,0.6492211246200608,0.04626786488233318
CD8T,2.0,SDAN_0,Spectra_34,1259,1178,674,23,16,0.5826367781155015,0.060269028603566366
CD8T,2.0,SDAN_0,Spectra_35,1259,1178,674,23,16,0.5165273556231003,0.02905333550371536
CD8T,2.0,SDAN_0,Spectra_36,1259,1178,674,23,16,0.4700797872340426,0.021775046311979226
CD8T,2.0,SDAN_0,Spectra_37,1259,1178,674,23,16,0.3991261398176292,0.01918433736910248
CD8T,2.0,SDAN_0,Spectra_38,1259,1178,674,23,16,0.46248100303951367,0.022410800428257053
CD8T,2.0,SDAN_0,Spectra_39,1259,1178,674,23,16,0.46514057750759874,0.02198449173202921
CD8T,2.0,SDAN_1,Spectra_0,1259,1178,674,23,16,0.5254559270516718,0.033872949151114454
CD8T,2.0,SDAN_1,Spectra_1,1259,1178,674,23,16,0.7174202127659575,0.051496139408065696
CD8T,2.0,SDAN_1,Spectra_2,1259,1178,674,23,16,0.7878989361702128,0.08086748806536241
