model,,feature,coef
logreg,0,SDAN_0,0.06367568443959912
logreg,1,SDAN_1,-0.1022907898758429
logreg,2,SDAN_2,-0.08627555526061575
logreg,3,SDAN_3,-0.060567768166104353
logreg,4,SDAN_4,0.02485992517358659
logreg,5,SDAN_5,-0.14039382193732297
logreg,6,SDAN_6,0.04877119180185083
logreg,7,SDAN_7,-0.015665574310717408
logreg,8,SDAN_8,-0.052674270580580926
logreg,9,SDAN_9,-0.21785428810838212
logreg,10,SDAN_10,-0.042268772691600766
logreg,11,SDAN_11,0.05468949581394226
logreg,12,SDAN_12,-0.0749672430551174
logreg,13,SDAN_13,0.004739915914485452
logreg,14,SDAN_14,0.03843466104092619
logreg,15,SDAN_15,0.05107039852618863
logreg,16,SDAN_16,0.45952912301122684
logreg,17,SDAN_17,0.0940952441325596
logreg,18,SDAN_18,-0.12012114042490904
logreg,19,SDAN_19,-0.01497759042278489
logreg,20,SDAN_20,0.1333869136710224
logreg,21,SDAN_21,0.0679738960266764
logreg,22,SDAN_22,-0.10656739098309875
logreg,23,SDAN_23,-0.051521756117689214
logreg,24,SDAN_24,0.03705970431858707
logreg,25,SDAN_25,0.005347576682759268
logreg,26,SDAN_26,0.0660376976650763
logreg,27,SDAN_27,-0.16619665389139737
logreg,28,SDAN_28,-0.12084301066807555
logreg,29,SDAN_29,0.026029771540567424
logreg,30,SDAN_30,-0.097494283998537
logreg,31,SDAN_31,0.011855286459793864
logreg,32,SDAN_32,0.16318102075185553
logreg,33,SDAN_33,0.053542253581962074
logreg,34,SDAN_34,0.10982250388272059
logreg,35,SDAN_35,0.0043555942772387606
logreg,36,SDAN_36,-0.006399987594713221
logreg,37,SDAN_37,-0.059392932181694856
logreg,38,SDAN_38,0.14456169911062888
logreg,39,SDAN_39,0.08007203476819805
