term	set_size	overlap	pval	padj	n_genes_used	n_term_de_genes	score_col	term_genes	term_de_genes
Immune::GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_10DY_UP	159	40	9.577273612521685e-07	0.0003636827184147528	159	40	term_score_10	ABCA1;ABI3;ACOT7;ACOT9;ACTA2;ADA;ADAR;AIM2;AP5B1;APOBEC3F;APOL3;ATF3;BLVRA;BST2;BTN3A1;CASP1;CCNB2;CCR1;CD38;CDC20;CDCA5;CDCA7;CENPM;CHMP5;CUL1;CX3CR1;CYSLTR1;DDX60;DHX58;DRAP1;DUSP5;EIF2AK2;EPSTI1;FAM8A1;FBXO6;GADD45B;GALM;GBP1;GBP2;GBP5;GCH1;GNGT2;HAVCR2;HELZ2;HERC5;HERC6;HLA-A;IDH2;IFI16;IFI27;IFI30;IFI35;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFIT5;IFITM1;IFITM3;IL15;IRF7;IRF9;ISG15;LAP3;LGALS3BP;LGALS9;LY6E;MAD2L1BP;MCM4;MICB;MOV10;MT1F;MT2A;MX1;MYL6B;NAGA;NAGK;NAPA;NCOA7;NME1;NMI;NPC2;NTNG2;NUB1;NUSAP1;OAS1;OAS2;OAS3;OASL;OSBPL5;OTOF;PARP10;PARP12;PARP14;PARP9;PCK2;PHF11;PHGDH;PLAC8;PLSCR1;PML;PRF1;PSME2;PTTG1;RAB8A;REC8;RGS12;RIPK3;RNF135;RSAD2;RTP4;SAMD9L;SAT1;SCARB2;SCO2;SDF2L1;SHISA5;SIL1;SLC27A3;SNTB1;SOCS1;SP110;SP140;SPATS2L;SRBD1;STAT1;STAT2;STMN1;TAP1;TAP2;TDRD7;TIMM10;TK1;TMEM123;TMEM140;TMEM62;TNFSF10;TOR1B;TRAFD1;TRIM21;TRIM22;TRIM38;TRIM5;TUBG1;TXNDC11;TXNDC5;TYMS;UBA7;UBE2C;UBE2L6;UBE2S;UHRF1;VAMP5;XAF1;ZBP1;ZC3HAV1	ATF3;CASP1;CCNB2;CDC20;CX3CR1;DHX58;GBP1;GNGT2;IFI27;IFI44;IFI44L;IFI6;IFIT1;IFIT2;IFIT3;IFITM3;IL15;ISG15;MOV10;MT2A;MX1;NCOA7;NPC2;OAS1;OASL;PARP12;PLAC8;PRF1;PTTG1;RNF135;RSAD2;SAT1;STMN1;TIMM10;TK1;TNFSF10;TYMS;UBE2C;XAF1;ZC3HAV1
Immune::GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_UP	99	29	1.1036714593644684e-06	0.0003945073631498292	99	29	term_score_11	ABCB8;ACTN1;ADPRM;AGBL2;AGMAT;ALDOC;APBB1;APEX1;ATG9B;BDH1;BPHL;CCDC141;CD248;CD9;CDCA7L;CHCHD7;CHMP7;COL6A3;COQ3;DDX31;DENND5A;EBPL;EPHA1;ERICH1;FAHD2A;FAM117B;FAM184A;FCGBP;FLNB;FOXO1;FOXP1;HAUS5;HLA-DOA;HSBP1L1;IGF1R;IKBKE;IL6ST;KLF7;LAMP3;LAYN;LDLRAP1;LEF1;LEPROTL1;LRRN3;MAL;MAN1C1;MMEL1;MRPS25;MTA3;NAA16;NAT9;NDFIP1;OBSCN;OXA1L;OXNAD1;PASK;PDCD4-AS1;PDK1;PIK3CD;PIK3IP1;PRKCA;PTPRK;RAB43;REPIN1;RFX2;RGS10;RMND5B;RPL14;RPL27;RPL5;SCARB1;SCML1;SERINC5;SFXN2;SFXN4;SLC12A6;SLC2A11;SLC8B1;SNED1;SPINT2;SREBF1;ST13;SUSD3;TACC3;TAF4B;TCF3;TECPR1;THYN1;TMEM243;TP73-AS1;TRABD2A;TSEN2;TYSND1;UBIAD1;USP20;YPEL2;ZNF496;ZNF844;ZWINT	CD248;CDCA7L;COQ3;DENND5A;EPHA1;FAHD2A;FAM117B;FCGBP;FLNB;FOXP1;IGF1R;LAMP3;LDLRAP1;LEF1;MAN1C1;NAA16;NAT9;OBSCN;OXNAD1;PASK;PIK3IP1;RPL5;SCML1;SERINC5;SPINT2;TCF3;TECPR1;TRABD2A;YPEL2
GO_BP::GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	953	155	1.8623811348024374e-06	0.0005945599498894512	953	155	term_score_12	A2M;ABCA1;ABCD2;ABCF3;ABL1;ACP5;ACTA2;ACTG1;ACTR2;ACTR3;ADAM15;ADAM17;ADAM8;ADAM9;ADAR;ADARB1;ADH5;AGBL5;AHR;AIF1;AIM2;AIMP1;AKAP1;AKAP8;AKIRIN2;AKT1;ALAD;ALPK1;ALYREF;ANKHD1;ANKRD17;ANXA1;AP1G1;AP1S1;AP3B1;APOBEC3B;APOBEC3C;APOBEC3D;APOBEC3F;APOBEC3G;APOBEC3H;APOL1;APPL1;APPL2;ARF1;ARG2;ARHGEF2;ARID5A;ARL8B;ARMC5;ARRB2;ATAD3A;ATAT1;ATF2;ATG12;ATG16L1;ATG5;ATG7;ATP1B1;AUP1;AURKB;AZI2;B2M;BAK1;BANF1;BATF;BAX;BCL10;BCL2;BCL2L1;BCL3;BCR;BECN1;BIRC2;BIRC3;BNIP3;BNIP3L;BPGM;BRCC3;BSG;BST2;C1QBP;C1R;C1RL;CA5B;CACTIN;CADM1;CALCOCO2;CALM1;CALR;CAPN2;CARD16;CARD8;CASP1;CASP3;CASP4;CASP6;CASP7;CASP8;CASP9;CAV1;CBL;CCDC88B;CCDC92;CCL3;CCL3L3;CCL4;CCL5;CCNK;CCNT1;CCR4;CCR5;CCR7;CCT5;CD160;CD2;CD226;CD244;CD274;CD300A;CD46;CD47;CD55;CD58;CD6;CD68;CD74;CD80;CD81;CD84;CD86;CD96;CDC37;CDC42;CDC73;CDHR3;CDK1;CDK19;CDK4;CDK6;CDK9;CEBPB;CEBPG;CEP192;CEP63;CFL1;CHD1;CHD7;CHID1;CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP5;CHMP6;CHMP7;CHUK;CIITA;CLNK;CLPB;CLU;CMPK2;CNOT7;CNP;CNPY3;CORO1A;COTL1;CRCP;CREBBP;CREBZF;CRK;CRTAM;CSF1;CSNK1A1;CSNK2A1;CSNK2B;CTDP1;CTR9;CTSB;CTSS;CUBN;CX3CR1;CXCL13;CXCR4;CYBA;CYLD;DAB2IP;DAG1;DAPK3;DDB1;DDIT4;DDX1;DDX17;DDX21;DDX39B;DDX3X;DDX56;DDX60;DDX60L;DHX15;DHX16;DHX33;DHX36;DHX58;DHX9;DNAJC3;DPP4;DROSHA;DTX3L;DUS2;DUSP10;DYNLT1;ECSIT;EEA1;EEF1A1;EEF1G;EIF2AK2;EIF2AK4;EIF4E2;EIF5A;ELMOD2;EMILIN2;ENDOD1;ENO1;EP300;EPG5;EPS15;ERAP1;ESR1;EXOC1;EXOC2;EXOC7;EXOSC4;EXOSC5;F11R;F2R;FADD;FAM3A;FASLG;FASN;FAU;FBXO3;FBXO9;FCER1G;FCGR3A;FCRL3;FER;FGL2;FGR;FKBP5;FLNB;FLOT1;FLOT2;FMR1;FOS;FOSL2;FOXP1;FRK;FUCA2;FURIN;FYN;G3BP1;G3BP2;GAPDH;GATA3;GBF1;GBP1;GBP2;GBP3;GBP4;GBP5;GBP7;GCH1;GFER;GFI1;GIGYF2;GIT1;GNLY;GPAM;GPATCH3;GPR108;GPS2;GPX1;GRAMD4;GRN;GSDMB;GSDMD;GSN;GSTP1;GTF2F1;GZMA;GZMB;GZMH;GZMM;HADHB;HAVCR1;HAVCR2;HDAC1;HDAC2;HDAC4;HDAC5;HERC5;HERC6;HEXIM1;HIF1A;HK1;HLA-A;HLA-B;HLA-C;HLA-DPA1;HLA-DRB1;HLA-E;HLA-F;HLA-G;HMGB1;HMGB2;HMGB3;HMGN2;HNRNPA0;HNRNPUL1;HPGD;HRAS;HSF1;HSP90AA1;HSP90AB1;HSPA1A;HSPA1B;HSPA8;HSPB1;HSPD1;ICAM1;IDE;IER3;IFI16;IFI27;IFI35;IFI44;IFI44L;IFI6;IFIH1;IFIT1;IFIT2;IFIT3;IFIT5;IFITM1;IFITM2;IFITM3;IFNAR1;IFNAR2;IFNG;IFNGR1;IFNGR2;IFNLR1;IGF2R;IGHG1;IGHM;IKBKB;IKBKE;IKBKG;IKZF3;IL10;IL10RA;IL10RB;IL12RB1;IL12RB2;IL15;IL17RA;IL18BP;IL18RAP;IL1RAP;IL24;IL27RA;IL4R;IL6R;IL7R;ILF3;INPP5K;IPO5;IPO7;IRAK1;IRAK2;IRAK4;IRF1;IRF2;IRF3;IRF4;IRF5;IRF7;IRF8;IRF9;ISG15;ISG20;IST1;ITCH;ITGA2;ITGA5;ITGAM;ITGAV;ITGAX;ITGB1;ITGB7;ITGB8;IVNS1ABP;JAGN1;JAK1;JAK2;JAK3;JUN;KAT5;KIF5B;KIR2DL4;KIR3DL1;KLHL6;KLRB1;KLRC1;KLRC2;KLRC3;KLRC4;KLRC4-KLRK1;KLRD1;KLRG1;KLRK1;KPNA3;KRT8;LAG3;LAMP1;LAMP3;LAMTOR5;LCK;LDLR;LDOC1;LEAP2;LEF1;LGALS1;LGALS3;LGALS8;LGALS9;LIAS;LILRB1;LITAF;LRCH4;LRP8;LRRC14;LRSAM1;LSM14A;LSM5;LTA;LY6E;LY9;LYAR;LYN;LYST;LYZ;MALT1;MAP2K3;MAP2K6;MAP2K7;MAP3K14;MAP3K5;MAP3K7;MAP4K2;MAPK1;MAPK14;MAPK3;MAPK8;MAPKAPK2;MAPKAPK3;MAPKBP1;MARK4;MATR3;MAVS;MCOLN2;MECP2;MED1;METTL3;MFHAS1;MIAT;MICA;MICB;MIF;MLH1;MLKL;MORC3;MOV10;MR1;MS4A1;MSRB1;MTDH;MUL1;MX1;MX2;MYD88;MYO1C;N4BP1;NAGK;NAIP;NAPEPLD;NCBP1;NCF1;NCK1;NCR3;NCR3LG1;NDUFAF4;NEK7;NFE2L2;NFKB1;NFKB2;NFKBIA;NFKBIB;NFKBIL1;NFKBIZ;NINJ1;NKG7;NLRC3;NLRC5;NLRP1;NLRP2;NLRP3;NLRP6;NLRX1;NMB;NMI;NOD1;NOD2;NONO;NOTCH1;NOTCH2;NPC1;NPC2;NPLOC4;NR1D1;NR1H2;NR4A1;NT5C2;NT5C3A;NUB1;NUCKS1;NUGGC;NUP153;OAS1;OAS2;OAS3;OASL;OCIAD2;ODC1;OPTN;OTUD4;OTUD5;P2RX7;P4HB;PABPN1;PAF1;PAIP1;PAK1;PAK2;PARP1;PARP14;PARP9;PCBP2;PCK2;PDCD4;PDE12;PDE4B;PDPK1;PELI1;PHB2;PI4KA;PIK3AP1;PIK3C3;PIK3CD;PIK3CG;PIK3R1;PIKFYVE;PIM2;PJA2;PLA2G6;PLAA;PLAC8;PLCG2;PLEKHM2;PLSCR1;PMAIP1;PML;POLR3A;POLR3B;POLR3C;POLR3D;POLR3E;POLR3F;POLR3H;POLR3K;POU2AF1;POU2F2;PPARA;PPIA;PPIB;PPID;PPM1B;PPM1D;PPP1R11;PPP1R14B;PPP2CA;PPP2R3C;PPP6C;PQBP1;PRDM1;PRDX1;PRDX2;PRDX3;PRF1;PRKCA;PRKCD;PRKCE;PRKDC;PRKRA;PRPF8;PSMA2;PSMC3;PSPC1;PSTPIP1;PTGER2;PTGER4;PTPN1;PTPN11;PTPN2;PTPN22;PTPN6;PTPRC;PTPRS;PUM1;PUM2;PYCARD;PYHIN1;RAB11FIP2;RAB14;RAB1A;RAB27A;RAB2B;RAB43;RAB5A;RAB7A;RAB9A;RAF1;RARA;RASGRP1;RBBP9;RBCK1;RBM14;RBPJ;REL;RELA;RELB;REST;RFTN1;RGS1;RHOA;RIOK3;RIPK2;RIPK3;RNASEK;RNASEL;RNASET2;RNF125;RNF135;RNF166;RNF185;RNF19B;RNF213;RNF216;RNF26;RNF31;RNF5;ROCK2;ROMO1;RPL13A;RPL30;RPL39;RPS15A;RPS19;RPS6KA3;RPS6KB1;RPSA;RRP1B;RSAD2;RTN4;RTP4;SAMD9;SAMHD1;SAP30BP;SARM1;SBNO2;SCARB1;SCARB2;SEC14L1;SEH1L;SELPLG;SENP7;SERINC3;SERINC5;SERPINB9;SETD2;SFPQ;SH2D1A;SH2D1B;SHARPIN;SHC1;SHMT2;SHPK;SIGIRR;SIN3A;SIRT2;SIVA1;SKP2;SLAMF1;SLAMF6;SLAMF7;SLAMF8;SLC10A1;SLC15A4;SLC17A5;SLC1A5;SLC20A2;SLC22A5;SLC26A6;SLC30A1;SLC3A2;SLC52A2;SLC7A1;SLC7A5;SLC9A9;SLFN11;SLFN13;SMAD3;SMARCA4;SMARCB1;SMC5;SMC6;SMPD1;SNW1;SNX3;SOD2;SP1;SP100;SPN;SPON2;SRPK1;SRPK2;SRR;ST13;STAT1;STAT2;STAT5B;STMN1;STOM;STX4;STX8;STXBP3;STXBP4;SYNCRIP;SYT11;TAB2;TAB3;TAF11;TANK;TAP2;TARBP2;TARDBP;TAX1BP1;TBC1D20;TBK1;TBKBP1;TBX21;TFEB;TFRC;TGFB1;THOC1;THOC2;THOC3;THOC5;THOC6;THOC7;TICAM1;TIFA;TIRAP;TMED1;TMEM106A;TMEM126A;TMEM229B;TMEM33;TMEM41B;TMEM43;TMF1;TNF;TNFAIP3;TNFAIP8L2;TNFRSF14;TNFRSF1A;TNFRSF1B;TNFRSF4;TNFSF4;TNFSF8;TNIP1;TNIP2;TNIP3;TOLLIP;TP53;TPCN1;TPCN2;TPT1;TRAC;TRAF2;TRAF3;TRAF3IP1;TRAF3IP2;TRAF4;TRAF6;TRAFD1;TRAV1-1;TRAV1-2;TRAV13-1;TRAV13-2;TRAV17;TRAV20;TRAV21;TRAV24;TRAV25;TRAV26-1;TRAV26-2;TRAV30;TRAV35;TRAV4;TRAV5;TRDV1;TREX1;TRGV2;TRGV3;TRGV4;TRGV5;TRGV8;TRGV9;TRIB1;TRIM11;TRIM13;TRIM14;TRIM21;TRIM22;TRIM23;TRIM25;TRIM26;TRIM27;TRIM28;TRIM32;TRIM34;TRIM35;TRIM38;TRIM4;TRIM41;TRIM44;TRIM5;TRIM52;TRIM56;TRIM59;TRIM62;TRIM65;TRIM68;TRIM8;TSG101;TSPAN32;TSPO;TTC4;TTLL12;TUBB;TUBB4B;TUSC2;TXK;TYK2;TYROBP;UBA7;UBE2K;UBE2L6;UBE2N;UBE2W;UBL7;UBQLN1;ULBP1;ULBP2;UNC13D;UPF1;URI1;USP14;USP15;USP18;USP20;USP38;USP7;UVRAG;VAMP2;VAMP3;VAMP7;VAMP8;VAPA;VAV1;VCAM1;VIM;VPS18;VPS26B;VPS37B;VPS4A;VPS4B;WAS;WASL;WDFY1;WDR83;WIPF1;WIPI2;WRNIP1;WWP1;WWP2;XBP1;XCL1;XCL2;XIAP;XPR1;XRCC5;XRCC6;YES1;YTHDC2;YTHDF2;YTHDF3;YWHAZ;ZAP70;ZBED1;ZBP1;ZBTB1;ZC3H12A;ZC3HAV1;ZCCHC3;ZDHHC12;ZDHHC18;ZDHHC20;ZDHHC5;ZDHHC8;ZFP36;ZFYVE1;ZMPSTE24;ZMYND11;ZNF639;ZNF683;ZNFX1;ZNRF1;ZYX	ALYREF;ANXA1;ATG7;AURKB;B2M;BCL3;C1R;CADM1;CASP1;CAV1;CCL3;CCL3L3;CCL4;CCNK;CCR7;CD160;CD274;CD55;CD68;CD80;CD81;CD84;CD86;CEP63;CLU;CRTAM;CTSB;CX3CR1;CXCL13;CXCR4;DAG1;DDB1;DHX58;DUS2;ECSIT;EEF1A1;EEF1G;EXOSC4;FCGR3A;FCRL3;FLNB;FMR1;FOXP1;GBP1;GNLY;GSDMB;GZMB;HAVCR1;HMGB2;HNRNPUL1;HPGD;HSPA1A;HSPA1B;HSPB1;IFI27;IFI44;IFI44L;IFI6;IFIT1;IFIT2;IFIT3;IFITM3;IFNG;IFNGR2;IGHG1;IL10;IL15;IL18RAP;IL4R;IL7R;IPO7;IRF4;IRF8;ISG15;ITGAM;KIR2DL4;KIR3DL1;KLRB1;KLRC1;KLRC2;KLRK1;LAMP3;LDLR;LDOC1;LEF1;LGALS1;MOV10;MS4A1;MX1;NCR3;NPC2;NT5C2;OAS1;OASL;P2RX7;PABPN1;PDCD4;PIK3C3;PIK3R1;PIM2;PLA2G6;PLAC8;PMAIP1;PPARA;PRF1;PRKCE;PTGER2;PTPN2;PTPRC;RAB11FIP2;REST;RGS1;RNF135;RNF31;RPL13A;RPL30;RSAD2;SERINC5;SH2D1B;SLAMF8;SLC26A6;SLC9A9;SPON2;STMN1;STX8;TARBP2;THOC5;TIFA;TMEM126A;TNF;TNFAIP8L2;TNFRSF4;TRAV1-2;TRAV13-1;TRAV21;TRAV24;TRAV30;TRAV35;TRDV1;TREX1;TRGV2;TRGV3;TRGV5;TRIM25;TRIM68;TUBB;TXK;TYK2;ULBP2;USP7;VCAM1;XCL1;XCL2;ZC3HAV1;ZNF683
Immune::HOEK_NEUTROPHIL_2011_2012_TIV_ADULT_1DY_UP	23	12	1.9406602680250177e-06	0.0005945599498894512	23	12	term_score_13	APOL3;ATF3;CPT1B;DDX60;EGR2;EPSTI1;FANCL;GCH1;HLA-DMA;HLA-DMB;HLA-DRA;IFI44;IFI44L;MT2A;NXT2;OAS1;OAS2;OAS3;PRKX;RSAD2;SESTD1;SGPP1;XAF1	ATF3;CPT1B;EGR2;FANCL;HLA-DRA;IFI44;IFI44L;MT2A;OAS1;RSAD2;SESTD1;XAF1
Reactome::REACTOME_RRNA_PROCESSING	187	44	1.9960048674425552e-06	0.0005945599498894512	187	44	term_score_14	BMS1;BOP1;BYSL;C1D;CSNK1D;CSNK1E;DCAF13;DDX21;DDX47;DDX49;DDX52;DHX37;DIMT1;DIS3;DKC1;EBNA1BP2;ELAC2;EMG1;ERI1;EXOSC1;EXOSC10;EXOSC2;EXOSC3;EXOSC4;EXOSC5;EXOSC6;EXOSC7;EXOSC8;EXOSC9;FAU;FBL;FCF1;FTSJ3;GAR1;GNL3;HEATR1;HSD17B10;IMP3;IMP4;ISG20L2;KRR1;LAS1L;LTV1;MPHOSPH10;MPHOSPH6;MRM1;NAT10;NCL;NHP2;NIP7;NOB1;NOC4L;NOL11;NOL12;NOL6;NOL9;NOP10;NOP14;NOP2;NOP56;NOP58;NSUN4;PDCD11;PELP1;PES1;PNO1;PWP2;RBM28;RCL1;RIOK1;RIOK2;RIOK3;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL22L1;RPL23;RPL23A;RPL24;RPL26;RPL26L1;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL36AL;RPL37;RPL37A;RPL38;RPL39;RPL39L;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPP14;RPP21;RPP30;RPP38;RPS10;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS26;RPS27;RPS27A;RPS27L;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS4Y1;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA;RRP1;RRP36;RRP7A;RRP9;TBL3;TEX10;TFB1M;THUMPD1;TRMT10C;TRMT112;TSR1;TSR3;UBA52;UTP14A;UTP14C;UTP15;UTP18;UTP20;UTP3;UTP6;WDR12;WDR18;WDR3;WDR36;WDR43;WDR46;WDR75;XRN2	DKC1;EMG1;EXOSC4;IMP4;NOP2;PELP1;RBM28;RPL10;RPL13;RPL13A;RPL17;RPL21;RPL23A;RPL27A;RPL3;RPL30;RPL32;RPL34;RPL41;RPL5;RPL7;RPL9;RPLP2;RPP21;RPP30;RPP38;RPS10;RPS12;RPS14;RPS17;RPS18;RPS2;RPS23;RPS25;RPS26;RPS27;RPS27A;RPS3;RPS3A;RPS6;UTP6;WDR12;WDR3;WDR43
GO_BP::GOBP_MACROPHAGE_ACTIVATION	52	19	2.115241540212438e-06	0.0006048744708391487	52	19	term_score_15	AGER;AIF1;ATM;CCL3;CD200;CD74;CD84;CLU;CRTC3;CST7;CTSC;CX3CR1;FCGR3A;FOXP1;GPR137B;GRN;HAVCR2;HSPD1;IFI35;IFNG;IFNGR1;IFNGR2;IL10;IL4R;ITGAM;ITGB2;JAK2;JMJD6;LDLR;MFHAS1;MIF;MYO18A;NMI;NR1D1;PJA2;PLCG2;PRKCE;PTPRC;RORA;SBNO2;SHPK;STK39;SYT11;THBS1;TICAM1;TMEM106A;TMEM229B;TNF;TNIP2;TREX1;TYROBP;ZC3H12A	AGER;ATM;CCL3;CD200;CD84;CLU;CX3CR1;FCGR3A;FOXP1;IFNG;IFNGR2;IL10;IL4R;ITGAM;LDLR;PRKCE;PTPRC;TNF;TREX1
Immune::CAO_BLOOD_FLUZONE_AGE_05_14YO_CORRELATED_WITH_H3N1_HI_TITER_1DY_POSITIVE	6	6	2.226151200457229e-06	0.0006121059589257205	6	6	term_score_16	GBP1;IFI44L;IFIT1;IFIT3;ISG15;OASL	GBP1;IFI44L;IFIT1;IFIT3;ISG15;OASL
Immune::GSE32986_GMCSF_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_DN	130	34	2.424180388955965e-06	0.0006418690963202293	130	34	term_score_17	ALMS1;ANGEL1;APBA2;ARHGEF1;ATP1A1;BCL2;BTBD9;CAMK1D;CASP10;CCDC180;CD55;CENPV;CHMP7;CUBN;CYB5D1;DDX31;DGKD;DHRS3;DHX58;DNAJB1;DNMT3A;DYNLT3;ENGASE;EPB41L4A-AS1;EPHA1;ERMN;FNBP4;FOXP1;GABBR1;GCDH;GCSAM;GPRASP1;HAUS5;IFIT1;IPCEF1;ITGA5;ITGA6;ITPKB;KANSL2;KAT6A;KLF12;KLF2;KPNA5;LDLRAP1;LEPROTL1;LETMD1;LFNG;MAML2;MAN1C1;MBNL1;MPP1;MPP7;MYLIP;NCK2;NFKBIZ;NOSIP;NPAT;NUAK2;OLFM2;OXNAD1;PCED1A;PDK1;PER2;PEX3;PHF1;PIAS1;PILRB;PLAC8;PLXDC1;POLI;PRKCA;PSMG4;RASA2;RASGRP2;RBM19;RBM8A;RBMS1;REV1;RGCC;RHBDD1;RIMKLB;RNF157;RPL30;RPL34;RPL37A;RPL5;RPL9;RPS20;RPS27A;RPS3A;RPS8;RYK;SBDS;SBF2;SCML1;SECISBP2;SH2D3A;SIN3B;SLC25A37;SLC38A6;SLC4A5;SNRK;SNRPA1;SPTBN1;SSH2;SULT1A1;SUPT3H;SVIL;TCF7;TGFBR2;TMEM182;TNFRSF10A;TOP1MT;TPCN1;TRMT13;TSC22D3;TTBK2;TTC27;TTN;TXK;WDR27;ZBTB20;ZBTB40;ZCCHC14;ZMAT1;ZMYND8;ZNF331;ZNF337;ZNF626;ZNF91	APBA2;ARHGEF1;CD55;DHRS3;DHX58;DNMT3A;EPHA1;FOXP1;GPRASP1;IFIT1;LDLRAP1;MAN1C1;MPP1;MPP7;NPAT;OXNAD1;PHF1;PLAC8;PLXDC1;RASGRP2;RGCC;RIMKLB;RPL30;RPL34;RPL5;RPL9;RPS27A;RPS3A;SCML1;SSH2;TCF7;TXK;ZBTB20;ZMAT1
Reactome::REACTOME_GPCR_LIGAND_BINDING	72	23	2.762883624033611e-06	0.0006810984492488373	72	23	term_score_18	ADORA2A;ADRB2;ANXA1;C3AR1;CCL28;CCL3;CCL3L3;CCL4;CCL5;CCR1;CCR2;CCR4;CCR5;CCR7;CCRL2;CD55;CX3CR1;CXCL13;CXCR3;CXCR4;CXCR5;CXCR6;CYSLTR1;ECE1;F2R;F2RL2;FZD3;FZD6;GABBR1;GIPR;GNAS;GNB1;GNB2;GNB4;GNB5;GNG10;GNG2;GNG4;GNG5;GNGT2;GPR132;GPR18;GPR183;GPR35;GPR65;GPR68;HEBP1;INSL3;LPAR2;LPAR5;LPAR6;LTB4R;LTB4R2;MC1R;NMB;NMUR1;P2RY10;P2RY11;POMC;PSAP;PTCH1;PTGDR;PTGER2;PTGER4;S1PR1;S1PR4;S1PR5;UTS2;WNT1;WNT10B;XCL1;XCL2	ANXA1;C3AR1;CCL3;CCL3L3;CCL4;CCR2;CCR7;CCRL2;CD55;CX3CR1;CXCL13;CXCR4;CXCR5;CXCR6;GNB4;GNG4;GNGT2;GPR183;INSL3;PTGER2;S1PR1;XCL1;XCL2
Immune::GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_DN	131	34	2.920601150075336e-06	0.0006959792540629526	131	34	term_score_19	ACSL1;ADA;AFAP1L2;ARAP2;ARL5B;ATF3;BATF;BAZ1A;BID;BIRC3;BTG1;BTG2;BTG3;C17orf58;C2orf15;CCR7;CCRL2;CD274;CDKN1A;CFLAR;CHST7;CMPK2;CSRNP1;DAPP1;DCUN1D3;DDX3Y;DNAAF1;DNAJB4;DRAM1;DUSP1;DUSP2;DUSP5;EHD1;ERN1;ETV3;EZH2;GADD45A;GALNT3;GBP1;GEM;GPR132;GPR183;HERC6;HIVEP1;HS3ST3B1;ICAM1;IFI44;IFIH1;IFIT1;IFIT2;IFIT3;IL10RA;IL15;IL15RA;IL18RAP;INSIG1;IRF1;IRF7;IRF8;ISG15;ISG20;ITGB8;JUNB;KCNA3;KLF7;LAMP3;LDLR;LTA;LYRM1;MAP3K8;MARCKSL1;MASTL;MIR155HG;MT1E;NABP1;NAMPT;NFKB1;NFKBIA;NFKBIZ;NR4A2;NR4A3;NUP98;OASL;P2RX7;PELI1;PIM3;PLAUR;PLEKHA3;PLK3;PML;PPP1R15A;PTGER4;RAB21;RAB30;RAB3IP;RAPGEF2;RASGRP1;RASSF5;REL;RELB;RGS1;RILPL2;RIPK2;RSAD2;RTP4;SAMD9;SAR1A;SIAH2;SLAMF1;SLAMF7;SNHG15;SOCS3;SRF;STAT4;STX11;TMEM39A;TNFAIP3;TNFAIP8;TNFRSF4;TNIP1;TNIP2;TP53BP2;TRAF1;TTN;TUBB2A;USP12;ZBTB43;ZC3H12A;ZC3H12C;ZC3HAV1;ZNFX1	ATF3;BID;BTG1;BTG2;CCR7;CCRL2;CD274;DDX3Y;GBP1;GEM;GPR183;IFI44;IFIT1;IFIT2;IFIT3;IL15;IL18RAP;IRF8;ISG15;JUNB;LAMP3;LDLR;MIR155HG;MT1E;NR4A2;NR4A3;OASL;P2RX7;PLK3;RGS1;RSAD2;STAT4;TNFRSF4;ZC3HAV1
