fdr,label,n_genes,test_auc,test_loss
0.05,de_fdr_0p05,1858,0.8678237309670902,0.46898117661476135
0.1,de_fdr_0p1,2243,0.8463983213536804,0.48390814661979675
0.2,de_fdr_0p2,2855,0.8458648139962199,0.5038930773735046
0.3,de_fdr_0p3,3411,0.8439657157758708,0.4961690902709961
0.4,de_fdr_0p4,3793,0.8499804689382223,0.48129236698150635
0.5,de_fdr_0p5,4369,0.8476628431007882,0.48687395453453064
