fdr_1,fdr_2,ari_like,n_shared_genes,shared_over_union
0.05,0.05,1.0,234,1.0
0.05,0.1,0.334809899087838,155,0.549645390070922
0.05,0.2,0.22618905315915966,125,0.3698224852071006
0.05,0.3,0.29659898813901153,120,0.3116883116883117
0.05,0.4,0.26332288401253917,100,0.26737967914438504
0.05,0.5,0.2199607745111235,81,0.20822622107969152
0.1,0.05,0.334809899087838,155,0.549645390070922
0.1,0.1,1.0,203,1.0
0.1,0.2,0.3524966834251725,134,0.44966442953020136
0.1,0.3,0.300924052288337,134,0.3941176470588235
0.1,0.4,0.3008937867010135,118,0.3630769230769231
0.1,0.5,0.3165221158572655,99,0.2911764705882353
0.2,0.05,0.22618905315915966,125,0.3698224852071006
0.2,0.1,0.3524966834251725,134,0.44966442953020136
0.2,0.2,1.0,229,1.0
0.2,0.3,0.34812132328844186,172,0.524390243902439
0.2,0.4,0.4867441252602187,152,0.4794952681388013
0.2,0.5,0.36211867600276926,125,0.36764705882352944
0.3,0.05,0.29659898813901153,120,0.3116883116883117
0.3,0.1,0.300924052288337,134,0.3941176470588235
0.3,0.2,0.34812132328844186,172,0.524390243902439
0.3,0.3,1.0,271,1.0
0.3,0.4,0.3853188219629749,185,0.5674846625766872
0.3,0.5,0.3227183643616369,163,0.4738372093023256
0.4,0.05,0.26332288401253917,100,0.26737967914438504
0.4,0.1,0.3008937867010135,118,0.3630769230769231
0.4,0.2,0.4867441252602187,152,0.4794952681388013
0.4,0.3,0.3853188219629749,185,0.5674846625766872
0.4,0.4,1.0,240,1.0
0.4,0.5,0.5422762077220967,170,0.5555555555555556
0.5,0.05,0.2199607745111235,81,0.20822622107969152
0.5,0.1,0.3165221158572655,99,0.2911764705882353
0.5,0.2,0.36211867600276926,125,0.36764705882352944
0.5,0.3,0.3227183643616369,163,0.4738372093023256
0.5,0.4,0.5422762077220967,170,0.5555555555555556
0.5,0.5,1.0,236,1.0
