fdr_1,fdr_2,component_jaccard_best_match,global_gene_set_jaccard,ari_like_first_membership,ji_like_first_membership,n_shared_genes_for_ari_like
0.05,0.05,1.0,1.0,1.0,1.0,234
0.05,0.1,0.7033186932967498,0.549645390070922,0.334809899087838,0.549645390070922,155
0.05,0.2,0.6935972721518927,0.3698224852071006,0.22618905315915966,0.3698224852071006,125
0.05,0.3,0.67769244320513,0.3116883116883117,0.29659898813901153,0.3116883116883117,120
0.05,0.4,0.6725611983924005,0.26737967914438504,0.26332288401253917,0.26737967914438504,100
0.05,0.5,0.6634108232927096,0.20822622107969152,0.2199607745111235,0.20822622107969152,81
0.1,0.1,1.0,1.0,1.0,1.0,203
0.1,0.2,0.848664504479079,0.44966442953020136,0.3524966834251725,0.44966442953020136,134
0.1,0.3,0.8372042624521073,0.3941176470588235,0.300924052288337,0.3941176470588235,134
0.1,0.4,0.8286185486765799,0.3630769230769231,0.3008937867010135,0.3630769230769231,118
0.1,0.5,0.824946977730647,0.2911764705882353,0.3165221158572655,0.2911764705882353,99
0.2,0.2,1.0,1.0,1.0,1.0,229
0.2,0.3,0.8510083298404559,0.524390243902439,0.34812132328844186,0.524390243902439,172
0.2,0.4,0.8430002092695392,0.4794952681388013,0.4867441252602187,0.4794952681388013,152
0.2,0.5,0.8305645397293627,0.36764705882352944,0.36211867600276926,0.36764705882352944,125
0.3,0.3,1.0,1.0,1.0,1.0,271
0.3,0.4,0.8800843253968255,0.5674846625766872,0.3853188219629749,0.5674846625766872,185
0.3,0.5,0.8552450869493086,0.4738372093023256,0.3227183643616369,0.4738372093023256,163
0.4,0.4,1.0,1.0,1.0,1.0,240
0.4,0.5,0.9117384206347297,0.5555555555555556,0.5422762077220967,0.5555555555555556,170
0.5,0.5,1.0,1.0,1.0,1.0,236
